model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,THRESH
RandomForest,0,0.61993,0.63534,0.3333333333333333,0.8888888888888888,0.42857,0.84211,0.24526,[0.         0.         0.85714286 1.        ],[0.         0.02631579 0.28947368 1.        ],[2.         1.         0.33333333 0.        ]
DecisionTree,0,0.53395,0.53195,0.25,0.8536585365853658,0.14286,0.92105,0.08139,[0.         0.14285714 1.        ],[0.         0.07894737 1.        ],[2. 1. 0.]
KNN,0,0.68531,0.67481,0.5,0.8974358974358975,0.42857,0.92105,0.37276,[0.         0.42857143 0.71428571 1.         1.        ],[0.         0.07894737 0.10526316 0.5        1.        ],[1.6 0.6 0.4 0.2 0. ]
OneClassSVM,0,0.61843,0.80263,0.3181818181818182,1.0,1.0,0.60526,0.43884,[],[],[]
LocalOutlierFactor,0,0.34389,0.50188,0.15625,0.8461538461538461,0.71429,0.28947,0.00301,[],[],[]
IsolationForest,0,0.71154,0.68797,0.6,0.9,0.42857,0.94737,0.43355,[],[],[]
Xgboost,0,0.63751,0.61654,0.5,0.8780487804878049,0.28571,0.94737,0.29684,"[0.         0.14285714 0.14285714 0.57142857 0.57142857 0.71428571
 0.71428571 1.         1.         1.         1.         1.
 1.        ]","[0.         0.         0.05263158 0.05263158 0.15789474 0.15789474
 0.26315789 0.26315789 0.60526316 0.65789474 0.86842105 0.92105263
 1.        ]","[1.7309422  0.73094225 0.5909244  0.4854912  0.26159602 0.20011225
 0.15627754 0.13562442 0.05134308 0.04876012 0.03044056 0.02878249
 0.02242408]"
RandomForest,1,0.61993,0.63534,0.3333333333333333,0.8888888888888888,0.42857,0.84211,0.24526,[0.         0.         0.85714286 1.        ],[0.         0.02631579 0.28947368 1.        ],[2.         1.         0.33333333 0.        ]
DecisionTree,1,0.71154,0.68797,0.6,0.9,0.42857,0.94737,0.43355,[0.         0.42857143 1.        ],[0.         0.05263158 1.        ],[2. 1. 0.]
KNN,1,0.68531,0.67481,0.5,0.8974358974358975,0.42857,0.92105,0.37276,[0.         0.42857143 0.71428571 1.         1.        ],[0.         0.07894737 0.10526316 0.5        1.        ],[1.6 0.6 0.4 0.2 0. ]
OneClassSVM,1,0.61843,0.80263,0.3181818181818182,1.0,1.0,0.60526,0.43884,[],[],[]
LocalOutlierFactor,1,0.34389,0.50188,0.15625,0.8461538461538461,0.71429,0.28947,0.00301,[],[],[]
IsolationForest,1,0.68531,0.67481,0.5,0.8974358974358975,0.42857,0.92105,0.37276,[],[],[]
