model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,THRESH
RandomForest,0,0.46718,0.46797,0.29545454545454547,0.6382978723404256,0.2766,0.65934,-0.06515,"[0.         0.27659574 0.29787234 0.29787234 0.40425532 0.5106383
 1.        ]","[0.         0.34065934 0.35164835 0.36263736 0.38461538 0.52747253
 1.        ]","[2.         1.         0.33333333 0.25       0.125      0.08333333
 0.        ]"
DecisionTree,0,0.6172,0.61562,0.6521739130434783,0.7217391304347827,0.31915,0.91209,0.29405,"[0.         0.12765957 0.31914894 0.42553191 0.55319149 0.55319149
 0.72340426 0.80851064 0.82978723 0.87234043 0.91489362 1.        ]","[0.         0.04395604 0.08791209 0.14285714 0.18681319 0.25274725
 0.32967033 0.45054945 0.50549451 0.67032967 0.81318681 1.        ]","[1.81818182 0.81818182 0.52173913 0.5        0.46153846 0.38095238
 0.33333333 0.30769231 0.28571429 0.11111111 0.03225806 0.        ]"
KNN,0,0.61831,0.61422,0.5428571428571428,0.7281553398058253,0.40426,0.82418,0.24881,"[0.         0.04255319 0.04255319 0.06382979 0.06382979 0.08510638
 0.08510638 0.10638298 0.10638298 0.14893617 0.14893617 0.19148936
 0.19148936 0.21276596 0.21276596 0.23404255 0.23404255 0.27659574
 0.27659574 0.29787234 0.29787234 0.34042553 0.34042553 0.38297872
 0.38297872 0.42553191 0.42553191 0.46808511 0.46808511 0.53191489
 0.53191489 0.55319149 0.55319149 0.57446809 0.57446809 0.59574468
 0.59574468 0.61702128 0.61702128 0.63829787 0.63829787 0.65957447
 0.65957447 0.68085106 0.68085106 0.74468085 0.74468085 0.78723404
 0.78723404 0.80851064 0.80851064 0.82978723 0.82978723 1.        ]","[0.         0.         0.01098901 0.01098901 0.03296703 0.03296703
 0.05494505 0.05494505 0.06593407 0.06593407 0.07692308 0.07692308
 0.08791209 0.08791209 0.0989011  0.0989011  0.10989011 0.10989011
 0.12087912 0.12087912 0.13186813 0.13186813 0.16483516 0.16483516
 0.17582418 0.17582418 0.21978022 0.21978022 0.24175824 0.24175824
 0.28571429 0.28571429 0.2967033  0.2967033  0.34065934 0.34065934
 0.35164835 0.35164835 0.40659341 0.40659341 0.41758242 0.41758242
 0.47252747 0.47252747 0.50549451 0.50549451 0.53846154 0.53846154
 0.56043956 0.56043956 0.6043956  0.6043956  0.64835165 1.        ]","[2.         1.         0.90937763 0.90486046 0.85958515 0.8485258
 0.82005756 0.81804422 0.81518892 0.80501621 0.8048509  0.76738215
 0.76352682 0.74816675 0.74489357 0.72510637 0.71397722 0.70058223
 0.65769163 0.64009082 0.63868634 0.62299193 0.58395099 0.55409925
 0.55370031 0.47573131 0.43112152 0.4301141  0.41455133 0.40427765
 0.3898736  0.38900338 0.38178619 0.38081014 0.35330162 0.3456889
 0.3403381  0.32975526 0.293845   0.28931519 0.27944248 0.27210931
 0.23650635 0.23563104 0.21840168 0.20319948 0.1767146  0.17335892
 0.1655613  0.15730501 0.13757606 0.1331041  0.09691664 0.        ]"
OneClassSVM,0,0.404,0.41606,0.2702702702702703,0.578125,0.42553,0.40659,-0.15953,[],[],[]
LocalOutlierFactor,0,0.44085,0.44014,0.2692307692307692,0.6162790697674418,0.29787,0.58242,-0.11707,[],[],[]
IsolationForest,0,0.47111,0.50339,0.35294117647058826,0.6611570247933884,0.12766,0.87912,0.00978,[],[],[]
Xgboost,0,0.61868,0.61492,0.5862068965517241,0.7247706422018348,0.3617,0.86813,0.26734,"[0.         0.0212766  0.06382979 0.06382979 0.14893617 0.14893617
 0.23404255 0.23404255 0.25531915 0.25531915 0.31914894 0.31914894
 0.34042553 0.34042553 0.36170213 0.36170213 0.42553191 0.42553191
 0.44680851 0.44680851 0.4893617  0.4893617  0.55319149 0.55319149
 0.57446809 0.57446809 0.59574468 0.59574468 0.61702128 0.61702128
 0.63829787 0.63829787 0.68085106 0.68085106 0.72340426 0.72340426
 0.74468085 0.74468085 0.76595745 0.76595745 0.78723404 0.78723404
 0.80851064 0.80851064 0.80851064 0.82978723 0.82978723 0.85106383
 0.85106383 0.89361702 0.89361702 0.91489362 0.91489362 0.93617021
 0.93617021 0.95744681 0.95744681 0.9787234  0.9787234  1.
 1.        ]","[0.         0.         0.         0.01098901 0.01098901 0.02197802
 0.02197802 0.03296703 0.03296703 0.06593407 0.06593407 0.0989011
 0.0989011  0.10989011 0.10989011 0.15384615 0.15384615 0.18681319
 0.18681319 0.1978022  0.1978022  0.21978022 0.21978022 0.24175824
 0.24175824 0.26373626 0.26373626 0.27472527 0.27472527 0.31868132
 0.31868132 0.32967033 0.32967033 0.35164835 0.35164835 0.3956044
 0.3956044  0.43956044 0.43956044 0.45054945 0.45054945 0.51648352
 0.51648352 0.54945055 0.56043956 0.56043956 0.58241758 0.58241758
 0.68131868 0.68131868 0.72527473 0.72527473 0.76923077 0.76923077
 0.81318681 0.81318681 0.82417582 0.82417582 0.92307692 0.92307692
 1.        ]","[1.9357477  0.93574774 0.8952106  0.8227245  0.7781538  0.77745867
 0.68786687 0.6832445  0.6764254  0.6518038  0.6330413  0.5682871
 0.5536706  0.55145055 0.5314882  0.49494693 0.4778817  0.4636863
 0.46010104 0.45510805 0.43706566 0.43465704 0.41089267 0.40871146
 0.40798107 0.39749548 0.3946402  0.38958022 0.38787708 0.34557098
 0.3372996  0.33699805 0.30504128 0.28818843 0.27785543 0.23214827
 0.22065383 0.19883278 0.1957531  0.19286148 0.1912119  0.16196056
 0.15723075 0.15168734 0.15014637 0.14449985 0.14137296 0.13726817
 0.11758257 0.11196725 0.10525745 0.10218953 0.09894778 0.09894488
 0.07871419 0.07348137 0.07252725 0.07151333 0.04221671 0.04067773
 0.02156643]"
RandomForest,1,0.55686,0.56137,0.48148148148148145,0.6936936936936937,0.2766,0.84615,0.14664,"[0.         0.         0.19148936 0.19148936 0.21276596 0.21276596
 0.23404255 0.23404255 0.27659574 0.27659574 0.46808511 0.46808511
 0.5106383  0.5106383  0.53191489 0.53191489 0.55319149 0.55319149
 0.57446809 0.57446809 0.61702128 0.61702128 0.65957447 0.65957447
 0.68085106 0.68085106 0.72340426 0.72340426 0.74468085 0.74468085
 0.76595745 0.76595745 0.78723404 0.78723404 0.82978723 0.82978723
 0.85106383 0.85106383 0.87234043 0.87234043 0.89361702 0.89361702
 0.91489362 0.91489362 0.93617021 0.93617021 0.95744681 0.95744681
 0.9787234  0.9787234  1.         1.        ]","[0.         0.01098901 0.01098901 0.03296703 0.03296703 0.05494505
 0.05494505 0.12087912 0.12087912 0.15384615 0.15384615 0.16483516
 0.16483516 0.18681319 0.18681319 0.20879121 0.20879121 0.21978022
 0.21978022 0.23076923 0.23076923 0.24175824 0.24175824 0.26373626
 0.26373626 0.30769231 0.30769231 0.34065934 0.34065934 0.40659341
 0.40659341 0.50549451 0.50549451 0.51648352 0.51648352 0.65934066
 0.65934066 0.67032967 0.67032967 0.73626374 0.73626374 0.78021978
 0.78021978 0.84615385 0.84615385 0.92307692 0.92307692 0.94505495
 0.94505495 0.95604396 0.95604396 1.        ]","[1.7824344  0.7824344  0.66647145 0.65013174 0.64184499 0.63255762
 0.62049846 0.57115886 0.55566692 0.51528456 0.44884085 0.44238754
 0.43717035 0.43438814 0.42952366 0.40144821 0.40115125 0.3992862
 0.39519161 0.38166147 0.37517137 0.37475612 0.35023905 0.34614054
 0.34457402 0.3323935  0.32380289 0.32139907 0.30831531 0.27383777
 0.26809485 0.19972782 0.19951717 0.1969388  0.19059385 0.1482421
 0.1450599  0.14411646 0.14382847 0.1328722  0.12898619 0.11510237
 0.11397584 0.09281009 0.09008826 0.07078943 0.06644702 0.06337256
 0.05580352 0.05320461 0.04696566 0.02739298]"
DecisionTree,1,0.68303,0.67805,0.6097560975609756,0.7731958762886598,0.53191,0.82418,0.36928,"[0.         0.31914894 0.53191489 0.72340426 0.80851064 0.91489362
 0.95744681 0.95744681 1.        ]","[0.         0.08791209 0.17582418 0.25274725 0.49450549 0.61538462
 0.72527473 0.9010989  1.        ]","[1.66666667 0.66666667 0.57142857 0.4137931  0.31034483 0.24
 0.15625    0.02564103 0.        ]"
KNN,1,0.61831,0.61422,0.5428571428571428,0.7281553398058253,0.40426,0.82418,0.24881,"[0.         0.04255319 0.04255319 0.06382979 0.06382979 0.08510638
 0.08510638 0.10638298 0.10638298 0.14893617 0.14893617 0.19148936
 0.19148936 0.21276596 0.21276596 0.23404255 0.23404255 0.27659574
 0.27659574 0.29787234 0.29787234 0.34042553 0.34042553 0.38297872
 0.38297872 0.42553191 0.42553191 0.46808511 0.46808511 0.53191489
 0.53191489 0.55319149 0.55319149 0.57446809 0.57446809 0.59574468
 0.59574468 0.61702128 0.61702128 0.63829787 0.63829787 0.65957447
 0.65957447 0.68085106 0.68085106 0.74468085 0.74468085 0.78723404
 0.78723404 0.80851064 0.80851064 0.82978723 0.82978723 1.        ]","[0.         0.         0.01098901 0.01098901 0.03296703 0.03296703
 0.05494505 0.05494505 0.06593407 0.06593407 0.07692308 0.07692308
 0.08791209 0.08791209 0.0989011  0.0989011  0.10989011 0.10989011
 0.12087912 0.12087912 0.13186813 0.13186813 0.16483516 0.16483516
 0.17582418 0.17582418 0.21978022 0.21978022 0.24175824 0.24175824
 0.28571429 0.28571429 0.2967033  0.2967033  0.34065934 0.34065934
 0.35164835 0.35164835 0.40659341 0.40659341 0.41758242 0.41758242
 0.47252747 0.47252747 0.50549451 0.50549451 0.53846154 0.53846154
 0.56043956 0.56043956 0.6043956  0.6043956  0.64835165 1.        ]","[2.         1.         0.90937763 0.90486046 0.85958515 0.8485258
 0.82005756 0.81804422 0.81518892 0.80501621 0.8048509  0.76738215
 0.76352682 0.74816675 0.74489357 0.72510637 0.71397722 0.70058223
 0.65769163 0.64009082 0.63868634 0.62299193 0.58395099 0.55409925
 0.55370031 0.47573131 0.43112152 0.4301141  0.41455133 0.40427765
 0.3898736  0.38900338 0.38178619 0.38081014 0.35330162 0.3456889
 0.3403381  0.32975526 0.293845   0.28931519 0.27944248 0.27210931
 0.23650635 0.23563104 0.21840168 0.20319948 0.1767146  0.17335892
 0.1655613  0.15730501 0.13757606 0.1331041  0.09691664 0.        ]"
