model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,THRESH
RandomForest,0,0.61993,0.63534,0.3333333333333333,0.8888888888888888,0.42857,0.84211,0.24526,[0.         0.         0.85714286 1.        ],[0.         0.02631579 0.28947368 1.        ],[2.         1.         0.33333333 0.        ]
DecisionTree,0,0.77522,0.7594,0.6666666666666666,0.9230769230769231,0.57143,0.94737,0.55313,[0.         0.14285714 0.57142857 0.57142857 0.57142857 1.        ],[0.         0.02631579 0.05263158 0.07894737 0.28947368 1.        ],[2.         1.         0.83333333 0.5        0.42857143 0.        ]
KNN,0,0.55,0.54511,0.3333333333333333,0.8571428571428571,0.14286,0.94737,0.13109,"[0.         0.         0.14285714 0.57142857 1.         1.
 1.         1.        ]","[0.         0.05263158 0.05263158 0.07894737 0.13157895 0.23684211
 0.68421053 1.        ]","[1.66666667 0.66666667 0.55555556 0.44444444 0.33333333 0.22222222
 0.11111111 0.        ]"
OneClassSVM,0,0.61843,0.80263,0.3181818181818182,1.0,1.0,0.60526,0.43884,[],[],[]
LocalOutlierFactor,0,0.34389,0.50188,0.15625,0.8461538461538461,0.71429,0.28947,0.00301,[],[],[]
IsolationForest,0,0.68531,0.67481,0.5,0.8974358974358975,0.42857,0.92105,0.37276,[],[],[]
Xgboost,0,0.63751,0.61654,0.5,0.8780487804878049,0.28571,0.94737,0.29684,"[0.         0.14285714 0.14285714 0.57142857 0.57142857 0.71428571
 0.71428571 0.85714286 0.85714286 1.         1.         1.
 1.         1.         1.        ]","[0.         0.         0.05263158 0.05263158 0.15789474 0.15789474
 0.23684211 0.23684211 0.26315789 0.26315789 0.60526316 0.65789474
 0.89473684 0.94736842 1.        ]","[1.7299337  0.7299337  0.59077823 0.49173388 0.26454347 0.20018056
 0.16121295 0.15501092 0.15092702 0.13566421 0.0512828  0.04871587
 0.02942595 0.02858946 0.02239744]"
RandomForest,1,0.61993,0.63534,0.3333333333333333,0.8888888888888888,0.42857,0.84211,0.24526,"[0.         0.14285714 0.42857143 0.57142857 1.         1.
 1.        ]","[0.         0.07894737 0.15789474 0.18421053 0.28947368 0.34210526
 1.        ]","[1.69444444 0.69444444 0.66666667 0.36111111 0.33333333 0.02777778
 0.        ]"
DecisionTree,1,0.67365,0.70677,0.4,0.9142857142857143,0.57143,0.84211,0.36051,[0.         0.14285714 0.14285714 0.57142857 1.        ],[0.         0.05263158 0.15789474 0.15789474 1.        ],[2.         1.         0.75       0.66666667 0.        ]
KNN,1,0.53395,0.53195,0.25,0.8536585365853658,0.14286,0.92105,0.08139,[0.         0.         0.14285714 0.57142857 1.        ],[0.         0.02631579 0.07894737 0.31578947 1.        ],[2.         1.         0.66666667 0.33333333 0.        ]
