model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,THRESH
RandomForest,0,0.58462,0.58036,0.3333333333333333,0.8484848484848485,0.28571,0.875,0.17094,"[0.         0.14285714 0.28571429 0.28571429 0.57142857 0.57142857
 0.71428571 0.85714286 0.85714286 0.85714286 0.85714286 1.
 1.         1.        ]","[0.      0.      0.125   0.15625 0.1875  0.21875 0.21875 0.25    0.28125
 0.40625 0.4375  0.78125 0.84375 1.     ]","[1.70277778 0.70277778 0.67777778 0.47048984 0.46431624 0.45197133
 0.40277778 0.28931624 0.25702831 0.23850979 0.16431624 0.08202831
 0.06350979 0.03573201]"
DecisionTree,0,0.47768,0.47768,0.14285714285714285,0.8125,0.14286,0.8125,-0.04464,[0.         0.14285714 0.57142857 0.85714286 1.        ],[0.      0.1875  0.375   0.53125 1.     ],[1.66666667 0.66666667 0.28571429 0.07692308 0.        ]
KNN,0,0.66152,0.69196,0.4,0.896551724137931,0.57143,0.8125,0.33742,[0.         0.14285714 0.57142857 0.71428571 0.71428571 1.        ],[0.      0.      0.1875  0.21875 0.53125 1.     ],[1.8 0.8 0.6 0.4 0.2 0. ]
OneClassSVM,0,0.59615,0.72545,0.3157894736842105,0.95,0.85714,0.59375,0.34618,[],[],[]
LocalOutlierFactor,0,0.45833,0.57589,0.21739130434782608,0.875,0.71429,0.4375,0.11842,[],[],[]
IsolationForest,0,0.50758,0.50893,0.2,0.8235294117647058,0.14286,0.875,0.0205,[],[],[]
Xgboost,0,0.54118,0.54018,0.3333333333333333,0.8333333333333334,0.14286,0.9375,0.11573,"[0.         0.14285714 0.14285714 0.28571429 0.28571429 0.57142857
 0.57142857 1.         1.         1.         1.        ]","[0.     0.     0.1875 0.1875 0.3125 0.3125 0.375  0.375  0.8125 0.875
 1.    ]","[1.6934266  0.6934266  0.17688271 0.1699428  0.13661845 0.04702975
 0.04123517 0.02634625 0.00644296 0.00614038 0.00209751]"
RandomForest,1,0.54118,0.54018,0.3333333333333333,0.8333333333333334,0.14286,0.9375,0.11573,"[0.         0.14285714 0.14285714 0.42857143 0.71428571 1.
 1.         1.        ]",[0.      0.      0.125   0.21875 0.28125 0.40625 0.65625 1.     ],"[1.66666667 0.66666667 0.4        0.33333333 0.26666667 0.13333333
 0.06666667 0.        ]"
DecisionTree,1,0.47768,0.47768,0.14285714285714285,0.8125,0.14286,0.8125,-0.04464,[0.         0.14285714 0.57142857 0.85714286 1.        ],[0.      0.1875  0.375   0.53125 1.     ],[1.66666667 0.66666667 0.28571429 0.07692308 0.        ]
KNN,1,0.73674,0.77902,0.5,0.9310344827586207,0.71429,0.84375,0.49044,[0.         0.         0.71428571 0.71428571 0.71428571 1.        ],[0.      0.03125 0.15625 0.21875 0.5     1.     ],[1.8 0.8 0.6 0.4 0.2 0. ]
