model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
RSEllipticEnvelope,0,0.33333,0.5,,0.5,0.0,1.0,0.0,"[0.         0.07692308 0.15384615 0.15384615 0.23076923 0.23076923
 0.30769231 0.30769231 0.53846154 0.53846154 0.61538462 0.61538462
 0.92307692 0.92307692 1.         1.        ]","[0.         0.         0.         0.07692308 0.07692308 0.15384615
 0.15384615 0.23076923 0.23076923 0.30769231 0.30769231 0.53846154
 0.53846154 0.84615385 0.84615385 1.        ]",0.6745562130177515
RandomForest,0,0.60606,0.61538,0.5882352941176471,0.6666666666666666,0.76923,0.46154,0.24254,"[0.         0.         0.07692308 0.15384615 0.30769231 0.38461538
 0.61538462 0.69230769 0.69230769 0.76923077 0.76923077 0.92307692
 0.92307692 1.         1.         1.         1.        ]","[0.         0.07692308 0.07692308 0.15384615 0.15384615 0.23076923
 0.38461538 0.46153846 0.53846154 0.53846154 0.61538462 0.61538462
 0.69230769 0.69230769 0.76923077 0.92307692 1.        ]",0.6538461538461539
DecisionTree,0,0.52727,0.53846,0.5294117647058824,0.5555555555555556,0.69231,0.38462,0.08085,[0.         0.38461538 1.        ],[0.         0.23076923 1.        ],0.5769230769230769
KNN,0,0.49325,0.5,0.5,0.5,0.61538,0.38462,0.0,"[0.         0.07692308 0.15384615 0.53846154 0.69230769 1.
 1.        ]","[0.         0.         0.15384615 0.61538462 0.61538462 0.76923077
 1.        ]",0.5384615384615384
LocalOutlierFactor,0,0.6131,0.61538,0.6363636363636364,0.6,0.53846,0.69231,0.23355,"[0.         0.         0.         0.07692308 0.07692308 0.15384615
 0.15384615 0.38461538 0.38461538 0.61538462 0.61538462 0.69230769
 0.69230769 0.76923077 0.76923077 1.        ]","[0.         0.07692308 0.15384615 0.15384615 0.53846154 0.53846154
 0.61538462 0.61538462 0.69230769 0.69230769 0.84615385 0.84615385
 0.92307692 0.92307692 1.         1.        ]",0.2781065088757397
IsolationForest,0,0.33333,0.5,,0.5,0.0,1.0,0.0,"[0.         0.07692308 0.15384615 0.15384615 0.30769231 0.30769231
 0.53846154 0.53846154 0.61538462 0.61538462 0.76923077 0.76923077
 0.84615385 0.84615385 0.92307692 0.92307692 1.        ]","[0.         0.         0.         0.07692308 0.07692308 0.15384615
 0.15384615 0.61538462 0.61538462 0.69230769 0.69230769 0.76923077
 0.76923077 0.84615385 0.84615385 1.         1.        ]",0.5976331360946745
Xgboost,0,0.5763,0.57692,0.5833333333333334,0.5714285714285714,0.53846,0.61538,0.1543,"[0.         0.07692308 0.07692308 0.15384615 0.15384615 0.23076923
 0.30769231 0.30769231 0.69230769 0.76923077 0.76923077 0.84615385
 0.84615385 1.         1.        ]","[0.         0.         0.07692308 0.15384615 0.23076923 0.23076923
 0.30769231 0.38461538 0.38461538 0.46153846 0.61538462 0.61538462
 0.76923077 0.84615385 1.        ]",0.6005917159763314
RSEllipticEnvelope,1,0.33333,0.5,,0.5,0.0,1.0,0.0,"[0.         0.07692308 0.07692308 0.23076923 0.23076923 0.30769231
 0.30769231 0.38461538 0.38461538 0.46153846 0.46153846 0.61538462
 0.61538462 0.76923077 0.76923077 0.84615385 0.84615385 1.        ]","[0.         0.         0.30769231 0.30769231 0.38461538 0.38461538
 0.46153846 0.46153846 0.61538462 0.61538462 0.69230769 0.69230769
 0.76923077 0.76923077 0.84615385 0.84615385 1.         1.        ]",0.3964497041420118
RandomForest,1,0.56068,0.57692,0.5555555555555556,0.625,0.76923,0.38462,0.16667,[0.         0.76923077 1.        ],[0.         0.61538462 1.        ],0.5769230769230769
DecisionTree,1,0.5125,0.53846,0.5714285714285714,0.5263157894736842,0.30769,0.76923,0.08671,[0.         0.30769231 1.        ],[0.         0.23076923 1.        ],0.5384615384615384
KNN,1,0.69231,0.69231,0.6923076923076923,0.6923076923076923,0.69231,0.69231,0.38462,[0.         0.07692308 0.30769231 0.69230769 0.92307692 1.        ],[0.         0.07692308 0.23076923 0.30769231 0.61538462 1.        ],0.6893491124260356
LocalOutlierFactor,1,0.56068,0.57692,0.625,0.5555555555555556,0.38462,0.76923,0.16667,"[0.         0.07692308 0.07692308 0.38461538 0.53846154 0.53846154
 0.76923077 0.76923077 0.92307692 0.92307692 1.         1.        ]","[0.         0.         0.07692308 0.07692308 0.23076923 0.76923077
 0.76923077 0.84615385 0.84615385 0.92307692 0.92307692 1.        ]",0.5739644970414202
IsolationForest,1,0.43193,0.5,0.5,0.5,0.15385,0.84615,0.0,"[0.         0.07692308 0.07692308 0.15384615 0.15384615 0.23076923
 0.23076923 0.30769231 0.30769231 0.84615385 0.84615385 0.92307692
 0.92307692 1.        ]","[0.         0.         0.07692308 0.07692308 0.30769231 0.30769231
 0.69230769 0.69230769 0.76923077 0.76923077 0.84615385 0.84615385
 1.         1.        ]",0.36094674556213013
Xgboost,1,0.5125,0.53846,0.5714285714285714,0.5263157894736842,0.30769,0.76923,0.08671,"[0.         0.07692308 0.07692308 0.15384615 0.38461538 0.38461538
 0.53846154 0.76923077 0.76923077 0.84615385 0.84615385 0.92307692
 1.         1.        ]","[0.         0.         0.15384615 0.23076923 0.23076923 0.38461538
 0.38461538 0.38461538 0.69230769 0.69230769 0.84615385 0.92307692
 0.92307692 1.        ]",0.591715976331361
RSEllipticEnvelope,2,0.33333,0.5,,0.5,0.0,1.0,0.0,"[0.         0.07692308 0.15384615 0.15384615 0.23076923 0.23076923
 0.38461538 0.38461538 0.46153846 0.46153846 0.61538462 0.61538462
 0.69230769 0.69230769 0.76923077 0.76923077 1.        ]","[0.         0.         0.         0.23076923 0.23076923 0.38461538
 0.38461538 0.69230769 0.69230769 0.76923077 0.76923077 0.84615385
 0.84615385 0.92307692 0.92307692 1.         1.        ]",0.38461538461538464
RandomForest,2,0.62679,0.65385,0.6,0.8333333333333334,0.92308,0.38462,0.36515,"[0.         0.07692308 0.23076923 0.30769231 0.53846154 0.53846154
 0.69230769 0.69230769 0.76923077 0.76923077 0.84615385 0.84615385
 0.92307692 0.92307692 1.         1.        ]","[0.         0.07692308 0.15384615 0.23076923 0.23076923 0.30769231
 0.30769231 0.38461538 0.38461538 0.46153846 0.46153846 0.53846154
 0.53846154 0.92307692 0.92307692 1.        ]",0.6863905325443787
DecisionTree,2,0.5763,0.57692,0.5833333333333334,0.5714285714285714,0.53846,0.61538,0.1543,[0.         0.53846154 0.69230769 0.92307692 1.        ],[0.         0.38461538 0.46153846 0.69230769 1.        ],0.6331360946745561
KNN,2,0.72714,0.73077,0.6875,0.8,0.84615,0.61538,0.47434,"[0.         0.07692308 0.30769231 0.61538462 0.84615385 0.92307692
 1.         1.         1.        ]","[0.         0.         0.30769231 0.38461538 0.38461538 0.38461538
 0.61538462 0.92307692 1.        ]",0.7011834319526628
LocalOutlierFactor,2,0.33733,0.34615,0.3,0.375,0.23077,0.46154,-0.31623,"[0.         0.         0.         0.30769231 0.30769231 0.46153846
 0.46153846 0.69230769 0.69230769 0.76923077 0.76923077 0.84615385
 0.84615385 1.        ]","[0.         0.07692308 0.23076923 0.23076923 0.30769231 0.30769231
 0.38461538 0.38461538 0.46153846 0.46153846 0.69230769 0.69230769
 1.         1.        ]",0.5502958579881657
IsolationForest,2,0.43193,0.5,0.5,0.5,0.15385,0.84615,0.0,"[0.         0.07692308 0.15384615 0.15384615 0.23076923 0.23076923
 0.38461538 0.38461538 0.53846154 0.53846154 0.61538462 0.61538462
 0.76923077 0.76923077 0.92307692 0.92307692 1.        ]","[0.         0.         0.         0.15384615 0.15384615 0.46153846
 0.46153846 0.53846154 0.53846154 0.61538462 0.61538462 0.69230769
 0.69230769 0.84615385 0.84615385 1.         1.        ]",0.4733727810650888
