MN,ACC_1,ACC_2,F1,AUC
RandomForest,0.5,0.5,0.44589,0.5
DecisionTree,0.5714285714285714,0.52,0.49099,0.53125
KNN,0.5,0.5,0.49804,0.5
SVM,,0.5,0.33333,0.5
LocalOutlierFactor,0.6666666666666666,0.5652173913043478,0.57333,0.59375
IsolationForest,0.0,0.4838709677419355,0.31915,0.46875
Xgboost,0.5,0.5,0.44589,0.5
