MN,ACC_1,ACC_2,F1,AUC
RandomForest,0.5444606413994169,0.5158184487081545,0.48179239999999995,0.5225
DecisionTree,0.5598914833763319,0.5309048492357316,0.5112116,0.5385
KNN,0.46983308787432504,0.4997925295808423,0.44315920000000003,0.49700000000000005
LocalOutlierFactor,0.5458209568209568,0.5237047903077314,0.5138830999999999,0.5275000000000001
IsolationForest,0.3982407407407408,0.48206620718462817,0.38012000000000007,0.47100000000000003
Xgboost,0.5435119047619048,0.5207758599759373,0.4904076,0.5275000000000001
