MN,ACC_1,ACC_2,F1,AUC
RandomForest,0.6,0.5238095238095238,0.4902,0.53846
DecisionTree,0.3333333333333333,0.4782608695652174,0.36806,0.46154
KNN,0.42857142857142855,0.47368421052631576,0.43125,0.46154
SVM,0.5,0.5,0.39099,0.5
LocalOutlierFactor,0.5,0.5,0.49926,0.5
IsolationForest,,0.5,0.33333,0.5
Xgboost,0.4,0.47619047619047616,0.40523,0.46154
