model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
RandomForest,0,0.43125,0.46154,0.42857142857142855,0.47368421052631576,0.23077,0.69231,-0.08671,"[0.         0.         0.07692308 0.15384615 0.23076923 0.23076923
 0.61538462 0.76923077 0.76923077 0.84615385 1.        ]","[0.         0.07692308 0.15384615 0.30769231 0.30769231 0.46153846
 0.53846154 0.53846154 0.69230769 0.69230769 1.        ]",0.4911242603550296
DecisionTree,0,0.36806,0.46154,0.3333333333333333,0.4782608695652174,0.07692,0.84615,-0.12039,[0.         0.07692308 0.38461538 0.76923077 1.         1.        ],[0.         0.15384615 0.53846154 0.61538462 0.84615385 1.        ],0.4970414201183432
KNN,0,0.43125,0.46154,0.42857142857142855,0.47368421052631576,0.23077,0.69231,-0.08671,"[0.         0.         0.07692308 0.07692308 0.15384615 0.15384615
 0.23076923 0.23076923 0.38461538 0.38461538 0.46153846 0.46153846
 0.53846154 0.53846154 0.61538462 0.61538462 0.92307692 0.92307692
 1.        ]","[0.         0.07692308 0.07692308 0.15384615 0.15384615 0.23076923
 0.23076923 0.30769231 0.30769231 0.46153846 0.46153846 0.53846154
 0.53846154 0.69230769 0.69230769 0.92307692 0.92307692 1.
 1.        ]",0.4260355029585799
LocalOutlierFactor,0,0.49926,0.5,0.5,0.5,0.46154,0.53846,0.0,"[0.         0.07692308 0.07692308 0.30769231 0.30769231 0.53846154
 0.53846154 0.92307692 0.92307692 1.        ]","[0.         0.         0.30769231 0.30769231 0.38461538 0.38461538
 0.92307692 0.92307692 1.         1.        ]",0.4082840236686391
IsolationForest,0,0.2973,0.42308,0.0,0.4583333333333333,0.0,0.84615,-0.28868,"[0.         0.07692308 0.15384615 0.15384615 0.23076923 0.23076923
 0.46153846 0.46153846 0.53846154 0.53846154 0.61538462 0.61538462
 0.69230769 0.69230769 0.76923077 0.76923077 1.         1.        ]","[0.         0.         0.         0.07692308 0.07692308 0.15384615
 0.15384615 0.23076923 0.23076923 0.38461538 0.38461538 0.53846154
 0.53846154 0.61538462 0.61538462 0.84615385 0.84615385 1.        ]",0.6272189349112426
Xgboost,0,0.40523,0.46154,0.4,0.47619047619047616,0.15385,0.76923,-0.09759,"[0.         0.         0.         0.15384615 0.15384615 0.46153846
 0.46153846 1.         1.        ]","[0.         0.07692308 0.15384615 0.15384615 0.46153846 0.46153846
 0.53846154 0.53846154 1.        ]",0.5443786982248521
RandomForest,1,0.49926,0.5,0.5,0.5,0.53846,0.46154,0.0,[0.         0.30769231 0.53846154 1.        ],[0.         0.38461538 0.53846154 1.        ],0.47928994082840237
DecisionTree,1,0.29506,0.34615,0.16666666666666666,0.4,0.07692,0.61538,-0.36515,[0.         0.07692308 0.46153846 0.76923077 1.        ],[0.         0.38461538 0.61538462 0.84615385 1.        ],0.3550295857988166
KNN,1,0.37799,0.42308,0.3333333333333333,0.45,0.15385,0.69231,-0.18257,[0.         0.07692308 0.15384615 0.61538462 1.        ],[0.         0.07692308 0.30769231 0.69230769 1.        ],0.42603550295857995
LocalOutlierFactor,1,0.56068,0.57692,0.625,0.5555555555555556,0.38462,0.76923,0.16667,"[0.         0.07692308 0.15384615 0.15384615 0.15384615 0.38461538
 0.38461538 0.61538462 0.61538462 0.76923077 0.76923077 0.84615385
 0.84615385 1.         1.        ]","[0.         0.         0.         0.30769231 0.61538462 0.61538462
 0.69230769 0.69230769 0.76923077 0.76923077 0.84615385 0.84615385
 0.92307692 0.92307692 1.        ]",0.3727810650887574
