model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
RSEllipticEnvelope,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.6 0.6 0.9 0.9 1.  1. ],[0.  0.  0.  0.1 0.1 0.2 0.2 0.3 0.3 0.6 0.6 0.8 0.8 1. ],0.65
RandomForest,0,0.64194,0.65,0.6153846153846154,0.7142857142857143,0.8,0.5,0.31449,[0.  0.1 0.1 0.3 0.3 0.4 0.4 0.5 0.5 0.8 0.8 1.  1. ],[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.6 1. ],0.64
DecisionTree,0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,[0.  0.2 0.5 0.9 1. ],[0.  0.1 0.5 0.7 1. ],0.575
KNN,0,0.49495,0.5,0.5,0.5,0.6,0.4,0.0,[0.  0.  0.2 0.3 0.6 0.6 0.7 1.  1. ],[0.  0.1 0.2 0.5 0.6 0.7 0.8 0.9 1. ],0.43999999999999995
LocalOutlierFactor,0,0.58333,0.6,0.6666666666666666,0.5714285714285714,0.4,0.8,0.21822,[0.  0.1 0.3 0.3 0.5 0.6 0.6 0.7 0.7 0.8 0.8 1. ],[0.  0.  0.  0.4 0.4 0.5 0.8 0.8 0.9 0.9 1.  1. ],0.505
IsolationForest,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.1 0.5 0.5 0.6 0.6 0.7 0.7 0.8 0.8 0.9 0.9 1. ],[0.  0.  0.3 0.3 0.4 0.4 0.7 0.7 0.8 0.8 0.9 0.9 1.  1. ],0.5
Xgboost,0,0.49495,0.5,0.5,0.5,0.6,0.4,0.0,[0.  0.1 0.2 0.2 0.3 0.3 0.6 0.6 0.9 0.9 1.  1. ],[0.  0.  0.  0.1 0.1 0.4 0.4 0.6 0.6 0.7 0.7 1. ],0.62
RSEllipticEnvelope,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.6 0.6 0.7 0.7 0.9 0.9 1. ],[0.  0.  0.1 0.1 0.2 0.2 0.4 0.4 0.6 0.6 0.7 0.7 1.  1. ],0.5700000000000001
RandomForest,1,0.375,0.4,0.42857142857142855,0.3333333333333333,0.6,0.2,-0.21822,[0.  0.6 1. ],[0.  0.8 1. ],0.39999999999999997
DecisionTree,1,0.30667,0.35,0.4,0.2,0.6,0.1,-0.34641,[0.  0.6 0.6 0.8 1. ],[0.  0.8 0.9 0.9 1. ],0.38999999999999996
KNN,1,0.4,0.4,0.4,0.4,0.4,0.4,-0.2,[0.  0.1 0.4 0.8 1. ],[0.  0.  0.6 1.  1. ],0.39
LocalOutlierFactor,1,0.48718,0.55,0.6666666666666666,0.5294117647058824,0.2,0.9,0.14003,[0.  0.  0.  0.1 0.1 0.4 0.4 0.8 0.8 1.  1. ],[0.  0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.9 0.9 1. ],0.55
IsolationForest,1,0.40476,0.5,0.5,0.5,0.1,0.9,0.0,[0.  0.1 0.2 0.2 0.3 0.3 0.6 0.6 0.9 0.9 1.  1. ],[0.  0.  0.  0.1 0.1 0.6 0.6 0.7 0.7 0.9 0.9 1. ],0.51
Xgboost,1,0.59596,0.6,0.625,0.5833333333333334,0.5,0.7,0.20412,[0.  0.  0.  0.2 0.2 0.7 0.7 0.8 0.8 1. ],[0.  0.1 0.2 0.2 0.3 0.3 0.5 0.5 1.  1. ],0.56
RSEllipticEnvelope,2,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.3 0.3 0.4 0.4 0.5 0.5 1. ],[0.  0.  0.  0.3 0.3 0.5 0.5 1.  1. ],0.42000000000000004
RandomForest,2,0.53964,0.55,0.5384615384615384,0.5714285714285714,0.7,0.4,0.10483,[0.  0.2 0.7 0.9 1. ],[0.  0.3 0.6 0.7 1. ],0.53
DecisionTree,2,0.5,0.5,0.5,0.5,0.5,0.5,0.0,[0.  0.5 0.5 0.7 1. ],[0.  0.3 0.5 0.6 1. ],0.575
KNN,2,0.8,0.8,0.8,0.8,0.8,0.8,0.6,[0.  0.1 0.4 0.5 0.8 0.9 1.  1.  1. ],[0.  0.  0.1 0.2 0.2 0.2 0.4 0.6 1. ],0.8600000000000001
LocalOutlierFactor,2,0.28571,0.4,0.0,0.4444444444444444,0.0,0.8,-0.33333,[0.  0.  0.1 0.1 0.3 0.5 0.5 0.8 0.8 1.  1. ],[0.  0.1 0.2 0.3 0.3 0.3 0.5 0.5 0.6 0.6 1. ],0.595
IsolationForest,2,0.43574,0.55,1.0,0.5263157894736842,0.1,1.0,0.22942,[0.  0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.5 0.5 0.9 0.9 1. ],[0.  0.  0.  0.4 0.4 0.5 0.5 0.7 0.7 0.8 0.8 1.  1. ],0.42000000000000004
Xgboost,2,0.5,0.5,0.5,0.5,0.5,0.5,0.0,[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.7 0.7 0.8 0.8 0.9 0.9 1. ],[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.5 0.5 0.7 0.7 0.8 0.8 1.  1. ],0.53
RSEllipticEnvelope,3,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.2 0.2 0.5 0.5 0.6 0.6 0.7 0.7 0.9 0.9 1. ],[0.  0.1 0.1 0.4 0.4 0.5 0.5 0.8 0.8 0.9 0.9 1.  1. ],0.44999999999999996
RandomForest,3,0.47917,0.5,0.5,0.5,0.7,0.3,0.0,[0.  0.4 0.4 0.6 0.8 0.8 1. ],[0.  0.3 0.4 0.6 0.8 0.9 1. ],0.51
DecisionTree,3,0.54887,0.55,0.5454545454545454,0.5555555555555556,0.6,0.5,0.1005,[0.  0.3 0.6 1. ],[0.  0.5 0.5 1. ],0.47500000000000003
KNN,3,0.7,0.7,0.7,0.7,0.7,0.7,0.4,[0.  0.  0.3 0.7 0.9 1. ],[0.  0.1 0.1 0.3 0.9 1. ],0.675
LocalOutlierFactor,3,0.4,0.4,0.4,0.4,0.4,0.4,-0.2,[0.  0.1 0.1 0.4 0.4 0.6 0.6 0.7 0.7 1.  1. ],[0.  0.  0.2 0.2 0.3 0.3 0.8 0.8 0.9 0.9 1. ],0.53
IsolationForest,3,0.43574,0.55,1.0,0.5263157894736842,0.1,1.0,0.22942,[0.  0.1 0.2 0.2 0.3 0.3 0.8 0.8 0.9 0.9 1. ],[0.  0.  0.  0.2 0.2 0.5 0.5 0.7 0.7 1.  1. ],0.56
Xgboost,3,0.49495,0.5,0.5,0.5,0.6,0.4,0.0,[0.  0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.6 0.9 0.9 1.  1. ],[0.  0.  0.  0.1 0.1 0.2 0.2 0.5 0.5 0.6 0.6 0.8 0.8 0.9 0.9 1. ],0.53
RSEllipticEnvelope,4,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.4 0.4 0.5 0.5 0.7 0.7 0.8 0.8 1. ],[0.  0.  0.  0.1 0.1 0.5 0.5 0.9 0.9 1.  1. ],0.6
RandomForest,4,0.59596,0.6,0.625,0.5833333333333334,0.5,0.7,0.20412,[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.6 0.6 0.7 0.7 0.9 0.9 1.  1. ],[0.  0.  0.1 0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.8 0.8 0.9 0.9 1. ],0.5999999999999999
DecisionTree,4,0.28571,0.4,0.0,0.4444444444444444,0.0,0.8,-0.33333,[0.  0.  0.7 1. ],[0.  0.2 0.3 1. ],0.63
KNN,4,0.41333,0.45,0.4,0.4666666666666667,0.2,0.7,-0.11547,[0.  0.1 0.2 0.9 1. ],[0.  0.1 0.3 1.  1. ],0.42000000000000004
