MN,ACC_1,ACC_2,F1,AUC
RSEllipticEnvelope,0.5133333333333333,0.4995097308488613,0.34534970000000004,0.4992308
RandomForest,0.5635443113668313,0.6094102376381788,0.561704,0.5749995
DecisionTree,0.5656270486479464,0.5789922737651066,0.5545512,0.5653842
KNN,0.5609331837323324,0.5753598810460266,0.5586559,0.5661542
LocalOutlierFactor,0.5174297494730932,0.512367595424871,0.4997442,0.5126917
IsolationForest,0.42072172619047626,0.484971524671168,0.38568559999999996,0.4753852
Xgboost,0.5728936030429838,0.58332322935922,0.5691153,0.5749995000000001
