model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
RSEllipticEnvelope,0,0.33333,0.5,,0.5,0.0,1.0,0.0,"[0.         0.14285714 0.28571429 0.28571429 0.57142857 0.57142857
 0.85714286 0.85714286 1.         1.        ]","[0.         0.         0.         0.14285714 0.14285714 0.57142857
 0.57142857 0.71428571 0.71428571 1.        ]",0.6938775510204082
RandomForest,0,0.64103,0.64286,0.625,0.6666666666666666,0.71429,0.57143,0.28868,"[0.         0.14285714 0.28571429 0.57142857 0.57142857 0.71428571
 0.71428571 0.85714286 1.         1.        ]","[0.         0.         0.14285714 0.14285714 0.28571429 0.42857143
 0.71428571 0.85714286 0.85714286 1.        ]",0.6632653061224489
DecisionTree,0,0.49744,0.5,0.5,0.5,0.57143,0.42857,0.0,"[0.         0.         0.57142857 0.57142857 0.85714286 1.
 1.        ]","[0.         0.14285714 0.28571429 0.57142857 0.57142857 0.71428571
 1.        ]",0.6224489795918368
KNN,0,0.35385,0.35714,0.375,0.3333333333333333,0.42857,0.28571,-0.28868,[0.         0.14285714 0.14285714 0.28571429 0.42857143 1.        ],[0.         0.14285714 0.42857143 0.71428571 0.71428571 1.        ],0.3163265306122449
LocalOutlierFactor,0,0.62567,0.64286,0.75,0.6,0.42857,0.85714,0.31623,"[0.         0.         0.         0.14285714 0.14285714 0.71428571
 0.71428571 1.        ]","[0.         0.14285714 0.57142857 0.71428571 0.85714286 0.85714286
 1.         1.        ]",0.13265306122448983
IsolationForest,0,0.475,0.57143,1.0,0.5384615384615384,0.14286,1.0,0.27735,"[0.         0.14285714 0.57142857 0.57142857 0.71428571 0.71428571
 0.85714286 0.85714286 1.        ]","[0.         0.         0.         0.57142857 0.57142857 0.85714286
 0.85714286 1.         1.        ]",0.653061224489796
Xgboost,0,0.49744,0.5,0.5,0.5,0.42857,0.57143,0.0,"[0.         0.14285714 0.14285714 0.28571429 0.28571429 0.42857143
 0.42857143 0.57142857 0.71428571 1.         1.        ]","[0.         0.         0.14285714 0.14285714 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 1.        ]",0.5408163265306123
RSEllipticEnvelope,1,0.33333,0.5,,0.5,0.0,1.0,0.0,"[0.         0.         0.14285714 0.14285714 0.42857143 0.42857143
 0.57142857 0.57142857 0.85714286 0.85714286 1.        ]","[0.         0.14285714 0.14285714 0.28571429 0.28571429 0.57142857
 0.57142857 0.85714286 0.85714286 1.         1.        ]",0.4285714285714286
RandomForest,1,0.26316,0.35714,0.4166666666666667,0.0,0.71429,0.0,-0.40825,"[0.         0.28571429 0.28571429 0.42857143 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 1.        ]","[0.         0.         0.14285714 0.28571429 0.42857143 0.71428571
 0.71428571 0.85714286 0.85714286 1.         1.        ]",0.4591836734693877
DecisionTree,1,0.41667,0.42857,0.4444444444444444,0.4,0.57143,0.28571,-0.14907,[0.         0.14285714 0.28571429 0.57142857 0.71428571 1.        ],[0.         0.14285714 0.28571429 0.71428571 1.         1.        ],0.40816326530612246
KNN,1,0.47594,0.5,0.5,0.5,0.28571,0.71429,0.0,"[0.         0.14285714 0.14285714 0.28571429 0.71428571 0.85714286
 0.85714286 1.        ]","[0.         0.         0.28571429 0.28571429 0.42857143 0.85714286
 1.         1.        ]",0.5714285714285714
LocalOutlierFactor,1,0.41667,0.42857,0.4,0.4444444444444444,0.28571,0.57143,-0.14907,"[0.         0.14285714 0.28571429 0.28571429 0.57142857 0.57142857
 0.57142857 0.71428571 0.71428571 0.85714286 0.85714286 1.        ]","[0.         0.         0.         0.14285714 0.14285714 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 1.         1.        ]",0.6326530612244898
IsolationForest,1,0.475,0.57143,1.0,0.5384615384615384,0.14286,1.0,0.27735,"[0.         0.14285714 0.14285714 0.28571429 0.28571429 0.42857143
 0.42857143 1.        ]","[0.         0.         0.42857143 0.42857143 0.57142857 0.57142857
 1.         1.        ]",0.2857142857142857
Xgboost,1,0.49744,0.5,0.5,0.5,0.42857,0.57143,0.0,"[0.         0.         0.         0.42857143 0.42857143 0.71428571
 0.71428571 1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.57142857 0.57142857
 1.         1.        ]",0.42857142857142855
RSEllipticEnvelope,2,0.33333,0.5,,0.5,0.0,1.0,0.0,"[0.         0.         0.14285714 0.14285714 0.42857143 0.42857143
 0.85714286 0.85714286 1.        ]","[0.         0.14285714 0.14285714 0.42857143 0.42857143 0.71428571
 0.71428571 1.         1.        ]",0.4081632653061224
RandomForest,2,0.59064,0.64286,0.5833333333333334,1.0,1.0,0.28571,0.40825,"[0.         0.28571429 0.57142857 0.57142857 0.71428571 0.71428571
 1.         1.        ]","[0.         0.14285714 0.14285714 0.42857143 0.57142857 0.71428571
 0.71428571 1.        ]",0.6632653061224489
