model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
RandomForest,0,0.56044,0.6,0.75,0.5625,0.3,0.9,0.25,[0.  0.3 0.4 1. ],[0.  0.1 0.5 1. ],0.5049999999999999
DecisionTree,0,0.27083,0.3,0.16666666666666666,0.35714285714285715,0.1,0.5,-0.43644,[0.  0.  0.  0.1 0.3 0.7 0.8 1.  1. ],[0.  0.2 0.3 0.5 0.6 0.6 0.7 0.7 1. ],0.405
KNN,0,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.1 0.2 0.2 0.7 0.7 0.8 0.8 0.9 0.9 1. ],[0.  0.  0.  0.3 0.3 0.5 0.5 0.8 0.8 0.9 1. ],0.625
LocalOutlierFactor,0,0.74425,0.75,0.8571428571428571,0.6923076923076923,0.6,0.9,0.52414,[0.  0.  0.  0.2 0.2 0.5 0.5 1. ],[0.  0.1 0.6 0.6 0.9 0.9 1.  1. ],0.11
IsolationForest,0,0.31034,0.45,0.0,0.47368421052631576,0.0,0.9,-0.22942,[0.  0.1 0.5 0.5 0.6 0.6 0.7 0.7 0.8 0.8 0.9 0.9 1.  1. ],[0.  0.  0.  0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.7 0.9 0.9 1. ],0.69
Xgboost,0,0.375,0.4,0.3333333333333333,0.42857142857142855,0.2,0.6,-0.21822,[0.  0.  0.  0.1 0.1 0.5 0.5 0.8 0.8 1.  1. ],[0.  0.1 0.2 0.2 0.4 0.4 0.5 0.5 0.6 0.6 1. ],0.55
RandomForest,1,0.47917,0.5,0.5,0.5,0.3,0.7,0.0,[0.  0.  0.3 0.4 0.8 0.9 1.  1. ],[0.  0.2 0.3 0.4 0.6 0.7 0.9 1. ],0.545
DecisionTree,1,0.375,0.4,0.3333333333333333,0.42857142857142855,0.2,0.6,-0.21822,[0.  0.2 0.2 0.3 0.4 0.5 1. ],[0.  0.3 0.4 0.4 0.5 0.5 1. ],0.45999999999999996
KNN,1,0.47917,0.5,0.5,0.5,0.3,0.7,0.0,[0.  0.1 0.3 0.7 1. ],[0.  0.  0.3 0.7 1. ],0.515
LocalOutlierFactor,1,0.375,0.4,0.3333333333333333,0.42857142857142855,0.2,0.6,-0.21822,[0.  0.  0.  0.2 0.2 0.6 0.6 0.8 0.8 1.  1. ],[0.  0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.9 0.9 1. ],0.5800000000000001
IsolationForest,1,0.31034,0.45,0.0,0.47368421052631576,0.0,0.9,-0.22942,[0.  0.  0.2 0.2 0.3 0.3 0.5 0.5 0.6 0.6 1.  1. ],[0.  0.1 0.1 0.4 0.4 0.6 0.6 0.7 0.7 0.8 0.8 1. ],0.43
Xgboost,1,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.  0.  0.2 0.2 0.7 0.7 0.9 0.9 1.  1. ],[0.  0.1 0.2 0.2 0.3 0.3 0.6 0.6 0.7 0.7 1. ],0.6200000000000001
