model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,THRESH
RandomForest,0,0.625,0.66667,1.0,0.6,0.33333,1.0,0.44721,[0.         0.33333333 1.        ],[0. 0. 1.],[2. 1. 0.]
DecisionTree,0,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.66666667 1.         1.        ],[0.         0.         0.33333333 1.        ],[1.75 0.75 0.5  0.  ]
KNN,0,0.625,0.66667,1.0,0.6,0.33333,1.0,0.44721,[0.         0.33333333 0.33333333 1.        ],[0. 0. 1. 1.],[1.6253412  0.6253412  0.35168446 0.2254886 ]
OneClassSVM,0,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
LocalOutlierFactor,0,0.66667,0.66667,0.6666666666666666,0.6666666666666666,0.66667,0.66667,0.33333,[],[],[]
IsolationForest,0,0.625,0.66667,1.0,0.6,0.33333,1.0,0.44721,[],[],[]
Xgboost,0,0.66667,0.66667,0.6666666666666666,0.6666666666666666,0.66667,0.66667,0.33333,[0.         0.         0.66666667 0.66666667 1.        ],[0.         0.33333333 0.33333333 1.         1.        ],[1.7365942  0.73659414 0.6418237  0.03910718 0.03251974]
RandomForest,1,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.66666667 0.66666667 1.         1.        ],[0.         0.         0.33333333 0.66666667 1.        ],[1.85714286 0.85714286 0.42857143 0.28571429 0.        ]
DecisionTree,1,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.66666667 1.         1.        ],[0.         0.         0.33333333 1.        ],[2.         1.         0.5        0.03030303]
KNN,1,0.48571,0.5,0.5,0.5,0.33333,0.66667,0.0,[0.         0.33333333 0.33333333 0.66666667 0.66666667 1.        ],[0.         0.         0.33333333 0.33333333 1.         1.        ],[1.70761148 0.70761148 0.59626548 0.36197252 0.27473108 0.13608557]
OneClassSVM,1,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
LocalOutlierFactor,1,0.25,0.33333,0.4,0.0,0.66667,0.0,-0.44721,[],[],[]
IsolationForest,1,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[],[],[]
Xgboost,1,0.66667,0.66667,0.6666666666666666,0.6666666666666666,0.66667,0.66667,0.33333,[0.         0.33333333 0.33333333 0.66666667 0.66666667 1.        ],[0.         0.         0.33333333 0.33333333 1.         1.        ],[1.7517114  0.7517114  0.6899498  0.5625575  0.03073429 0.01132528]
RandomForest,2,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.33333333 0.66666667 0.66666667 1.         1.        ],[0.         0.         0.         0.66666667 0.66666667 1.        ],[1.78125    0.78125    0.60208333 0.20776935 0.14780249 0.07547768]
DecisionTree,2,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.66666667 1.         1.        ],[0.         0.         0.33333333 1.        ],[1.75       0.75       0.27272727 0.        ]
KNN,2,0.48571,0.5,0.5,0.5,0.33333,0.66667,0.0,[0.         0.33333333 1.        ],[0.         0.33333333 1.        ],[1.57142857 0.57142857 0.28571429]
OneClassSVM,2,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
LocalOutlierFactor,2,0.25,0.33333,0.4,0.0,0.66667,0.0,-0.44721,[],[],[]
IsolationForest,2,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
Xgboost,2,0.48571,0.5,0.5,0.5,0.33333,0.66667,0.0,[0.         0.33333333 0.33333333 1.         1.        ],[0.         0.         0.33333333 0.33333333 1.        ],[1.5458176  0.54581755 0.50752336 0.13154894 0.06155618]
RandomForest,3,0.625,0.66667,1.0,0.6,0.33333,1.0,0.44721,[0.         0.33333333 0.66666667 0.66666667 1.         1.        ],[0.         0.         0.         0.33333333 0.66666667 1.        ],[1.72727273 0.72727273 0.5        0.36363636 0.18181818 0.09090909]
DecisionTree,3,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.66666667 1.         1.        ],[0.         0.         0.33333333 1.        ],[2.         1.         0.5        0.03030303]
