model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,THRESH
RandomForest,0,0.66667,0.66667,0.6666666666666666,0.6666666666666666,0.66667,0.66667,0.33333,[0.         0.33333333 0.66666667 1.        ],[0.         0.         0.33333333 1.        ],[2.         1.         0.66666667 0.        ]
DecisionTree,0,0.82857,0.83333,0.75,1.0,1.0,0.66667,0.70711,[0.         0.66666667 1.         1.        ],[0.         0.         0.33333333 1.        ],[2.  1.  0.6 0. ]
KNN,0,0.625,0.66667,1.0,0.6,0.33333,1.0,0.44721,[0.         0.33333333 1.        ],[0. 0. 1.],[1.8 0.8 0.4]
OneClassSVM,0,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
LocalOutlierFactor,0,0.48571,0.5,0.5,0.5,0.66667,0.33333,0.0,[],[],[]
IsolationForest,0,0.625,0.66667,1.0,0.6,0.33333,1.0,0.44721,[],[],[]
Xgboost,0,0.33333,0.33333,0.3333333333333333,0.3333333333333333,0.33333,0.33333,-0.33333,[0.         0.33333333 0.33333333 0.66666667 0.66666667 1.        ],[0.         0.         0.66666667 0.66666667 1.         1.        ],[1.7624469  0.7624469  0.51353395 0.4354527  0.0691992  0.01744866]
RandomForest,1,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.33333333 1.         1.        ],[0. 0. 0. 1.],[1.74623413 0.74623413 0.29657491 0.12359667]
DecisionTree,1,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.66666667 1.        ],[0. 0. 1.],[2. 1. 0.]
KNN,1,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.66666667 1.        ],[0. 0. 1.],[1.66666667 0.66666667 0.33333333]
OneClassSVM,1,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
LocalOutlierFactor,1,0.66667,0.66667,0.6666666666666666,0.6666666666666666,0.66667,0.66667,0.33333,[],[],[]
IsolationForest,1,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
Xgboost,1,0.48571,0.5,0.5,0.5,0.33333,0.66667,0.0,[0.         0.33333333 0.33333333 0.66666667 0.66666667 1.        ],[0.         0.         0.33333333 0.33333333 1.         1.        ],[1.7456195  0.7456195  0.59078556 0.30777374 0.08309738 0.08020761]
RandomForest,2,0.625,0.66667,1.0,0.6,0.33333,1.0,0.44721,[0.         0.33333333 1.        ],[0. 0. 1.],[2.         1.         0.33333333]
DecisionTree,2,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.66666667 1.        ],[0. 0. 1.],[2. 1. 0.]
KNN,2,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.66666667 1.        ],[0. 0. 1.],[1.66666667 0.66666667 0.33333333]
OneClassSVM,2,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
LocalOutlierFactor,2,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
IsolationForest,2,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
Xgboost,2,0.48571,0.5,0.5,0.5,0.33333,0.66667,0.0,[0. 0. 1. 1.],[0.         0.33333333 0.33333333 1.        ],[1.61402    0.61402    0.24880813 0.11892856]
RandomForest,3,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.         0.66666667 1.        ],[0. 0. 1.],[1.33333333 0.33333333 0.        ]
DecisionTree,3,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.66666667 1.         1.        ],[0.         0.         0.33333333 1.        ],[1.75       0.75       0.33333333 0.        ]
KNN,3,0.625,0.66667,1.0,0.6,0.33333,1.0,0.44721,[0.         0.33333333 1.        ],[0. 0. 1.],[1.66666667 0.66666667 0.33333333]
OneClassSVM,3,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
LocalOutlierFactor,3,0.48571,0.5,0.5,0.5,0.66667,0.33333,0.0,[],[],[]
IsolationForest,3,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
Xgboost,3,0.66667,0.66667,0.6666666666666666,0.6666666666666666,0.66667,0.66667,0.33333,[0.         0.33333333 0.33333333 0.66666667 0.66666667 1.        ],[0.         0.         0.33333333 0.33333333 1.         1.        ],[1.8318166  0.83181655 0.7756675  0.56049037 0.03575293 0.0134543 ]
RandomForest,4,0.625,0.66667,1.0,0.6,0.33333,1.0,0.44721,[0.         0.33333333 1.        ],[0. 0. 1.],[1.66666667 0.66666667 0.33333333]
DecisionTree,4,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.66666667 1.         1.        ],[0.         0.         0.33333333 1.        ],[1.75       0.75       0.33333333 0.        ]
KNN,4,0.625,0.66667,1.0,0.6,0.33333,1.0,0.44721,[0.         0.33333333 1.        ],[0. 0. 1.],[1.66666667 0.66666667 0.33333333]
OneClassSVM,4,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
LocalOutlierFactor,4,0.48571,0.5,0.5,0.5,0.66667,0.33333,0.0,[],[],[]
IsolationForest,4,0.625,0.66667,1.0,0.6,0.33333,1.0,0.44721,[],[],[]
Xgboost,4,0.625,0.66667,1.0,0.6,0.33333,1.0,0.44721,[0.         0.33333333 0.33333333 0.66666667 0.66666667 1.        ],[0.         0.         0.66666667 0.66666667 1.         1.        ],[1.7138824  0.7138824  0.46118808 0.35098162 0.18846129 0.15258643]
