model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
RandomForest,0,0.475,0.57143,1.0,0.5384615384615384,0.14286,1.0,0.27735,[0.         0.14285714 0.42857143 0.42857143 1.        ],[0.         0.         0.         0.28571429 1.        ],0.6326530612244898
DecisionTree,0,0.475,0.57143,1.0,0.5384615384615384,0.14286,1.0,0.27735,[0.         0.14285714 1.        ],[0. 0. 1.],0.5714285714285714
KNN,0,0.4269,0.5,0.5,0.5,0.14286,0.85714,0.0,[0.         0.         0.42857143 0.42857143 0.57142857 1.        ],[0.         0.14285714 0.14285714 0.42857143 0.42857143 1.        ],0.5714285714285714
OneClassSVM,0,0.62567,0.64286,0.6,0.75,0.85714,0.42857,0.31623,"[0.         0.         0.14285714 0.14285714 0.28571429 0.28571429
 1.        ]","[0.         0.14285714 0.14285714 0.85714286 0.85714286 1.
 1.        ]",0.14285714285714285
LocalOutlierFactor,0,0.78462,0.78571,0.8333333333333334,0.75,0.71429,0.85714,0.57735,"[0.         0.         0.14285714 0.14285714 0.28571429 0.28571429
 1.        ]","[0.         0.14285714 0.14285714 0.85714286 0.85714286 1.
 1.        ]",0.14285714285714285
IsolationForest,0,0.68889,0.71429,1.0,0.6363636363636364,0.42857,1.0,0.52223,"[0.         0.         0.14285714 0.14285714 0.28571429 0.28571429
 1.        ]","[0.         0.14285714 0.14285714 0.85714286 0.85714286 1.
 1.        ]",0.14285714285714285
Xgboost,0,0.475,0.57143,1.0,0.5384615384615384,0.14286,1.0,0.27735,"[0.         0.14285714 0.14285714 0.71428571 0.71428571 1.
 1.        ]","[0.         0.         0.14285714 0.14285714 0.28571429 0.28571429
 1.        ]",0.8367346938775511
RandomForest,1,0.47594,0.5,0.5,0.5,0.28571,0.71429,0.0,[0.         0.28571429 1.        ],[0.         0.28571429 1.        ],0.49999999999999994
DecisionTree,1,0.7754,0.78571,1.0,0.7,0.57143,1.0,0.63246,[0.         0.42857143 0.57142857 0.71428571 0.85714286 1.        ],[0.         0.         0.         0.14285714 0.14285714 1.        ],0.8877551020408164
KNN,1,0.475,0.57143,1.0,0.5384615384615384,0.14286,1.0,0.27735,"[0.         0.14285714 0.14285714 0.57142857 0.57142857 0.85714286
 1.        ]","[0.         0.         0.14285714 0.14285714 0.42857143 0.42857143
 1.        ]",0.7142857142857143
OneClassSVM,1,0.62567,0.64286,0.6,0.75,0.85714,0.42857,0.31623,"[0.         0.         0.14285714 0.14285714 0.28571429 0.28571429
 1.        ]","[0.         0.14285714 0.14285714 0.85714286 0.85714286 1.
 1.        ]",0.14285714285714285
LocalOutlierFactor,1,0.62567,0.64286,0.75,0.6,0.42857,0.85714,0.31623,"[0.         0.         0.14285714 0.14285714 0.28571429 0.28571429
 1.        ]","[0.         0.14285714 0.14285714 0.85714286 0.85714286 1.
 1.        ]",0.14285714285714285
IsolationForest,1,0.7754,0.78571,1.0,0.7,0.57143,1.0,0.63246,"[0.         0.         0.14285714 0.14285714 0.28571429 0.28571429
 1.        ]","[0.         0.14285714 0.14285714 0.85714286 0.85714286 1.
 1.        ]",0.14285714285714285
Xgboost,1,0.475,0.57143,1.0,0.5384615384615384,0.14286,1.0,0.27735,"[0.         0.14285714 0.14285714 0.71428571 0.71428571 1.
 1.        ]","[0.         0.         0.14285714 0.14285714 0.28571429 0.28571429
 1.        ]",0.8367346938775511
