model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
RandomForest,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.         0.42857143 0.57142857 0.85714286 1.        ],[0.         0.         0.28571429 0.57142857 1.        ],0.7448979591836735
DecisionTree,0,0.85417,0.85714,1.0,0.7777777777777778,0.71429,1.0,0.74536,[0.         0.42857143 0.71428571 0.85714286 1.        ],[0.         0.         0.         0.14285714 1.        ],0.9081632653061226
KNN,0,0.475,0.57143,1.0,0.5384615384615384,0.14286,1.0,0.27735,"[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.57142857 0.57142857 0.85714286 1.        ]","[0.         0.         0.         0.14285714 0.14285714 0.28571429
 0.28571429 0.42857143 0.42857143 1.        ]",0.7142857142857143
OneClassSVM,0,0.62567,0.64286,0.6,0.75,0.85714,0.42857,0.31623,"[0.         0.         0.14285714 0.14285714 0.28571429 0.28571429
 1.        ]","[0.         0.14285714 0.14285714 0.85714286 0.85714286 1.
 1.        ]",0.14285714285714285
LocalOutlierFactor,0,0.71429,0.71429,0.7142857142857143,0.7142857142857143,0.71429,0.71429,0.42857,"[0.         0.         0.14285714 0.14285714 0.28571429 0.28571429
 1.        ]","[0.         0.14285714 0.14285714 0.85714286 0.85714286 1.
 1.        ]",0.14285714285714285
IsolationForest,0,0.59064,0.64286,0.5833333333333334,1.0,1.0,0.28571,0.40825,"[0.         0.         0.14285714 0.14285714 0.28571429 0.28571429
 1.        ]","[0.         0.14285714 0.14285714 0.85714286 0.85714286 1.
 1.        ]",0.14285714285714285
Xgboost,0,0.4269,0.5,0.5,0.5,0.14286,0.85714,0.0,"[0.         0.14285714 0.14285714 0.85714286 0.85714286 1.
 1.        ]","[0.         0.         0.14285714 0.14285714 0.42857143 0.42857143
 1.        ]",0.836734693877551
RandomForest,1,0.475,0.57143,1.0,0.5384615384615384,0.14286,1.0,0.27735,"[0.         0.14285714 0.28571429 0.57142857 0.71428571 0.71428571
 0.71428571 0.85714286 0.85714286 1.        ]","[0.         0.         0.         0.         0.         0.28571429
 0.42857143 0.42857143 0.71428571 1.        ]",0.8163265306122449
DecisionTree,1,0.7754,0.78571,1.0,0.7,0.57143,1.0,0.63246,[0.         0.42857143 0.57142857 0.71428571 1.        ],[0.         0.         0.         0.14285714 1.        ],0.8265306122448981
KNN,1,0.4269,0.5,0.5,0.5,0.14286,0.85714,0.0,[0.         0.14285714 1.        ],[0.         0.14285714 1.        ],0.5
OneClassSVM,1,0.62567,0.64286,0.6,0.75,0.85714,0.42857,0.31623,"[0.         0.         0.14285714 0.14285714 0.28571429 0.28571429
 1.        ]","[0.         0.14285714 0.14285714 0.85714286 0.85714286 1.
 1.        ]",0.14285714285714285
LocalOutlierFactor,1,0.64103,0.64286,0.625,0.6666666666666666,0.71429,0.57143,0.28868,"[0.         0.         0.14285714 0.14285714 0.28571429 0.28571429
 1.        ]","[0.         0.14285714 0.14285714 0.85714286 0.85714286 1.
 1.        ]",0.14285714285714285
IsolationForest,1,0.7754,0.78571,1.0,0.7,0.57143,1.0,0.63246,"[0.         0.         0.14285714 0.14285714 0.28571429 0.28571429
 1.        ]","[0.         0.14285714 0.14285714 0.85714286 0.85714286 1.
 1.        ]",0.14285714285714285
Xgboost,1,0.475,0.57143,1.0,0.5384615384615384,0.14286,1.0,0.27735,[0.         0.14285714 0.14285714 1.         1.        ],[0.         0.         0.14285714 0.14285714 1.        ],0.8775510204081634
