"1","2","f1","auc","mcc"
100,0,0,0.5,0
100,20,0.714285714285714,0.466666666666667,0.333333333333333
80,0,0.571428571428571,0.533333333333333,-0.333333333333333
100,0,0,0.5,0
100,0,0,0.5,0
100,0,0,0.5,0
100,20,0.714285714285714,0.466666666666667,0.333333333333333
100,0,0,0.5,0
100,0,0,0.5,0
60,0,0.461538461538462,0.566666666666667,-0.5
100,20,0.714285714285714,0.466666666666667,0.333333333333333
80,0,0.571428571428571,0.533333333333333,-0.333333333333333
100,0,0,0.5,0
100,0,0,0.5,0
100,20,0.714285714285714,0.466666666666667,0.333333333333333
80,20,0.615384615384615,0.5,0
100,20,0.714285714285714,0.466666666666667,0.333333333333333
100,20,0.714285714285714,0.466666666666667,0.333333333333333
80,20,0.615384615384615,0.5,0
100,20,0.714285714285714,0.466666666666667,0.333333333333333
100,20,0.714285714285714,0.466666666666667,0.333333333333333
100,0,0,0.5,0
100,20,0.714285714285714,0.466666666666667,0.333333333333333
100,0,0,0.5,0
100,0,0,0.5,0
100,20,0.714285714285714,0.466666666666667,0.333333333333333
100,0,0,0.5,0
100,0,0,0.5,0
80,0,0.571428571428571,0.533333333333333,-0.333333333333333
100,0,0,0.5,0
100,0,0,0.5,0
80,20,0.615384615384615,0.5,0
100,0,0,0.5,0
80,0,0.571428571428571,0.533333333333333,-0.333333333333333
100,20,0.714285714285714,0.466666666666667,0.333333333333333
100,0,0,0.5,0
100,0,0,0.5,0
100,20,0.714285714285714,0.466666666666667,0.333333333333333
100,0,0,0.5,0
100,0,0,0.5,0
100,0,0,0.5,0
100,0,0,0.5,0
100,0,0,0.5,0
100,0,0,0.5,0
100,0,0,0.5,0
100,0,0,0.5,0
100,0,0,0.5,0
80,0,0.571428571428571,0.533333333333333,-0.333333333333333
100,0,0,0.5,0
100,0,0,0.5,0
