acc-class-1,acc-class-2,F1,ROC,MCC,model_name
80,60,0.727272727272727,0.433333333333333,0.408248290463863,Synclass
80,100,0.888888888888889,0.366666666666667,0.816496580927726,Synclass
40,60,0.444444444444444,0.5,0,Synclass
60,60,0.6,0.466666666666667,0.2,Synclass
20,80,0.285714285714286,0.5,0,Synclass
100,60,0.833333333333333,0.4,0.654653670707977,Synclass
80,100,0.888888888888889,0.366666666666667,0.816496580927726,Synclass
60,80,0.666666666666667,0.433333333333333,0.408248290463863,Synclass
80,40,0.666666666666667,0.466666666666667,0.218217890235992,Synclass
40,60,0.444444444444444,0.5,0,Synclass
80,80,0.8,0.4,0.6,Synclass
60,60,0.6,0.466666666666667,0.2,Synclass
100,80,0.909090909090909,0.366666666666667,0.816496580927726,Synclass
40,80,0.5,0.466666666666667,0.218217890235992,Synclass
80,80,0.8,0.4,0.6,Synclass
80,80,0.8,0.4,0.6,Synclass
100,100,1,0.333333333333333,1,Synclass
100,80,0.909090909090909,0.366666666666667,0.816496580927726,Synclass
60,80,0.666666666666667,0.433333333333333,0.408248290463863,Synclass
40,80,0.5,0.466666666666667,0.218217890235992,Synclass
80,60,0.727272727272727,0.433333333333333,0.408248290463863,Synclass
80,60,0.727272727272727,0.433333333333333,0.408248290463863,Synclass
60,80,0.666666666666667,0.433333333333333,0.408248290463863,Synclass
80,80,0.8,0.4,0.6,Synclass
60,60,0.6,0.466666666666667,0.2,Synclass
80,80,0.8,0.4,0.6,Synclass
100,60,0.833333333333333,0.4,0.654653670707977,Synclass
60,80,0.666666666666667,0.433333333333333,0.408248290463863,Synclass
60,60,0.6,0.466666666666667,0.2,Synclass
80,80,0.8,0.4,0.6,Synclass
60,60,0.6,0.466666666666667,0.2,Synclass
40,80,0.5,0.466666666666667,0.218217890235992,Synclass
80,60,0.727272727272727,0.433333333333333,0.408248290463863,Synclass
60,100,0.75,0.4,0.654653670707977,Synclass
80,40,0.666666666666667,0.466666666666667,0.218217890235992,Synclass
60,60,0.6,0.466666666666667,0.2,Synclass
80,100,0.888888888888889,0.366666666666667,0.816496580927726,Synclass
40,80,0.5,0.466666666666667,0.218217890235992,Synclass
60,60,0.6,0.466666666666667,0.2,Synclass
100,60,0.833333333333333,0.4,0.654653670707977,Synclass
40,60,0.444444444444444,0.5,0,Synclass
100,60,0.833333333333333,0.4,0.654653670707977,Synclass
40,20,0.363636363636364,0.566666666666667,-0.408248290463863,Synclass
100,60,0.833333333333333,0.4,0.654653670707977,Synclass
80,80,0.8,0.4,0.6,Synclass
80,20,0.615384615384615,0.5,0,Synclass
100,80,0.909090909090909,0.366666666666667,0.816496580927726,Synclass
80,80,0.8,0.4,0.6,Synclass
60,60,0.6,0.466666666666667,0.2,Synclass
80,80,0.8,0.4,0.6,Synclass
