"1","2","f1","auc","mcc"
60,80,0.666666666666667,0.433333333333333,0.408248290463863
20,80,0.285714285714286,0.5,0
80,60,0.727272727272727,0.433333333333333,0.408248290463863
100,80,0.909090909090909,0.366666666666667,0.816496580927726
80,80,0.8,0.4,0.6
60,60,0.6,0.466666666666667,0.2
40,40,0.4,0.533333333333333,-0.2
60,100,0.75,0.4,0.654653670707977
60,60,0.6,0.466666666666667,0.2
40,80,0.5,0.466666666666667,0.218217890235992
40,20,0.363636363636364,0.566666666666667,-0.408248290463863
80,40,0.666666666666667,0.466666666666667,0.218217890235992
40,80,0.5,0.466666666666667,0.218217890235992
60,40,0.545454545454545,0.5,0
80,40,0.666666666666667,0.466666666666667,0.218217890235992
80,80,0.8,0.4,0.6
80,80,0.8,0.4,0.6
100,80,0.909090909090909,0.366666666666667,0.816496580927726
60,60,0.6,0.466666666666667,0.2
100,60,0.833333333333333,0.4,0.654653670707977
80,20,0.615384615384615,0.5,0
80,60,0.727272727272727,0.433333333333333,0.408248290463863
80,60,0.727272727272727,0.433333333333333,0.408248290463863
60,40,0.545454545454545,0.5,0
80,100,0.888888888888889,0.366666666666667,0.816496580927726
80,80,0.8,0.4,0.6
60,20,0.5,0.533333333333333,-0.218217890235992
100,20,0.714285714285714,0.466666666666667,0.333333333333333
60,20,0.5,0.533333333333333,-0.218217890235992
100,80,0.909090909090909,0.366666666666667,0.816496580927726
60,80,0.666666666666667,0.433333333333333,0.408248290463863
100,60,0.833333333333333,0.4,0.654653670707977
60,80,0.666666666666667,0.433333333333333,0.408248290463863
100,80,0.909090909090909,0.366666666666667,0.816496580927726
40,80,0.5,0.466666666666667,0.218217890235992
100,20,0.714285714285714,0.466666666666667,0.333333333333333
80,20,0.615384615384615,0.5,0
80,40,0.666666666666667,0.466666666666667,0.218217890235992
80,20,0.615384615384615,0.5,0
40,80,0.5,0.466666666666667,0.218217890235992
60,20,0.5,0.533333333333333,-0.218217890235992
100,40,0.769230769230769,0.433333333333333,0.5
60,60,0.6,0.466666666666667,0.2
100,100,1,0.333333333333333,1
80,60,0.727272727272727,0.433333333333333,0.408248290463863
80,80,0.8,0.4,0.6
100,0,0,0.5,0
80,40,0.666666666666667,0.466666666666667,0.218217890235992
60,40,0.545454545454545,0.5,0
80,20,0.615384615384615,0.5,0
