"1","2","f1","auc","mcc"
80,80,0.8,0.373333333333333,0.6
80,80,0.8,0.4,0.6
60,100,0.75,0.413333333333333,0.654653670707977
100,60,0.833333333333333,0.4,0.654653670707977
60,100,0.75,0.426666666666667,0.654653670707977
60,80,0.666666666666667,0.426666666666667,0.408248290463863
100,60,0.833333333333333,0.333333333333333,0.654653670707977
20,80,0.285714285714286,0.426666666666667,0
80,80,0.8,0.373333333333333,0.6
60,60,0.6,0.426666666666667,0.2
80,60,0.727272727272727,0.386666666666667,0.408248290463863
100,60,0.833333333333333,0.466666666666667,0.654653670707977
60,80,0.666666666666667,0.44,0.408248290463863
80,80,0.8,0.44,0.6
80,80,0.8,0.373333333333333,0.6
60,100,0.75,0.36,0.654653670707977
60,100,0.75,0.386666666666667,0.654653670707977
60,80,0.666666666666667,0.373333333333333,0.408248290463863
80,80,0.8,0.346666666666667,0.6
100,80,0.909090909090909,0.333333333333333,0.816496580927726
60,40,0.545454545454545,0.44,0
60,80,0.666666666666667,0.413333333333333,0.408248290463863
100,80,0.909090909090909,0.333333333333333,0.816496580927726
20,100,0.333333333333333,0.44,0.333333333333333
60,60,0.6,0.426666666666667,0.2
80,60,0.727272727272727,0.373333333333333,0.408248290463863
80,40,0.666666666666667,0.48,0.218217890235992
100,80,0.909090909090909,0.4,0.816496580927726
80,100,0.888888888888889,0.386666666666667,0.816496580927726
60,80,0.666666666666667,0.413333333333333,0.408248290463863
60,80,0.666666666666667,0.426666666666667,0.408248290463863
60,80,0.666666666666667,0.373333333333333,0.408248290463863
60,40,0.545454545454545,0.46,0
80,60,0.727272727272727,0.413333333333333,0.408248290463863
80,80,0.8,0.36,0.6
80,100,0.888888888888889,0.333333333333333,0.816496580927726
100,80,0.909090909090909,0.346666666666667,0.816496580927726
60,40,0.545454545454545,0.453333333333333,0
40,80,0.5,0.44,0.218217890235992
60,80,0.666666666666667,0.4,0.408248290463863
80,80,0.8,0.44,0.6
60,100,0.75,0.346666666666667,0.654653670707977
80,40,0.666666666666667,0.506666666666667,0.218217890235992
80,20,0.615384615384615,0.44,0
60,60,0.6,0.426666666666667,0.2
20,80,0.285714285714286,0.413333333333333,0
40,100,0.571428571428572,0.386666666666667,0.5
60,60,0.6,0.44,0.2
80,100,0.888888888888889,0.333333333333333,0.816496580927726
100,40,0.769230769230769,0.386666666666667,0.5
