"1","2","f1","auc","mcc"
80,0,0.571428571428571,0.32,-0.333333333333333
100,40,0.769230769230769,0,0.5
80,20,0.615384615384615,0.48,0
80,0,0.571428571428571,0.4,-0.333333333333333
100,60,0.833333333333333,0.16,0.654653670707977
100,0,0,0.08,0
100,20,0.714285714285714,0.08,0.333333333333333
60,20,0.5,0.4,-0.218217890235992
100,40,0.769230769230769,0.16,0.5
60,40,0.545454545454545,0.52,0
100,40,0.769230769230769,0.2,0.5
80,20,0.615384615384615,0.28,0
100,0,0,0.08,0
100,20,0.714285714285714,0.2,0.333333333333333
100,40,0.769230769230769,0.08,0.5
80,40,0.666666666666667,0.16,0.218217890235992
100,60,0.833333333333333,0,0.654653670707977
100,40,0.769230769230769,0.16,0.5
80,40,0.666666666666667,0.32,0.218217890235992
100,40,0.769230769230769,0.28,0.5
100,20,0.714285714285714,0.12,0.333333333333333
100,40,0.769230769230769,0.12,0.5
100,20,0.714285714285714,0.12,0.333333333333333
100,60,0.833333333333333,0.16,0.654653670707977
80,40,0.666666666666667,0.2,0.218217890235992
100,20,0.714285714285714,0.08,0.333333333333333
100,0,0,0.24,0
80,20,0.615384615384615,0.36,0
60,40,0.545454545454545,0.36,0
100,20,0.714285714285714,0.12,0.333333333333333
80,20,0.615384615384615,0.4,0
80,20,0.615384615384615,0.36,0
100,60,0.833333333333333,0.24,0.654653670707977
80,20,0.615384615384615,0.32,0
80,20,0.615384615384615,0.28,0
100,20,0.714285714285714,0.32,0.333333333333333
80,20,0.615384615384615,0.16,0
80,40,0.666666666666667,0.28,0.218217890235992
80,40,0.666666666666667,0.36,0.218217890235992
100,20,0.714285714285714,0,0.333333333333333
80,20,0.615384615384615,0.44,0
100,40,0.769230769230769,0.04,0.5
80,0,0.571428571428571,0.56,-0.333333333333333
100,20,0.714285714285714,0.16,0.333333333333333
100,20,0.714285714285714,0.16,0.333333333333333
80,20,0.615384615384615,0.4,0
100,20,0.714285714285714,0.08,0.333333333333333
80,80,0.8,0.2,0.6
80,20,0.615384615384615,0.32,0
100,0,0,0.08,0
