MN,ACC_1,ACC_2,F1,AUC
RandomForest,0.43677004991052976,0.4390467136063112,0.4346855,0.4400007000000001
DecisionTree,0.4495634088134087,0.4501248865943138,0.44372930000000005,0.44961660000000003
KNN,0.5059857789269554,0.5097649572649572,0.4896066000000001,0.5073074
LocalOutlierFactor,0.4935294117647059,0.4774603174603175,0.4789257,0.48769320000000005
IsolationForest,0.3100277777777778,0.45165336469516026,0.37351219999999996,0.4238479
Xgboost,0.3434357456269222,0.3094620379620379,0.3264183,0.32961510000000005
