MN,ACC_1,ACC_2,F1,AUC
RandomForest,0.38020833333333337,0.49869818316648123,0.3415126,0.4975
DecisionTree,0.11627906976744186,0.4920374490174268,0.3289846,0.485
KNN,0.6666666666666666,0.5001724137931035,0.3343827,0.5003125
LocalOutlierFactor,0.5797127648753035,0.5729324430299663,0.5719757000000001,0.5746875
IsolationForest,0.5357731429274772,0.5561850644195846,0.5313164,0.5421875
Xgboost,,0.5,0.33332999999999996,0.5
