model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
RandomForest,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 1.],[0. 1.],0.5
DecisionTree,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.3 0.8 1. ],[0.  0.1 0.1 0.4 1. ],0.7100000000000001
KNN,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.2 0.6 1. ],[0.  0.2 0.5 1. ],0.54
LocalOutlierFactor,0,0.79798,0.8,0.75,0.875,0.9,0.7,0.61237,[0.  0.1 0.1 0.3 0.3 0.4 0.4 0.7 0.7 1. ],[0.  0.  0.7 0.7 0.8 0.8 0.9 0.9 1.  1. ],0.21
IsolationForest,0,0.37322,0.45,0.3333333333333333,0.47058823529411764,0.1,0.8,-0.14003,[0.  0.1 0.1 0.2 0.2 0.7 0.7 0.9 0.9 1.  1. ],[0.  0.  0.2 0.2 0.4 0.4 0.5 0.5 0.8 0.8 1. ],0.6000000000000001
Xgboost,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.2 0.2 0.3 0.3 0.5 0.5 0.6 0.6 0.7 0.7 1.  1. ],[0.  0.1 0.1 0.4 0.4 0.5 0.5 0.7 0.7 0.8 0.8 0.9 0.9 1. ],0.42000000000000004
RandomForest,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 1.],[0. 1.],0.5
DecisionTree,1,0.31034,0.45,0.0,0.47368421052631576,0.0,0.9,-0.22942,[0. 0. 1.],[0.  0.1 1. ],0.45
KNN,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.3 1. ],[0.  0.1 0.3 1. ],0.48499999999999993
LocalOutlierFactor,1,0.49495,0.5,0.5,0.5,0.4,0.6,0.0,[0.  0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.6 0.6 1.  1. ],[0.  0.  0.  0.2 0.2 0.4 0.4 0.6 0.6 0.8 0.8 1. ],0.5
IsolationForest,1,0.23077,0.3,0.0,0.375,0.0,0.6,-0.5,[0.  0.1 0.2 0.2 0.4 0.4 0.9 0.9 1.  1. ],[0.  0.  0.  0.2 0.2 0.4 0.4 0.6 0.6 1. ],0.7000000000000001
Xgboost,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.6 0.6 0.7 0.7 1.  1. ],[0.  0.  0.1 0.1 0.3 0.3 0.5 0.5 0.6 0.6 0.8 0.8 1. ],0.53
RandomForest,2,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 1.],[0. 1.],0.5
DecisionTree,2,0.48718,0.55,0.6666666666666666,0.5294117647058824,0.2,0.9,0.14003,[0.  0.2 1. ],[0.  0.1 1. ],0.55
KNN,2,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.2 0.6 1. ],[0.  0.2 0.5 1. ],0.54
LocalOutlierFactor,2,0.74937,0.75,0.7272727272727273,0.7777777777777778,0.8,0.7,0.50252,[0.  0.  0.  0.1 0.1 0.2 0.2 0.7 0.7 0.9 0.9 1. ],[0.  0.1 0.3 0.3 0.4 0.4 0.8 0.8 0.9 0.9 1.  1. ],0.25
IsolationForest,2,0.59596,0.6,0.5833333333333334,0.625,0.7,0.5,0.20412,[0.  0.  0.2 0.2 0.7 0.7 0.8 0.8 1.  1. ],[0.  0.1 0.1 0.5 0.5 0.7 0.7 0.8 0.8 1. ],0.5
Xgboost,2,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.6 1.  1. ],[0.  0.  0.1 0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.6 0.6 0.8 0.8 1. ],0.52
RandomForest,3,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 1.],[0. 1.],0.5
DecisionTree,3,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 0. 1.],[0.  0.1 1. ],0.45
KNN,3,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.2 0.6 1. ],[0.  0.2 0.5 1. ],0.54
LocalOutlierFactor,3,0.58333,0.6,0.5714285714285714,0.6666666666666666,0.8,0.4,0.21822,[0.  0.  0.  0.1 0.1 0.2 0.2 0.7 0.7 0.9 0.9 1. ],[0.  0.1 0.3 0.3 0.4 0.4 0.8 0.8 0.9 0.9 1.  1. ],0.25
IsolationForest,3,0.54887,0.55,0.5555555555555556,0.5454545454545454,0.5,0.6,0.1005,[0.  0.1 0.1 0.3 0.3 0.5 0.5 0.8 0.8 0.9 0.9 1.  1. ],[0.  0.  0.2 0.2 0.4 0.4 0.6 0.6 0.7 0.7 0.8 0.8 1. ],0.55
Xgboost,3,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.2 0.2 0.6 0.6 0.7 0.7 1.  1. ],[0.  0.  0.  0.2 0.2 0.7 0.7 0.8 0.8 1. ],0.61
RandomForest,4,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 1.],[0. 1.],0.5
