MN,ACC_1,ACC_2,F1,AUC
RandomForest,0.38770135420135426,0.41933047589665234,0.4009270000000001,0.40950000000000003
DecisionTree,0.3259871794871795,0.3289602113572703,0.32837210000000006,0.3335
KNN,0.6660779220779222,0.7169040404040404,0.6839686999999999,0.686
LocalOutlierFactor,0.5854393939393939,0.5923997946497946,0.5794815999999999,0.5855
IsolationForest,0.07066666666666667,0.3977630718954248,0.2675428,0.3364999999999999
Xgboost,0.19648412698412693,0.3222147852147852,0.2637871,0.277
