model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,THRESH
RandomForest,0,0.62409,0.61816,0.4838709677419355,0.7870370370370371,0.39474,0.84158,0.25302,"[0.         0.05263158 0.15789474 0.26315789 0.36842105 0.39473684
 0.39473684 0.42105263 0.42105263 0.44736842 0.44736842 0.52631579
 0.55263158 0.57894737 0.60526316 0.71052632 0.81578947 1.        ]","[0.         0.         0.00990099 0.02970297 0.15841584 0.15841584
 0.20792079 0.20792079 0.22772277 0.22772277 0.24752475 0.26732673
 0.26732673 0.27722772 0.27722772 0.2970297  0.43564356 1.        ]","[1.62864312 0.62864312 0.58997645 0.58749164 0.54882497 0.51636105
 0.40748082 0.3998629  0.3427103  0.34126055 0.33675959 0.30404364
 0.30155883 0.30010907 0.29954269 0.27719601 0.26289216 0.23604453]"
RandomForest,1,0.65587,0.64617,0.5517241379310345,0.8,0.42105,0.87129,0.32066,"[0.         0.02631579 0.05263158 0.05263158 0.07894737 0.07894737
 0.18421053 0.18421053 0.23684211 0.23684211 0.31578947 0.31578947
 0.36842105 0.36842105 0.42105263 0.42105263 0.44736842 0.44736842
 0.47368421 0.47368421 0.52631579 0.52631579 0.55263158 0.55263158
 0.63157895 0.63157895 0.65789474 0.65789474 0.68421053 0.68421053
 0.73684211 0.73684211 0.78947368 0.78947368 0.81578947 0.81578947
 0.84210526 0.84210526 0.84210526 0.84210526 0.86842105 0.86842105
 0.89473684 0.89473684 0.92105263 0.92105263 0.94736842 0.94736842
 0.97368421 0.97368421 0.97368421 0.97368421 1.         1.
 1.         1.        ]","[0.         0.         0.         0.00990099 0.00990099 0.01980198
 0.01980198 0.04950495 0.04950495 0.07920792 0.07920792 0.08910891
 0.08910891 0.10891089 0.10891089 0.12871287 0.12871287 0.15841584
 0.15841584 0.1980198  0.1980198  0.21782178 0.21782178 0.23762376
 0.23762376 0.25742574 0.25742574 0.27722772 0.27722772 0.28712871
 0.28712871 0.33663366 0.33663366 0.35643564 0.35643564 0.36633663
 0.36633663 0.40594059 0.42574257 0.45544554 0.45544554 0.63366337
 0.63366337 0.64356436 0.64356436 0.74257426 0.74257426 0.79207921
 0.79207921 0.8019802  0.82178218 0.89108911 0.89108911 0.9009901
 0.92079208 1.        ]","[1.78058689 0.78058689 0.7539601  0.73043511 0.72294042 0.71476607
 0.66371691 0.64930674 0.62922724 0.59928019 0.59222782 0.58158578
 0.54233436 0.51462998 0.50689837 0.50001757 0.49970927 0.47362112
 0.47213915 0.46218464 0.45501941 0.44232498 0.42816028 0.42129661
 0.38887335 0.3664012  0.36253311 0.34542734 0.338083   0.33766036
 0.32840062 0.30089596 0.29947396 0.29264648 0.29149052 0.29029842
 0.27759692 0.25301161 0.25082474 0.24784896 0.24423358 0.2049148
 0.20458324 0.20373539 0.20298482 0.18578278 0.18367326 0.1741953
 0.17153758 0.16812148 0.16477543 0.1580056  0.15761959 0.1564981
 0.15381471 0.12629581]"
RandomForest,2,0.62151,0.61178,0.7142857142857143,0.776,0.26316,0.9604,0.33107,"[0.         0.05263158 0.05263158 0.15789474 0.26315789 0.39473684
 0.39473684 0.42105263 0.42105263 0.44736842 0.44736842 0.63157895
 0.65789474 0.68421053 0.71052632 1.        ]","[0.         0.         0.00990099 0.01980198 0.03960396 0.17821782
 0.20792079 0.20792079 0.22772277 0.23762376 0.24752475 0.28712871
 0.28712871 0.2970297  0.2970297  1.        ]","[1.63992871 0.63992871 0.58986766 0.56903982 0.56448434 0.49359545
 0.39297921 0.39032132 0.38206957 0.36493799 0.36389963 0.32209032
 0.31753484 0.31487694 0.31383858 0.24664595]"
RandomForest,3,0.64237,0.63301,0.5357142857142857,0.7927927927927928,0.39474,0.87129,0.29562,"[0.         0.05263158 0.05263158 0.10526316 0.13157895 0.23684211
 0.34210526 0.39473684 0.39473684 0.39473684 0.39473684 0.42105263
 0.42105263 0.47368421 0.55263158 0.55263158 0.60526316 0.63157895
 0.63157895 0.63157895 0.63157895 0.68421053 0.68421053 0.71052632
 0.78947368 0.78947368 0.81578947 0.84210526 1.        ]","[0.         0.         0.00990099 0.00990099 0.01980198 0.02970297
 0.12871287 0.12871287 0.13861386 0.16831683 0.18811881 0.18811881
 0.23762376 0.25742574 0.25742574 0.26732673 0.2970297  0.31683168
 0.34653465 0.35643564 0.3960396  0.3960396  0.41584158 0.45544554
 0.45544554 0.48514851 0.48514851 0.5049505  1.        ]","[1.60812303 0.60812303 0.60630083 0.58775131 0.55939576 0.55757356
 0.52921801 0.50541112 0.4847898  0.47831702 0.427735   0.41997915
 0.37466464 0.34682634 0.32610311 0.32280241 0.31953394 0.31025431
 0.29976482 0.29881071 0.28007656 0.27904159 0.27635212 0.26863296
 0.25935333 0.25666386 0.2489447  0.24886384 0.22917558]"
RandomForest,4,0.61223,0.60826,0.45454545454545453,0.7830188679245284,0.39474,0.82178,0.2268,"[0.         0.05263158 0.15789474 0.26315789 0.39473684 0.39473684
 0.42105263 0.42105263 0.44736842 0.44736842 0.63157895 0.65789474
 0.68421053 0.71052632 1.        ]","[0.         0.         0.00990099 0.02970297 0.15841584 0.20792079
 0.21782178 0.22772277 0.22772277 0.24752475 0.28712871 0.28712871
 0.2970297  0.2970297  1.        ]","[1.64848813 0.64848813 0.60122887 0.59819188 0.55093262 0.41785678
 0.36886786 0.33869282 0.3369209  0.33141973 0.29143357 0.28839657
 0.28662465 0.2859324  0.24113732]"
