model_name,iteration,fold,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC
RandomForestClassifier,0,0,0.65464,0.65141,0.5483870967741935,0.7702702702702703,0.5,0.80282,0.31064
DecisionTree,0,0,0.61451,0.61112,0.5,0.743421052631579,0.42647,0.79577,0.23259
KNN,0,0,0.62681,0.62106,0.5510204081632653,0.7453416149068323,0.39706,0.84507,0.26788
OneClassSVM,0,0,0.63265,0.66694,0.4672897196261682,0.8252427184466019,0.73529,0.59859,0.31253
LocalOutlierFactor,0,0,0.43452,0.44149,0.27,0.6272727272727273,0.39706,0.48592,-0.10964
IsolationForest,0,0,0.5275,0.53956,0.4375,0.6966292134831461,0.20588,0.87324,0.10302
Xgboost,0,0,0.64122,0.63639,0.543859649122807,0.7581699346405228,0.45588,0.8169,0.28703
RandomForestClassifier,0,1,0.62138,0.62234,0.4857142857142857,0.7553956834532374,0.5,0.74468,0.24289
DecisionTree,0,1,0.60645,0.60252,0.5098039215686274,0.7341772151898734,0.38235,0.8227,0.22367
KNN,0,1,0.61753,0.61264,0.5714285714285714,0.7365269461077845,0.35294,0.87234,0.26339
OneClassSVM,0,1,0.5977,0.6214,0.43564356435643564,0.7777777777777778,0.64706,0.59574,0.22764
LocalOutlierFactor,0,1,0.52036,0.5207,0.352112676056338,0.6884057971014492,0.36765,0.67376,0.04096
IsolationForest,0,1,0.48017,0.50261,0.3333333333333333,0.6759776536312849,0.14706,0.85816,0.00697
Xgboost,0,1,0.60979,0.60685,0.4915254237288136,0.74,0.42647,0.78723,0.22244
RandomForestClassifier,1,0,0.63866,0.63194,0.5714285714285714,0.7515527950310559,0.41176,0.85211,0.29194
DecisionTree,1,0,0.58074,0.61288,0.41818181818181815,0.78,0.67647,0.5493,0.21152
KNN,1,0,0.64642,0.63929,0.58,0.75625,0.42647,0.85211,0.30606
OneClassSVM,1,0,0.63265,0.66694,0.4672897196261682,0.8252427184466019,0.73529,0.59859,0.31253
LocalOutlierFactor,1,0,0.43452,0.44149,0.27,0.6272727272727273,0.39706,0.48592,-0.10964
IsolationForest,1,0,0.49812,0.51429,0.36363636363636365,0.6836158192090396,0.17647,0.85211,0.03675
Xgboost,1,0,0.64446,0.64022,0.5423728813559322,0.7615894039735099,0.47059,0.80986,0.29197
RandomForestClassifier,1,1,0.59813,0.59491,0.5106382978723404,0.7283950617283951,0.35294,0.83688,0.21301
DecisionTree,1,1,0.55379,0.57077,0.65,0.708994708994709,0.19118,0.95035,0.22541
KNN,1,1,0.6032,0.60122,0.5833333333333334,0.7283236994219653,0.30882,0.89362,0.25118
OneClassSVM,1,1,0.5977,0.6214,0.43564356435643564,0.7777777777777778,0.64706,0.59574,0.22764
LocalOutlierFactor,1,1,0.52036,0.5207,0.352112676056338,0.6884057971014492,0.36765,0.67376,0.04096
IsolationForest,1,1,0.44773,0.4636,0.24390243902439024,0.6547619047619048,0.14706,0.78014,-0.08589
Xgboost,1,1,0.6478,0.6431,0.5517241379310345,0.7615894039735099,0.47059,0.8156,0.29945
RandomForestClassifier,2,0,0.63866,0.63194,0.5714285714285714,0.7515527950310559,0.41176,0.85211,0.29194
DecisionTree,2,0,0.58074,0.61288,0.41818181818181815,0.78,0.67647,0.5493,0.21152
KNN,2,0,0.64642,0.63929,0.58,0.75625,0.42647,0.85211,0.30606
OneClassSVM,2,0,0.63265,0.66694,0.4672897196261682,0.8252427184466019,0.73529,0.59859,0.31253
LocalOutlierFactor,2,0,0.43452,0.44149,0.27,0.6272727272727273,0.39706,0.48592,-0.10964
IsolationForest,2,0,0.46828,0.49896,0.32,0.6756756756756757,0.11765,0.88028,-0.00299
Xgboost,2,0,0.6067,0.60408,0.48333333333333334,0.74,0.42647,0.78169,0.21561
RandomForestClassifier,2,1,0.61818,0.61316,0.5416666666666666,0.7391304347826086,0.38235,0.84397,0.25209
DecisionTree,2,1,0.55379,0.57077,0.65,0.708994708994709,0.19118,0.95035,0.22541
KNN,2,1,0.60819,0.60503,0.5789473684210527,0.7309941520467836,0.32353,0.88652,0.25516
OneClassSVM,2,1,0.5977,0.6214,0.43564356435643564,0.7777777777777778,0.64706,0.59574,0.22764
LocalOutlierFactor,2,1,0.52036,0.5207,0.352112676056338,0.6884057971014492,0.36765,0.67376,0.04096
IsolationForest,2,1,0.4955,0.4976,0.32142857142857145,0.673202614379085,0.26471,0.7305,-0.00508
Xgboost,2,1,0.60979,0.60685,0.4915254237288136,0.74,0.42647,0.78723,0.22244
RandomForestClassifier,3,0,0.64237,0.63577,0.5686274509803921,0.7547169811320755,0.42647,0.84507,0.29631
DecisionTree,3,0,0.61451,0.61112,0.5,0.743421052631579,0.42647,0.79577,0.23259
KNN,3,0,0.61039,0.60605,0.5454545454545454,0.7349397590361446,0.35294,0.85915,0.24387
OneClassSVM,3,0,0.63265,0.66694,0.4672897196261682,0.8252427184466019,0.73529,0.59859,0.31253
LocalOutlierFactor,3,0,0.43452,0.44149,0.27,0.6272727272727273,0.39706,0.48592,-0.10964
IsolationForest,3,0,0.48688,0.51015,0.35714285714285715,0.6813186813186813,0.14706,0.87324,0.02794
Xgboost,3,0,0.62917,0.62583,0.5166666666666667,0.7533333333333333,0.45588,0.79577,0.26067
RandomForestClassifier,3,1,0.66102,0.65347,0.5961538461538461,0.7643312101910829,0.45588,0.85106,0.33264
DecisionTree,3,1,0.55379,0.57077,0.65,0.708994708994709,0.19118,0.95035,0.22541
KNN,3,1,0.6032,0.60122,0.5833333333333334,0.7283236994219653,0.30882,0.89362,0.25118
OneClassSVM,3,1,0.5977,0.6214,0.43564356435643564,0.7777777777777778,0.64706,0.59574,0.22764
LocalOutlierFactor,3,1,0.52036,0.5207,0.352112676056338,0.6884057971014492,0.36765,0.67376,0.04096
IsolationForest,3,1,0.48316,0.50615,0.3448275862068966,0.6777777777777778,0.14706,0.86525,0.01668
Xgboost,3,1,0.62908,0.62484,0.5263157894736842,0.75,0.44118,0.80851,0.26266
RandomForestClassifier,4,0,0.64285,0.63515,0.6,0.7515151515151515,0.39706,0.87324,0.30824
DecisionTree,4,0,0.58074,0.61288,0.41818181818181815,0.78,0.67647,0.5493,0.21152
KNN,4,0,0.63078,0.62459,0.5625,0.7469135802469136,0.39706,0.85211,0.27766
OneClassSVM,4,0,0.63265,0.66694,0.4672897196261682,0.8252427184466019,0.73529,0.59859,0.31253
LocalOutlierFactor,4,0,0.43452,0.44149,0.27,0.6272727272727273,0.39706,0.48592,-0.10964
IsolationForest,4,0,0.51763,0.529,0.4,0.6914285714285714,0.20588,0.85211,0.07282
Xgboost,4,0,0.6106,0.6076,0.4915254237288136,0.7417218543046358,0.42647,0.78873,0.22404
RandomForestClassifier,4,1,0.66102,0.65347,0.5961538461538461,0.7643312101910829,0.45588,0.85106,0.33264
DecisionTree,4,1,0.60625,0.60226,0.5208333333333334,0.7329192546583851,0.36765,0.83688,0.22781
KNN,4,1,0.6288,0.62302,0.6388888888888888,0.7398843930635838,0.33824,0.9078,0.30527
OneClassSVM,4,1,0.5977,0.6214,0.43564356435643564,0.7777777777777778,0.64706,0.59574,0.22764
LocalOutlierFactor,4,1,0.52036,0.5207,0.352112676056338,0.6884057971014492,0.36765,0.67376,0.04096
IsolationForest,4,1,0.45819,0.48107,0.2727272727272727,0.6647727272727273,0.13235,0.82979,-0.04864
Xgboost,4,1,0.57952,0.57744,0.45454545454545453,0.7207792207792207,0.36765,0.78723,0.16479
RandomForestClassifier,5,0,0.65875,0.65493,0.5573770491803278,0.7718120805369127,0.5,0.80986,0.31938
DecisionTree,5,0,0.58074,0.61288,0.41818181818181815,0.78,0.67647,0.5493,0.21152
KNN,5,0,0.61887,0.61371,0.5416666666666666,0.7407407407407407,0.38235,0.84507,0.25343
OneClassSVM,5,0,0.63265,0.66694,0.4672897196261682,0.8252427184466019,0.73529,0.59859,0.31253
LocalOutlierFactor,5,0,0.43452,0.44149,0.27,0.6272727272727273,0.39706,0.48592,-0.10964
IsolationForest,5,0,0.47602,0.49285,0.3055555555555556,0.6724137931034483,0.16176,0.82394,-0.01774
Xgboost,5,0,0.61877,0.61433,0.5185185185185185,0.7435897435897436,0.41176,0.8169,0.24482
RandomForestClassifier,5,1,0.66218,0.6578,0.5666666666666667,0.7718120805369127,0.5,0.8156,0.32684
DecisionTree,5,1,0.60645,0.60252,0.5098039215686274,0.7341772151898734,0.38235,0.8227,0.22367
KNN,5,1,0.58532,0.58375,0.5,0.7212121212121212,0.32353,0.84397,0.19249
OneClassSVM,5,1,0.5977,0.6214,0.43564356435643564,0.7777777777777778,0.64706,0.59574,0.22764
LocalOutlierFactor,5,1,0.52036,0.5207,0.352112676056338,0.6884057971014492,0.36765,0.67376,0.04096
IsolationForest,5,1,0.46916,0.48514,0.2894736842105263,0.6666666666666666,0.16176,0.80851,-0.03611
Xgboost,5,1,0.60979,0.60685,0.4915254237288136,0.74,0.42647,0.78723,0.22244
RandomForestClassifier,6,0,0.64237,0.63577,0.5686274509803921,0.7547169811320755,0.42647,0.84507,0.29631
DecisionTree,6,0,0.58074,0.61288,0.41818181818181815,0.78,0.67647,0.5493,0.21152
KNN,6,0,0.63078,0.62459,0.5625,0.7469135802469136,0.39706,0.85211,0.27766
OneClassSVM,6,0,0.63265,0.66694,0.4672897196261682,0.8252427184466019,0.73529,0.59859,0.31253
LocalOutlierFactor,6,0,0.43452,0.44149,0.27,0.6272727272727273,0.39706,0.48592,-0.10964
IsolationForest,6,0,0.47338,0.49928,0.32142857142857145,0.6758241758241759,0.13235,0.8662,-0.002
Xgboost,6,0,0.61877,0.61433,0.5185185185185185,0.7435897435897436,0.41176,0.8169,0.24482
RandomForestClassifier,6,1,0.59431,0.59136,0.5,0.7267080745341615,0.35294,0.82979,0.20353
DecisionTree,6,1,0.60645,0.60252,0.5098039215686274,0.7341772151898734,0.38235,0.8227,0.22367
KNN,6,1,0.60583,0.602,0.5333333333333333,0.7317073170731707,0.35294,0.85106,0.23253
OneClassSVM,6,1,0.5977,0.6214,0.43564356435643564,0.7777777777777778,0.64706,0.59574,0.22764
LocalOutlierFactor,6,1,0.52036,0.5207,0.352112676056338,0.6884057971014492,0.36765,0.67376,0.04096
IsolationForest,6,1,0.4186,0.44154,0.18421052631578946,0.6432748538011696,0.10294,0.78014,-0.14202
Xgboost,6,1,0.64569,0.64362,0.53125,0.7655172413793103,0.5,0.78723,0.29196
RandomForestClassifier,7,0,0.64285,0.63515,0.6,0.7515151515151515,0.39706,0.87324,0.30824
DecisionTree,7,0,0.58074,0.61288,0.41818181818181815,0.78,0.67647,0.5493,0.21152
KNN,7,0,0.63078,0.62459,0.5625,0.7469135802469136,0.39706,0.85211,0.27766
OneClassSVM,7,0,0.63265,0.66694,0.4672897196261682,0.8252427184466019,0.73529,0.59859,0.31253
LocalOutlierFactor,7,0,0.43452,0.44149,0.27,0.6272727272727273,0.39706,0.48592,-0.10964
IsolationForest,7,0,0.52381,0.53283,0.40540540540540543,0.6936416184971098,0.22059,0.84507,0.08064
Xgboost,7,0,0.62917,0.62583,0.5166666666666667,0.7533333333333333,0.45588,0.79577,0.26067
RandomForestClassifier,7,1,0.63194,0.64164,0.4819277108433735,0.7777777777777778,0.58824,0.69504,0.27123
DecisionTree,7,1,0.60645,0.60252,0.5098039215686274,0.7341772151898734,0.38235,0.8227,0.22367
KNN,7,1,0.60583,0.602,0.5333333333333333,0.7317073170731707,0.35294,0.85106,0.23253
OneClassSVM,7,1,0.5977,0.6214,0.43564356435643564,0.7777777777777778,0.64706,0.59574,0.22764
LocalOutlierFactor,7,1,0.52036,0.5207,0.352112676056338,0.6884057971014492,0.36765,0.67376,0.04096
IsolationForest,7,1,0.51687,0.52847,0.4,0.6896551724137931,0.20588,0.85106,0.07145
Xgboost,7,1,0.62908,0.62484,0.5263157894736842,0.75,0.44118,0.80851,0.26266
RandomForestClassifier,8,0,0.66586,0.67916,0.5176470588235295,0.808,0.64706,0.71127,0.3416
DecisionTree,8,0,0.58074,0.61288,0.41818181818181815,0.78,0.67647,0.5493,0.21152
KNN,8,0,0.64642,0.63929,0.58,0.75625,0.42647,0.85211,0.30606
OneClassSVM,8,0,0.63265,0.66694,0.4672897196261682,0.8252427184466019,0.73529,0.59859,0.31253
LocalOutlierFactor,8,0,0.43452,0.44149,0.27,0.6272727272727273,0.39706,0.48592,-0.10964
IsolationForest,8,0,0.51436,0.52548,0.3888888888888889,0.6896551724137931,0.20588,0.84507,0.06326
Xgboost,8,0,0.59547,0.59227,0.49019607843137253,0.7295597484276729,0.36765,0.8169,0.20138
RandomForestClassifier,8,1,0.59813,0.59491,0.5106382978723404,0.7283950617283951,0.35294,0.83688,0.21301
DecisionTree,8,1,0.55379,0.57077,0.65,0.708994708994709,0.19118,0.95035,0.22541
KNN,8,1,0.58532,0.58375,0.5,0.7212121212121212,0.32353,0.84397,0.19249
OneClassSVM,8,1,0.5977,0.6214,0.43564356435643564,0.7777777777777778,0.64706,0.59574,0.22764
LocalOutlierFactor,8,1,0.52036,0.5207,0.352112676056338,0.6884057971014492,0.36765,0.67376,0.04096
IsolationForest,8,1,0.48916,0.51325,0.37037037037037035,0.6813186813186813,0.14706,0.87943,0.037
Xgboost,8,1,0.60979,0.60685,0.4915254237288136,0.74,0.42647,0.78723,0.22244
RandomForestClassifier,9,0,0.63432,0.62873,0.5471698113207547,0.7515923566878981,0.42647,0.83099,0.27734
DecisionTree,9,0,0.58074,0.61288,0.41818181818181815,0.78,0.67647,0.5493,0.21152
KNN,9,0,0.63078,0.62459,0.5625,0.7469135802469136,0.39706,0.85211,0.27766
OneClassSVM,9,0,0.63265,0.66694,0.4672897196261682,0.8252427184466019,0.73529,0.59859,0.31253
LocalOutlierFactor,9,0,0.43452,0.44149,0.27,0.6272727272727273,0.39706,0.48592,-0.10964
IsolationForest,9,0,0.52678,0.54598,0.5,0.6989247311827957,0.17647,0.91549,0.13525
Xgboost,9,0,0.65165,0.64758,0.55,0.7666666666666667,0.48529,0.80986,0.30572
RandomForestClassifier,9,1,0.57877,0.57848,0.43283582089552236,0.7253521126760564,0.42647,0.7305,0.15758
DecisionTree,9,1,0.60625,0.60226,0.5208333333333334,0.7329192546583851,0.36765,0.83688,0.22781
KNN,9,1,0.58532,0.58375,0.5,0.7212121212121212,0.32353,0.84397,0.19249
OneClassSVM,9,1,0.5977,0.6214,0.43564356435643564,0.7777777777777778,0.64706,0.59574,0.22764
LocalOutlierFactor,9,1,0.52036,0.5207,0.352112676056338,0.6884057971014492,0.36765,0.67376,0.04096
IsolationForest,9,1,0.45631,0.48436,0.27586206896551724,0.6666666666666666,0.11765,0.85106,-0.04241
