model_name,iteration,fold,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC
RandomForestClassifier,0,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599
DecisionTree,0,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599
KNN,0,0,0.51295,0.51914,0.25,0.84375,0.09091,0.94737,0.0599
OneClassSVM,0,0,0.39526,0.42743,0.12121212121212122,0.8,0.36364,0.49123,-0.10693
LocalOutlierFactor,0,0,0.47998,0.48405,0.125,0.8333333333333334,0.09091,0.87719,-0.03646
IsolationForest,0,0,0.49405,0.49442,0.15384615384615385,0.8363636363636363,0.18182,0.80702,-0.01045
Xgboost,0,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599
RandomForestClassifier,0,1,0.54116,0.53828,0.25,0.85,0.18182,0.89474,0.0875
DecisionTree,0,1,0.50417,0.51037,0.2,0.8412698412698413,0.09091,0.92982,0.02925
KNN,0,1,0.58342,0.5941,0.2857142857142857,0.8703703703703703,0.36364,0.82456,0.17139
OneClassSVM,0,1,0.47361,0.60048,0.21052631578947367,0.9,0.72727,0.47368,0.14903
LocalOutlierFactor,0,1,0.56324,0.69856,0.2727272727272727,0.9428571428571428,0.81818,0.57895,0.2926
IsolationForest,0,1,0.78309,0.78309,0.6363636363636364,0.9298245614035088,0.63636,0.92982,0.56619
Xgboost,0,1,0.575,0.56459,0.4,0.8571428571428571,0.18182,0.94737,0.18226
RandomForestClassifier,1,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599
DecisionTree,1,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599
KNN,1,0,0.51295,0.51914,0.25,0.84375,0.09091,0.94737,0.0599
OneClassSVM,1,0,0.39526,0.42743,0.12121212121212122,0.8,0.36364,0.49123,-0.10693
LocalOutlierFactor,1,0,0.47998,0.48405,0.125,0.8333333333333334,0.09091,0.87719,-0.03646
IsolationForest,1,0,0.47241,0.47528,0.1111111111111111,0.8305084745762712,0.09091,0.85965,-0.05373
Xgboost,1,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599
RandomForestClassifier,1,1,0.55179,0.54705,0.2857142857142857,0.8524590163934426,0.18182,0.91228,0.11403
DecisionTree,1,1,0.4958,0.50159,0.16666666666666666,0.8387096774193549,0.09091,0.91228,0.00414
KNN,1,1,0.58342,0.5941,0.2857142857142857,0.8703703703703703,0.36364,0.82456,0.17139
OneClassSVM,1,1,0.47361,0.60048,0.21052631578947367,0.9,0.72727,0.47368,0.14903
LocalOutlierFactor,1,1,0.56324,0.69856,0.2727272727272727,0.9428571428571428,0.81818,0.57895,0.2926
IsolationForest,1,1,0.78309,0.78309,0.6363636363636364,0.9298245614035088,0.63636,0.92982,0.56619
Xgboost,1,1,0.56303,0.55582,0.3333333333333333,0.8548387096774194,0.18182,0.92982,0.14494
RandomForestClassifier,2,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599
DecisionTree,2,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599
KNN,2,0,0.51295,0.51914,0.25,0.84375,0.09091,0.94737,0.0599
OneClassSVM,2,0,0.39526,0.42743,0.12121212121212122,0.8,0.36364,0.49123,-0.10693
LocalOutlierFactor,2,0,0.47998,0.48405,0.125,0.8333333333333334,0.09091,0.87719,-0.03646
IsolationForest,2,0,0.51196,0.51196,0.18181818181818182,0.8421052631578947,0.18182,0.84211,0.02392
Xgboost,2,0,0.45161,0.49123,0.0,0.835820895522388,0.0,0.98246,-0.05367
RandomForestClassifier,2,1,0.50417,0.51037,0.2,0.8412698412698413,0.09091,0.92982,0.02925
DecisionTree,2,1,0.50417,0.51037,0.2,0.8412698412698413,0.09091,0.92982,0.02925
KNN,2,1,0.58342,0.5941,0.2857142857142857,0.8703703703703703,0.36364,0.82456,0.17139
OneClassSVM,2,1,0.47361,0.60048,0.21052631578947367,0.9,0.72727,0.47368,0.14903
LocalOutlierFactor,2,1,0.56324,0.69856,0.2727272727272727,0.9428571428571428,0.81818,0.57895,0.2926
IsolationForest,2,1,0.78309,0.78309,0.6363636363636364,0.9298245614035088,0.63636,0.92982,0.56619
Xgboost,2,1,0.61582,0.60128,0.42857142857142855,0.8688524590163934,0.27273,0.92982,0.24545
RandomForestClassifier,3,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599
DecisionTree,3,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599
KNN,3,0,0.51295,0.51914,0.25,0.84375,0.09091,0.94737,0.0599
OneClassSVM,3,0,0.39526,0.42743,0.12121212121212122,0.8,0.36364,0.49123,-0.10693
LocalOutlierFactor,3,0,0.47998,0.48405,0.125,0.8333333333333334,0.09091,0.87719,-0.03646
IsolationForest,3,0,0.46501,0.46651,0.1,0.8275862068965517,0.09091,0.84211,-0.06965
Xgboost,3,0,0.45161,0.49123,0.0,0.835820895522388,0.0,0.98246,-0.05367
RandomForestClassifier,3,1,0.49405,0.49442,0.15384615384615385,0.8363636363636363,0.18182,0.80702,-0.01045
DecisionTree,3,1,0.67298,0.77751,0.375,0.9545454545454546,0.81818,0.73684,0.42767
KNN,3,1,0.58342,0.5941,0.2857142857142857,0.8703703703703703,0.36364,0.82456,0.17139
OneClassSVM,3,1,0.47361,0.60048,0.21052631578947367,0.9,0.72727,0.47368,0.14903
LocalOutlierFactor,3,1,0.56324,0.69856,0.2727272727272727,0.9428571428571428,0.81818,0.57895,0.2926
IsolationForest,3,1,0.51373,0.69139,0.25,0.9642857142857143,0.90909,0.47368,0.2864
Xgboost,3,1,0.4958,0.50159,0.16666666666666666,0.8387096774193549,0.09091,0.91228,0.00414
RandomForestClassifier,4,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599
DecisionTree,4,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599
KNN,4,0,0.51295,0.51914,0.25,0.84375,0.09091,0.94737,0.0599
OneClassSVM,4,0,0.39526,0.42743,0.12121212121212122,0.8,0.36364,0.49123,-0.10693
LocalOutlierFactor,4,0,0.47998,0.48405,0.125,0.8333333333333334,0.09091,0.87719,-0.03646
IsolationForest,4,0,0.51295,0.51914,0.25,0.84375,0.09091,0.94737,0.0599
Xgboost,4,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599
RandomForestClassifier,4,1,0.56619,0.56619,0.2727272727272727,0.8596491228070176,0.27273,0.85965,0.13238
DecisionTree,4,1,0.53103,0.52951,0.2222222222222222,0.847457627118644,0.18182,0.87719,0.06412
KNN,4,1,0.58342,0.5941,0.2857142857142857,0.8703703703703703,0.36364,0.82456,0.17139
OneClassSVM,4,1,0.47361,0.60048,0.21052631578947367,0.9,0.72727,0.47368,0.14903
LocalOutlierFactor,4,1,0.56324,0.69856,0.2727272727272727,0.9428571428571428,0.81818,0.57895,0.2926
IsolationForest,4,1,0.8029,0.79187,0.7,0.9310344827586207,0.63636,0.94737,0.60692
Xgboost,4,1,0.4958,0.50159,0.16666666666666666,0.8387096774193549,0.09091,0.91228,0.00414
RandomForestClassifier,5,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599
DecisionTree,5,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599
KNN,5,0,0.51295,0.51914,0.25,0.84375,0.09091,0.94737,0.0599
OneClassSVM,5,0,0.39526,0.42743,0.12121212121212122,0.8,0.36364,0.49123,-0.10693
LocalOutlierFactor,5,0,0.47998,0.48405,0.125,0.8333333333333334,0.09091,0.87719,-0.03646
IsolationForest,5,0,0.48776,0.49282,0.14285714285714285,0.8360655737704918,0.09091,0.89474,-0.01739
Xgboost,5,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599
RandomForestClassifier,5,1,0.54116,0.53828,0.25,0.85,0.18182,0.89474,0.0875
DecisionTree,5,1,0.50417,0.51037,0.2,0.8412698412698413,0.09091,0.92982,0.02925
KNN,5,1,0.58342,0.5941,0.2857142857142857,0.8703703703703703,0.36364,0.82456,0.17139
OneClassSVM,5,1,0.47361,0.60048,0.21052631578947367,0.9,0.72727,0.47368,0.14903
LocalOutlierFactor,5,1,0.56324,0.69856,0.2727272727272727,0.9428571428571428,0.81818,0.57895,0.2926
IsolationForest,5,1,0.39876,0.57576,0.19148936170212766,0.9047619047619048,0.81818,0.33333,0.12076
Xgboost,5,1,0.58788,0.57337,0.5,0.859375,0.18182,0.96491,0.22963
RandomForestClassifier,6,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599
DecisionTree,6,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599
KNN,6,0,0.51295,0.51914,0.25,0.84375,0.09091,0.94737,0.0599
OneClassSVM,6,0,0.39526,0.42743,0.12121212121212122,0.8,0.36364,0.49123,-0.10693
LocalOutlierFactor,6,0,0.47998,0.48405,0.125,0.8333333333333334,0.09091,0.87719,-0.03646
IsolationForest,6,0,0.47998,0.48405,0.125,0.8333333333333334,0.09091,0.87719,-0.03646
Xgboost,6,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599
RandomForestClassifier,6,1,0.55179,0.54705,0.2857142857142857,0.8524590163934426,0.18182,0.91228,0.11403
DecisionTree,6,1,0.53103,0.52951,0.2222222222222222,0.847457627118644,0.18182,0.87719,0.06412
KNN,6,1,0.58342,0.5941,0.2857142857142857,0.8703703703703703,0.36364,0.82456,0.17139
OneClassSVM,6,1,0.47361,0.60048,0.21052631578947367,0.9,0.72727,0.47368,0.14903
LocalOutlierFactor,6,1,0.56324,0.69856,0.2727272727272727,0.9428571428571428,0.81818,0.57895,0.2926
IsolationForest,6,1,0.8029,0.79187,0.7,0.9310344827586207,0.63636,0.94737,0.60692
Xgboost,6,1,0.56303,0.55582,0.3333333333333333,0.8548387096774194,0.18182,0.92982,0.14494
