model_name,iteration,fold,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC
OneClassSVM,2,1,0.4381,0.65625,0.25,1.0,1.0,0.3125,0.27951
LocalOutlierFactor,2,1,0.49263,0.60322,0.24242424242424243,0.8846153846153846,0.72727,0.47917,0.16194
IsolationForest,2,1,0.45904,0.60701,0.23684210526315788,0.9047619047619048,0.81818,0.39583,0.17408
Xgboost,2,1,0.55329,0.54924,0.3333333333333333,0.8301886792452831,0.18182,0.91667,0.1269
RandomForestClassifier,3,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081
DecisionTree,3,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
KNN,3,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
OneClassSVM,3,0,0.61935,0.63352,0.35714285714285715,0.8666666666666667,0.45455,0.8125,0.24447
LocalOutlierFactor,3,0,0.46847,0.50852,0.19230769230769232,0.8181818181818182,0.45455,0.5625,0.01337
IsolationForest,3,0,0.49716,0.49716,0.18181818181818182,0.8125,0.18182,0.8125,-0.00568
Xgboost,3,0,0.57994,0.57008,0.5,0.8363636363636363,0.18182,0.95833,0.21712
RandomForestClassifier,3,1,0.59786,0.71117,0.32142857142857145,0.9354838709677419,0.81818,0.60417,0.3294
DecisionTree,3,1,0.54096,0.54261,0.25,0.8297872340425532,0.27273,0.8125,0.08246
KNN,3,1,0.51837,0.51799,0.2222222222222222,0.82,0.18182,0.85417,0.03898
OneClassSVM,3,1,0.4381,0.65625,0.25,1.0,1.0,0.3125,0.27951
LocalOutlierFactor,3,1,0.49263,0.60322,0.24242424242424243,0.8846153846153846,0.72727,0.47917,0.16194
IsolationForest,3,1,0.65698,0.72822,0.38095238095238093,0.9210526315789473,0.72727,0.72917,0.37128
Xgboost,3,1,0.52951,0.52841,0.25,0.8235294117647058,0.18182,0.875,0.06464
RandomForestClassifier,4,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081
