model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
Stacking,0,0.42857,0.42857,0.42857142857142855,0.42857142857142855,0.42857,0.42857,-0.14286,"[0.         0.         0.14285714 0.14285714 0.14285714 0.57142857
 0.57142857 0.71428571 0.85714286 1.        ]","[0.         0.14285714 0.14285714 0.42857143 0.57142857 0.57142857
 0.85714286 0.85714286 1.         1.        ]",0.33673469387755106
Stacking,1,0.5625,0.57143,0.6,0.5555555555555556,0.42857,0.71429,0.14907,"[0.         0.         0.         0.14285714 0.42857143 0.42857143
 0.57142857 0.85714286 1.         1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.28571429 0.57142857
 0.57142857 0.71428571 0.85714286 1.        ]",0.5
Stacking,2,0.3262,0.35714,0.25,0.4,0.14286,0.57143,-0.31623,"[0.         0.14285714 0.14285714 0.28571429 0.42857143 0.57142857
 0.85714286 0.85714286 1.        ]","[0.         0.28571429 0.42857143 0.42857143 0.57142857 0.57142857
 0.71428571 1.         1.        ]",0.4387755102040816
Stacking,3,0.64103,0.64286,0.6666666666666666,0.625,0.57143,0.71429,0.28868,"[0.         0.28571429 0.42857143 0.57142857 0.71428571 0.71428571
 0.85714286 1.         1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.57142857
 0.57142857 0.71428571 1.        ]",0.6836734693877551
Stacking,4,0.35385,0.35714,0.3333333333333333,0.375,0.28571,0.42857,-0.28868,"[0.         0.         0.14285714 0.14285714 0.28571429 0.28571429
 0.57142857 0.85714286 0.85714286 1.        ]","[0.         0.14285714 0.14285714 0.28571429 0.42857143 0.71428571
 0.71428571 0.85714286 1.         1.        ]",0.35714285714285715
Stacking,5,0.5625,0.57143,0.5555555555555556,0.6,0.71429,0.42857,0.14907,"[0.         0.14285714 0.28571429 0.57142857 0.57142857 0.71428571
 0.71428571 0.85714286 0.85714286 1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.57142857 0.57142857
 0.85714286 0.85714286 1.         1.        ]",0.5306122448979592
Stacking,6,0.47594,0.5,0.5,0.5,0.28571,0.71429,0.0,[0.         0.         0.14285714 0.57142857 1.         1.        ],[0.         0.14285714 0.28571429 0.28571429 0.85714286 1.        ],0.6020408163265306
Stacking,7,0.35385,0.35714,0.375,0.3333333333333333,0.42857,0.28571,-0.28868,"[0.         0.         0.14285714 0.42857143 0.42857143 0.57142857
 0.85714286 0.85714286 1.        ]","[0.         0.28571429 0.42857143 0.42857143 0.71428571 0.71428571
 0.85714286 1.         1.        ]",0.3571428571428571
Stacking,8,0.5625,0.57143,0.6,0.5555555555555556,0.42857,0.71429,0.14907,"[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.57142857 0.71428571 0.71428571 0.85714286 0.85714286 1.        ]","[0.         0.         0.         0.14285714 0.14285714 0.42857143
 0.42857143 0.57142857 0.71428571 0.71428571 0.85714286 1.        ]",0.6122448979591837
Stacking,9,0.49744,0.5,0.5,0.5,0.57143,0.42857,0.0,"[0.         0.         0.14285714 0.14285714 0.42857143 1.
 1.        ]","[0.         0.28571429 0.28571429 0.57142857 0.57142857 0.57142857
 1.        ]",0.46938775510204084
