model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
Stacking,0,0.64265,0.64286,0.65,0.6363636363636364,0.61905,0.66667,0.28604,"[0.         0.0952381  0.14285714 0.33333333 0.33333333 0.38095238
 0.38095238 0.42857143 0.52380952 0.61904762 0.71428571 0.76190476
 0.80952381 0.80952381 0.9047619  0.95238095 0.95238095 0.95238095
 1.        ]","[0.         0.04761905 0.0952381  0.19047619 0.23809524 0.23809524
 0.28571429 0.28571429 0.33333333 0.33333333 0.33333333 0.33333333
 0.38095238 0.57142857 0.71428571 0.71428571 0.76190476 0.95238095
 1.        ]",0.6746031746031746
Stacking,1,0.65972,0.66667,0.7333333333333333,0.6296296296296297,0.52381,0.80952,0.34783,"[0.         0.0952381  0.19047619 0.28571429 0.33333333 0.33333333
 0.38095238 0.38095238 0.47619048 0.52380952 0.61904762 0.61904762
 0.71428571 0.71428571 0.95238095 0.95238095 1.        ]","[0.         0.         0.04761905 0.04761905 0.0952381  0.14285714
 0.14285714 0.19047619 0.19047619 0.19047619 0.23809524 0.28571429
 0.28571429 0.38095238 0.85714286 0.9047619  1.        ]",0.7154195011337868
Stacking,2,0.66362,0.66667,0.64,0.7058823529411765,0.7619,0.57143,0.33955,"[0.         0.04761905 0.0952381  0.14285714 0.47619048 0.57142857
 0.76190476 0.76190476 0.80952381 0.80952381 0.80952381 0.95238095
 0.95238095 1.        ]","[0.         0.         0.         0.04761905 0.38095238 0.38095238
 0.42857143 0.47619048 0.47619048 0.52380952 0.61904762 0.9047619
 1.         1.        ]",0.6349206349206349
Stacking,3,0.46528,0.47619,0.4666666666666667,0.48148148148148145,0.33333,0.61905,-0.04969,"[0.         0.0952381  0.14285714 0.19047619 0.19047619 0.28571429
 0.33333333 0.33333333 0.33333333 0.52380952 0.61904762 0.66666667
 0.71428571 0.71428571 0.85714286 0.85714286 1.        ]","[0.         0.04761905 0.04761905 0.0952381  0.14285714 0.14285714
 0.14285714 0.19047619 0.38095238 0.38095238 0.47619048 0.57142857
 0.57142857 0.66666667 0.80952381 0.95238095 1.        ]",0.5612244897959183
Stacking,4,0.56543,0.59524,0.5625,0.7,0.85714,0.33333,0.22361,"[0.         0.         0.14285714 0.23809524 0.28571429 0.28571429
 0.33333333 0.42857143 0.47619048 0.52380952 0.61904762 0.66666667
 0.71428571 0.76190476 0.85714286 0.85714286 1.         1.
 1.        ]","[0.         0.04761905 0.28571429 0.33333333 0.33333333 0.38095238
 0.42857143 0.42857143 0.47619048 0.47619048 0.57142857 0.61904762
 0.61904762 0.66666667 0.66666667 0.71428571 0.85714286 0.95238095
 1.        ]",0.5124716553287982
Stacking,5,0.57045,0.57143,0.5789473684210527,0.5652173913043478,0.52381,0.61905,0.14351,"[0.         0.04761905 0.19047619 0.23809524 0.42857143 0.42857143
 0.52380952 0.57142857 0.66666667 0.76190476 0.80952381 0.85714286
 1.        ]","[0.         0.04761905 0.19047619 0.23809524 0.23809524 0.33333333
 0.38095238 0.42857143 0.42857143 0.47619048 0.52380952 0.76190476
 1.        ]",0.608843537414966
Stacking,6,0.73675,0.7381,0.7083333333333334,0.7777777777777778,0.80952,0.66667,0.48113,"[0.         0.19047619 0.42857143 0.52380952 0.76190476 0.76190476
 0.80952381 0.80952381 0.85714286 0.85714286 0.95238095 1.
 1.        ]","[0.         0.0952381  0.14285714 0.14285714 0.19047619 0.28571429
 0.33333333 0.42857143 0.42857143 0.47619048 0.76190476 0.85714286
 1.        ]",0.7766439909297052
Stacking,7,0.57143,0.57143,0.5714285714285714,0.5714285714285714,0.57143,0.57143,0.14286,"[0.         0.         0.14285714 0.28571429 0.42857143 0.57142857
 0.57142857 0.66666667 0.71428571 0.80952381 0.9047619  0.95238095
 1.        ]","[0.         0.04761905 0.0952381  0.23809524 0.23809524 0.38095238
 0.42857143 0.42857143 0.42857143 0.42857143 0.42857143 0.76190476
 1.        ]",0.6746031746031746
Stacking,8,0.73433,0.7381,0.6923076923076923,0.8125,0.85714,0.61905,0.49029,"[0.         0.04761905 0.0952381  0.14285714 0.57142857 0.76190476
 0.76190476 0.76190476 0.85714286 0.9047619  0.9047619  0.95238095
 0.95238095 1.         1.        ]","[0.         0.         0.         0.04761905 0.14285714 0.14285714
 0.19047619 0.38095238 0.38095238 0.38095238 0.52380952 0.66666667
 0.71428571 0.71428571 1.        ]",0.8140589569160998
Stacking,9,0.6903,0.69048,0.6818181818181818,0.7,0.71429,0.66667,0.38139,"[0.         0.0952381  0.14285714 0.14285714 0.23809524 0.47619048
 0.66666667 0.76190476 0.76190476 0.76190476 0.80952381 0.9047619
 0.9047619  1.        ]","[0.         0.0952381  0.0952381  0.14285714 0.14285714 0.28571429
 0.33333333 0.33333333 0.57142857 0.61904762 0.71428571 0.85714286
 0.9047619  1.        ]",0.6383219954648526
Stacking,10,0.76136,0.7619,0.7894736842105263,0.7391304347826086,0.71429,0.80952,0.5262,"[0.         0.23809524 0.42857143 0.57142857 0.57142857 0.71428571
 0.76190476 0.80952381 0.80952381 0.9047619  0.95238095 0.95238095
 1.        ]","[0.         0.         0.0952381  0.14285714 0.19047619 0.19047619
 0.28571429 0.28571429 0.33333333 0.76190476 0.80952381 0.85714286
 1.        ]",0.7879818594104309
Stacking,11,0.78462,0.78571,0.75,0.8333333333333334,0.85714,0.71429,0.57735,"[0.         0.19047619 0.38095238 0.61904762 0.71428571 0.71428571
 0.76190476 0.76190476 0.85714286 0.9047619  0.95238095 1.
 1.         1.         1.        ]","[0.         0.04761905 0.04761905 0.19047619 0.19047619 0.23809524
 0.23809524 0.28571429 0.28571429 0.28571429 0.33333333 0.33333333
 0.61904762 0.71428571 1.        ]",0.8571428571428571
Stacking,12,0.66591,0.66667,0.6842105263157895,0.6521739130434783,0.61905,0.71429,0.33486,"[0.         0.04761905 0.0952381  0.14285714 0.14285714 0.42857143
 0.71428571 0.80952381 0.80952381 0.9047619  0.9047619  0.95238095
 0.95238095 1.        ]","[0.         0.14285714 0.14285714 0.19047619 0.23809524 0.28571429
 0.28571429 0.33333333 0.38095238 0.80952381 0.85714286 0.9047619
 0.95238095 1.        ]",0.6507936507936508
Stacking,13,0.57045,0.57143,0.5652173913043478,0.5789473684210527,0.61905,0.52381,0.14351,"[0.         0.0952381  0.33333333 0.38095238 0.47619048 0.57142857
 0.61904762 0.61904762 0.76190476 0.85714286 0.9047619  1.        ]","[0.         0.         0.23809524 0.23809524 0.28571429 0.38095238
 0.38095238 0.47619048 0.47619048 0.61904762 0.76190476 1.        ]",0.6485260770975056
Stacking,14,0.68889,0.69048,0.6666666666666666,0.7222222222222222,0.7619,0.61905,0.3849,"[0.         0.         0.0952381  0.19047619 0.28571429 0.33333333
 0.76190476 0.76190476 0.80952381 0.9047619  0.9047619  0.9047619
 1.        ]","[0.         0.04761905 0.04761905 0.0952381  0.19047619 0.28571429
 0.28571429 0.38095238 0.38095238 0.61904762 0.66666667 1.
 1.        ]",0.6802721088435375
Stacking,15,0.85682,0.85714,0.8260869565217391,0.8947368421052632,0.90476,0.80952,0.71755,"[0.         0.04761905 0.23809524 0.61904762 0.71428571 0.76190476
 0.80952381 0.9047619  0.9047619  0.9047619  0.95238095 0.95238095
 1.        ]","[0.         0.04761905 0.04761905 0.14285714 0.14285714 0.14285714
 0.19047619 0.19047619 0.38095238 0.42857143 0.85714286 1.
 1.        ]",0.828798185941043
Stacking,16,0.68163,0.69048,0.6428571428571429,0.7857142857142857,0.85714,0.52381,0.40406,"[0.         0.14285714 0.23809524 0.47619048 0.52380952 0.57142857
 0.66666667 0.80952381 0.80952381 0.85714286 0.85714286 0.9047619
 0.9047619  0.9047619  0.95238095 1.         1.        ]","[0.         0.         0.         0.         0.0952381  0.0952381
 0.19047619 0.33333333 0.42857143 0.42857143 0.47619048 0.47619048
 0.52380952 0.61904762 0.71428571 0.9047619  1.        ]",0.8287981859410432
Stacking,17,0.61818,0.61905,0.631578947368421,0.6086956521739131,0.57143,0.66667,0.23918,"[0.         0.04761905 0.14285714 0.33333333 0.52380952 0.57142857
 0.57142857 0.61904762 0.61904762 0.71428571 0.9047619  0.95238095
 0.95238095 0.95238095 0.95238095 1.        ]","[0.         0.04761905 0.04761905 0.14285714 0.19047619 0.28571429
 0.33333333 0.33333333 0.38095238 0.52380952 0.66666667 0.76190476
 0.85714286 0.95238095 1.         1.        ]",0.6791383219954649
Stacking,18,0.73433,0.7381,0.6923076923076923,0.8125,0.85714,0.61905,0.49029,"[0.         0.04761905 0.14285714 0.19047619 0.38095238 0.61904762
 0.66666667 0.66666667 0.80952381 0.85714286 0.9047619  0.9047619
 0.95238095 1.         1.        ]","[0.         0.         0.04761905 0.0952381  0.14285714 0.23809524
 0.23809524 0.33333333 0.38095238 0.38095238 0.61904762 0.71428571
 0.80952381 0.80952381 1.        ]",0.7471655328798187
Stacking,19,0.68889,0.69048,0.7222222222222222,0.6666666666666666,0.61905,0.7619,0.3849,"[0.         0.23809524 0.33333333 0.38095238 0.38095238 0.47619048
 0.66666667 0.76190476 0.85714286 0.95238095 0.95238095 0.95238095
 0.95238095 0.95238095 1.        ]","[0.         0.04761905 0.04761905 0.04761905 0.14285714 0.23809524
 0.23809524 0.28571429 0.28571429 0.28571429 0.42857143 0.61904762
 0.71428571 0.9047619  1.        ]",0.7993197278911564
