model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
Stacking,0,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.33333333 0.66666667 0.66666667 1.        ],[0.         0.         0.         0.66666667 1.        ],0.7222222222222222
Stacking,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[0. 1. 1.],[0. 0. 1.],1.0
Stacking,2,0.625,0.66667,1.0,0.6,0.33333,1.0,0.44721,[0.         0.33333333 0.33333333 0.66666667 1.        ],[0.         0.         0.66666667 1.         1.        ],0.3888888888888889
Stacking,3,0.66667,0.66667,0.6666666666666666,0.6666666666666666,0.66667,0.66667,0.33333,[0.         0.33333333 0.66666667 0.66666667 1.         1.        ],[0.         0.         0.         0.66666667 0.66666667 1.        ],0.7777777777777778
Stacking,4,0.82857,0.83333,0.75,1.0,1.0,0.66667,0.70711,[0.         0.33333333 1.         1.        ],[0.         0.         0.33333333 1.        ],0.888888888888889
Stacking,5,0.48571,0.5,0.5,0.5,0.33333,0.66667,0.0,[0.         0.         0.33333333 0.66666667 1.         1.        ],[0.         0.33333333 0.33333333 0.66666667 0.66666667 1.        ],0.5
Stacking,6,0.82857,0.83333,0.75,1.0,1.0,0.66667,0.70711,[0.         0.33333333 1.         1.        ],[0. 0. 0. 1.],1.0
Stacking,7,0.82857,0.83333,0.75,1.0,1.0,0.66667,0.70711,[0.         0.66666667 1.         1.        ],[0.         0.33333333 0.33333333 1.        ],0.7777777777777779
Stacking,8,0.625,0.66667,0.6,1.0,1.0,0.33333,0.44721,[0. 1. 1.],[0.         0.33333333 1.        ],0.8333333333333334
Stacking,9,0.66667,0.66667,0.6666666666666666,0.6666666666666666,0.66667,0.66667,0.33333,[0.         0.         0.66666667 0.66666667 1.        ],[0.         0.33333333 0.33333333 0.66666667 1.        ],0.5
Stacking,10,0.14286,0.16667,0.0,0.25,0.0,0.33333,-0.70711,[0. 0. 1.],[0.         0.66666667 1.        ],0.16666666666666669
Stacking,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[0.         0.33333333 1.         1.        ],[0. 0. 0. 1.],1.0
Stacking,12,0.66667,0.66667,0.6666666666666666,0.6666666666666666,0.66667,0.66667,0.33333,[0.         0.66666667 1.         1.        ],[0.         0.33333333 0.66666667 1.        ],0.7222222222222222
Stacking,13,0.625,0.66667,1.0,0.6,0.33333,1.0,0.44721,[0.         0.33333333 0.66666667 1.        ],[0. 0. 0. 1.],0.8333333333333333
Stacking,14,0.82857,0.83333,0.75,1.0,1.0,0.66667,0.70711,[0.         0.66666667 0.66666667 1.         1.        ],[0.         0.         0.33333333 0.33333333 1.        ],0.888888888888889
Stacking,15,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.33333333 1.         1.         1.        ],[0.         0.         0.         0.33333333 1.        ],1.0
Stacking,16,0.625,0.66667,0.6,1.0,1.0,0.33333,0.44721,[0. 1. 1. 1.],[0.         0.         0.66666667 1.        ],1.0
Stacking,17,0.66667,0.66667,0.6666666666666666,0.6666666666666666,0.66667,0.66667,0.33333,[0.         0.         0.66666667 0.66666667 1.        ],[0.         0.33333333 0.33333333 0.66666667 1.        ],0.5
Stacking,18,0.82857,0.83333,0.75,1.0,1.0,0.66667,0.70711,[0.         0.33333333 1.         1.        ],[0.         0.33333333 0.33333333 1.        ],0.7222222222222223
Stacking,19,0.48571,0.5,0.5,0.5,0.66667,0.33333,0.0,[0.         0.66666667 0.66666667 1.         1.        ],[0.         0.33333333 0.66666667 0.66666667 1.        ],0.6666666666666667
Stacking,20,0.48571,0.5,0.5,0.5,0.66667,0.33333,0.0,[0.         0.33333333 0.66666667 0.66666667 1.         1.        ],[0.         0.33333333 0.33333333 0.66666667 0.66666667 1.        ],0.6111111111111112
Stacking,21,0.82857,0.83333,0.75,1.0,1.0,0.66667,0.70711,[0.         0.66666667 1.         1.        ],[0.         0.33333333 0.33333333 1.        ],0.7777777777777779
Stacking,22,0.66667,0.66667,0.6666666666666666,0.6666666666666666,0.66667,0.66667,0.33333,[0.         0.33333333 0.33333333 0.66666667 0.66666667 1.        ],[0.         0.         0.33333333 0.33333333 0.66666667 1.        ],0.6111111111111112
Stacking,23,0.625,0.66667,0.6,1.0,1.0,0.33333,0.44721,[0.         0.         0.66666667 1.         1.        ],[0.         0.33333333 0.66666667 0.66666667 1.        ],0.4444444444444445
Stacking,24,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.33333333 0.66666667 0.66666667 1.         1.        ],[0.         0.         0.         0.66666667 0.66666667 1.        ],0.7777777777777778
Stacking,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[0.         0.33333333 1.         1.        ],[0. 0. 0. 1.],1.0
Stacking,26,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.66666667 0.66666667 1.        ],[0.         0.         0.66666667 1.        ],0.7222222222222222
Stacking,27,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.66666667 0.66666667 1.         1.        ],[0.         0.         0.33333333 0.66666667 1.        ],0.8333333333333333
Stacking,28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[0.         0.33333333 1.         1.         1.        ],[0.         0.         0.         0.33333333 1.        ],1.0
Stacking,29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[0.         0.66666667 1.         1.        ],[0. 0. 0. 1.],1.0
Stacking,30,0.82857,0.83333,0.75,1.0,1.0,0.66667,0.70711,[0.         0.33333333 0.66666667 1.         1.        ],[0.         0.         0.         0.33333333 1.        ],0.9444444444444444
Stacking,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[0.         0.33333333 1.         1.         1.        ],[0.         0.         0.         0.66666667 1.        ],1.0
Stacking,32,0.48571,0.5,0.5,0.5,0.66667,0.33333,0.0,[0.         0.33333333 0.33333333 0.66666667 1.         1.        ],[0.         0.         0.33333333 0.66666667 0.66666667 1.        ],0.6111111111111112
Stacking,33,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.33333333 0.66666667 0.66666667 1.        ],[0.         0.         0.         0.33333333 1.        ],0.7777777777777778
Stacking,34,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.66666667 0.66666667 1.         1.        ],[0.         0.         0.33333333 0.66666667 1.        ],0.8333333333333333
Stacking,35,0.82857,0.83333,0.75,1.0,1.0,0.66667,0.70711,[0.         0.33333333 0.66666667 1.         1.        ],[0.         0.         0.         0.33333333 1.        ],0.9444444444444444
Stacking,36,0.48571,0.5,0.5,0.5,0.66667,0.33333,0.0,[0.         0.33333333 1.         1.        ],[0.         0.66666667 0.66666667 1.        ],0.4444444444444445
Stacking,37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[0.         0.33333333 1.         1.        ],[0. 0. 0. 1.],1.0
Stacking,38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[0.         0.33333333 1.         1.         1.        ],[0.         0.         0.         0.66666667 1.        ],1.0
Stacking,39,0.625,0.66667,1.0,0.6,0.33333,1.0,0.44721,[0.         0.33333333 0.66666667 1.        ],[0.         0.         0.33333333 1.        ],0.7222222222222222
Stacking,40,0.66667,0.66667,0.6666666666666666,0.6666666666666666,0.66667,0.66667,0.33333,[0.         0.         0.66666667 0.66666667 1.        ],[0.         0.33333333 0.33333333 0.66666667 1.        ],0.5
Stacking,41,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.33333333 0.66666667 0.66666667 1.        ],[0. 0. 0. 1. 1.],0.6666666666666666
Stacking,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[0. 1. 1.],[0. 0. 1.],1.0
Stacking,43,0.48571,0.5,0.5,0.5,0.33333,0.66667,0.0,[0.         0.33333333 0.33333333 1.        ],[0.         0.33333333 0.66666667 1.        ],0.3888888888888889
Stacking,44,0.66667,0.66667,0.6666666666666666,0.6666666666666666,0.66667,0.66667,0.33333,[0.         0.33333333 1.         1.        ],[0.         0.33333333 0.33333333 1.        ],0.7222222222222223
Stacking,45,0.48571,0.5,0.5,0.5,0.33333,0.66667,0.0,[0.         0.33333333 1.        ],[0.         0.33333333 1.        ],0.5
Stacking,46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[0. 1. 1.],[0. 0. 1.],1.0
Stacking,47,0.82857,0.83333,0.75,1.0,1.0,0.66667,0.70711,[0. 1. 1.],[0.         0.33333333 1.        ],0.8333333333333334
Stacking,48,0.48571,0.5,0.5,0.5,0.33333,0.66667,0.0,[0.         0.33333333 0.33333333 0.66666667 0.66666667 1.        ],[0.         0.         0.33333333 0.66666667 1.         1.        ],0.5
Stacking,49,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.66666667 1.         1.        ],[0. 0. 0. 1.],1.0
