model_name,F1,ROC,acc-class-1,acc-class-2,TPR,FPR,AUC,THRE
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.14285714 0.42857143 0.42857143 0.71428571
 0.71428571 0.85714286 0.85714286 1.        ]","[0.         0.14285714 0.14285714 0.14285714 0.28571429 0.28571429
 0.42857143 0.57142857 0.85714286 1.        ]",0.6530612244897959,-0.1
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.14285714 0.42857143 0.42857143 0.71428571
 0.71428571 0.85714286 0.85714286 1.        ]","[0.         0.14285714 0.14285714 0.14285714 0.28571429 0.28571429
 0.42857143 0.57142857 0.85714286 1.        ]",0.6530612244897959,-0.09000000000000001
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.14285714 0.42857143 0.42857143 0.71428571
 0.71428571 0.85714286 0.85714286 1.        ]","[0.         0.14285714 0.14285714 0.14285714 0.28571429 0.28571429
 0.42857143 0.57142857 0.85714286 1.        ]",0.6530612244897959,-0.08000000000000002
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.14285714 0.42857143 0.42857143 0.71428571
 0.71428571 0.85714286 0.85714286 1.        ]","[0.         0.14285714 0.14285714 0.14285714 0.28571429 0.28571429
 0.42857143 0.57142857 0.85714286 1.        ]",0.6530612244897959,-0.07000000000000002
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.14285714 0.42857143 0.42857143 0.71428571
 0.71428571 0.85714286 0.85714286 1.        ]","[0.         0.14285714 0.14285714 0.14285714 0.28571429 0.28571429
 0.42857143 0.57142857 0.85714286 1.        ]",0.6530612244897959,-0.060000000000000026
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.14285714 0.42857143 0.42857143 0.71428571
 0.71428571 0.85714286 0.85714286 1.        ]","[0.         0.14285714 0.14285714 0.14285714 0.28571429 0.28571429
 0.42857143 0.57142857 0.85714286 1.        ]",0.6530612244897959,-0.05000000000000003
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.14285714 0.42857143 0.42857143 0.71428571
 0.71428571 0.85714286 0.85714286 1.        ]","[0.         0.14285714 0.14285714 0.14285714 0.28571429 0.28571429
 0.42857143 0.57142857 0.85714286 1.        ]",0.6530612244897959,-0.040000000000000036
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.14285714 0.42857143 0.42857143 0.71428571
 0.71428571 0.85714286 0.85714286 1.        ]","[0.         0.14285714 0.14285714 0.14285714 0.28571429 0.28571429
 0.42857143 0.57142857 0.85714286 1.        ]",0.6530612244897959,-0.03000000000000004
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.14285714 0.42857143 0.42857143 0.71428571
 0.71428571 0.85714286 0.85714286 1.        ]","[0.         0.14285714 0.14285714 0.14285714 0.28571429 0.28571429
 0.42857143 0.57142857 0.85714286 1.        ]",0.6530612244897959,-0.020000000000000046
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.14285714 0.42857143 0.42857143 0.71428571
 0.71428571 0.85714286 0.85714286 1.        ]","[0.         0.14285714 0.14285714 0.14285714 0.28571429 0.28571429
 0.42857143 0.57142857 0.85714286 1.        ]",0.6530612244897959,-0.01000000000000005
