model_name,F1,ROC,acc-class-1,acc-class-2,TPR,FPR,AUC,THRE
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.1 0.2 0.2 0.3 0.6 0.6 0.6 0.7 0.7 0.8 1. ],[0.  0.  0.  0.2 0.2 0.2 0.4 0.6 0.6 0.8 0.9 1. ],0.585,-0.1
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.1 0.2 0.2 0.3 0.6 0.6 0.6 0.7 0.7 0.8 1. ],[0.  0.  0.  0.2 0.2 0.2 0.4 0.6 0.6 0.8 0.9 1. ],0.585,-0.09000000000000001
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.1 0.2 0.2 0.3 0.6 0.6 0.6 0.7 0.7 0.8 1. ],[0.  0.  0.  0.2 0.2 0.2 0.4 0.6 0.6 0.8 0.9 1. ],0.585,-0.08000000000000002
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.1 0.2 0.2 0.3 0.6 0.6 0.6 0.7 0.7 0.8 1. ],[0.  0.  0.  0.2 0.2 0.2 0.4 0.6 0.6 0.8 0.9 1. ],0.585,-0.07000000000000002
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.1 0.2 0.2 0.3 0.6 0.6 0.6 0.7 0.7 0.8 1. ],[0.  0.  0.  0.2 0.2 0.2 0.4 0.6 0.6 0.8 0.9 1. ],0.585,-0.060000000000000026
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.1 0.2 0.2 0.3 0.6 0.6 0.6 0.7 0.7 0.8 1. ],[0.  0.  0.  0.2 0.2 0.2 0.4 0.6 0.6 0.8 0.9 1. ],0.585,-0.05000000000000003
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.1 0.2 0.2 0.3 0.6 0.6 0.6 0.7 0.7 0.8 1. ],[0.  0.  0.  0.2 0.2 0.2 0.4 0.6 0.6 0.8 0.9 1. ],0.585,-0.040000000000000036
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.1 0.2 0.2 0.3 0.6 0.6 0.6 0.7 0.7 0.8 1. ],[0.  0.  0.  0.2 0.2 0.2 0.4 0.6 0.6 0.8 0.9 1. ],0.585,-0.03000000000000004
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.1 0.2 0.2 0.3 0.6 0.6 0.6 0.7 0.7 0.8 1. ],[0.  0.  0.  0.2 0.2 0.2 0.4 0.6 0.6 0.8 0.9 1. ],0.585,-0.020000000000000046
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.1 0.2 0.2 0.3 0.6 0.6 0.6 0.7 0.7 0.8 1. ],[0.  0.  0.  0.2 0.2 0.2 0.4 0.6 0.6 0.8 0.9 1. ],0.585,-0.01000000000000005
