model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC,ATT
Xgboost,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.1 0.6 0.6 0.7 0.7 1. ],[0.  0.1 0.4 0.4 0.8 0.8 1.  1. ],0.415,1
RandomForest,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.2 1. ],[0.  0.  0.2 1. ],0.51,2
DecisionTree,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.3 1. ],[0.  0.2 1. ],0.55,2
KNN,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.1 0.3 1. ],[0.  0.  0.3 0.7 1. ],0.30500000000000005,2
OneClassSVM,0,0.47917,0.5,0.5,0.5,0.7,0.3,0.0,[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.7 0.7 1.  1. ],[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.6 0.6 0.8 0.8 1. ],0.5,2
LocalOutlierFactor,0,0.39394,0.4,0.4166666666666667,0.375,0.5,0.3,-0.20412,[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.8 0.8 0.9 0.9 1.  1. ],[0.  0.  0.1 0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.6 0.6 0.9 0.9 1. ],0.64,2
IsolationForest,0,0.41333,0.45,0.4,0.4666666666666667,0.2,0.7,-0.11547,[0.  0.  0.  0.2 0.2 0.6 0.6 0.7 0.7 1.  1. ],[0.  0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.7 0.7 1. ],0.5900000000000001,2
Xgboost,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.6 0.6 0.7 1.  1. ],[0.  0.  0.  0.1 0.1 0.2 0.3 0.6 0.6 0.7 0.7 0.9 1. ],0.535,2
RandomForest,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 1. ],[0.  0.1 0.1 0.2 0.2 0.3 0.4 0.6 0.6 0.7 1. ],0.39,3
DecisionTree,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.1 0.3 0.4 0.4 0.5 0.5 0.6 1. ],[0.  0.2 0.2 0.2 0.2 0.3 0.5 0.6 0.7 1. ],0.47500000000000003,3
