model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC,ATT
RandomForest,0,0.33333,0.5,,0.5,0.0,1.0,0.0,"[0.         0.14285714 0.71428571 0.71428571 0.85714286 0.85714286
 1.        ]","[0.         0.         0.14285714 0.28571429 0.42857143 0.71428571
 1.        ]",0.7857142857142858,0
DecisionTree,0,0.33333,0.5,,0.5,0.0,1.0,0.0,"[0.         0.14285714 0.71428571 0.71428571 0.85714286 0.85714286
 1.        ]","[0.         0.         0.14285714 0.28571429 0.42857143 0.71428571
 1.        ]",0.7857142857142858,0
KNN,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 1.],[0. 1.],0.5,0
OneClassSVM,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 1. 1.],[0.         0.71428571 1.        ],0.6428571428571428,0
LocalOutlierFactor,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 1.],[0. 1.],0.5,0
IsolationForest,0,0.475,0.57143,1.0,0.5384615384615384,0.14286,1.0,0.27735,"[0.         0.57142857 0.71428571 0.85714286 0.85714286 0.85714286
 1.        ]","[0.         0.14285714 0.28571429 0.57142857 0.71428571 1.
 1.        ]",0.7244897959183673,0
Xgboost,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.         0.14285714 0.71428571 0.85714286 1.        ],[0.         0.         0.28571429 0.42857143 1.        ],0.7653061224489797,0
RandomForest,0,0.26316,0.35714,0.0,0.4166666666666667,0.0,0.71429,-0.40825,"[0.         0.         0.         0.14285714 0.57142857 0.57142857
 0.71428571 1.        ]","[0.         0.14285714 0.42857143 0.42857143 0.57142857 0.71428571
 0.71428571 1.        ]",0.37755102040816324,1
DecisionTree,0,0.27083,0.28571,0.2,0.3333333333333333,0.14286,0.42857,-0.44721,[0.         0.14285714 0.28571429 0.57142857 1.        ],[0.         0.57142857 0.85714286 1.         1.        ],0.163265306122449,1
KNN,0,0.3,0.42857,0.0,0.46153846153846156,0.0,0.85714,-0.27735,"[0.         0.         0.         0.57142857 0.57142857 0.71428571
 1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.71428571 0.71428571
 1.        ]",0.4897959183673469,1
