MN,ACC_1,ACC_2,F1,AUC
RandomForest,0.4502712056171176,0.49481256838399695,0.39339182857142857,0.4913263714285715
DecisionTree,0.4831320450885668,0.4987902930402931,0.38599477142857147,0.4976529857142857
KNN,0.48009049970820594,0.5023738898202418,0.40600859999999994,0.5005101000000001
OneClassSVM,0.4254032384937897,0.4711412044745379,0.3988452,0.47183638571428577
LocalOutlierFactor,0.45061139737979955,0.4925499896928469,0.4305078428571429,0.4878570428571429
IsolationForest,0.4148363652577136,0.4858335672264244,0.38247205714285704,0.47897935714285717
Xgboost,0.48243372915916993,0.498194757623329,0.3801177571428572,0.49704074285714284
