MN,ACC_1,ACC_2,F1,AUC,MCC
RandomForest,0.9290780141843971,0.6573333333333333,0.6892612,0.7166666,0.4898462
DecisionTree,0.9933333333333333,0.7483333333333333,0.825332,0.8299967999999999,0.6996343999999999
KNN,0.8953488372093024,0.5680000000000001,0.5590940000000001,0.6133355999999999,0.3041028
Xgboost,0.6360544217687075,0.5883333333333334,0.5817142000000001,0.5966684,0.2055284
