MN,ACC_1,ACC_2,F1,AUC,MCC
RandomForest,0.878623188405797,0.6463333333333334,0.6647134,0.6933332000000001,0.43472920000000004
DecisionTree,0.9666666666666667,0.7416666666666667,0.81238,0.8166639999999998,0.6697319999999999
KNN,0.8191489361702128,0.56,0.5582128000000001,0.6000019999999999,0.268326
OneClassSVM,1.0,0.634,0.5499982000000001,0.6500007999999999,0.3273304
LocalOutlierFactor,0.5546666666666666,0.38666666666666666,0.4916685999999999,0.5266672,0.005503200000000019
IsolationForest,0.8061224489795918,0.6661290322580646,0.5599746,0.643334,0.33721959999999995
Xgboost,0.6399999999999999,0.6,0.5990722,0.6066687999999999,0.2247192
