MN,ACC_1,ACC_2,F1,AUC,MCC
RandomForest,0.8787878787878789,0.6403333333333333,0.657118,0.6899996000000002,0.4220388
DecisionTree,0.975,0.75,0.8188560000000001,0.8233304,0.6846832
KNN,0.9431818181818182,0.5780000000000001,0.5760706,0.6300025999999999,0.34882379999999996
OneClassSVM,1.0,0.634,0.5499982000000001,0.6500007999999999,0.3273304
LocalOutlierFactor,0.5546666666666666,0.38666666666666666,0.4916685999999999,0.5266672,0.005503200000000019
IsolationForest,0.716,0.7604166666666666,0.5318314000000001,0.6300004,0.29527000000000003
Xgboost,0.6233333333333332,0.5733333333333333,0.5746902,0.5833345999999999,0.179671
