MN,ACC_1,ACC_2,F1,AUC,MCC
RandomForest,0.8501269841269842,0.5810805531615599,0.5880796,0.629286,0.3321297999999999
DecisionTree,0.8172828282828283,0.601478643889426,0.6182394000000001,0.6464291999999999,0.3466289999999999
KNN,0.7553102453102453,0.603950871132726,0.6263894000000001,0.6442842,0.3208476
OneClassSVM,0.43113653116749084,0.2707130832130832,0.3478576000000001,0.3957164,-0.2451268
LocalOutlierFactor,0.526063779357897,0.5155720115125149,0.49670680000000006,0.5192834000000001,0.0402542
IsolationForest,0.6211666666666666,0.5136317444230487,0.45123140000000006,0.5242850000000001,0.079235
Xgboost,0.7532857142857143,0.5585014304536043,0.5501220000000001,0.5942842,0.24182959999999995
