MN,ACC_1,ACC_2,F1,AUC,MCC
RandomForest,0.8605442176870749,0.6643333333333333,0.6862852,0.7066666,0.459927
DecisionTree,0.8443333333333333,0.7333333333333334,0.7553324,0.7633312,0.5520392000000001
KNN,0.94,0.6360000000000001,0.6734276,0.7000008,0.47671279999999994
OneClassSVM,0.9,0.9880952380952381,0.8761897999999999,0.9033332000000001,0.8082844
LocalOutlierFactor,0.425,0.4918367346938775,0.45509279999999996,0.4833332,-0.0546404
IsolationForest,0.853125,0.6381578947368421,0.5596180000000001,0.6333351999999999,0.34278319999999995
Xgboost,0.5544217687074829,0.5053333333333333,0.4967116000000001,0.5133336,0.04033199999999999
