MN,ACC_1,ACC_2,F1,AUC,MCC
RandomForest,0.8682525252525254,0.5819027782510485,0.5873992,0.6307146,0.3405822
DecisionTree,0.7960533910533908,0.6113943948260949,0.6309794,0.6542873999999999,0.3515746
KNN,0.7506450216450216,0.609771445198286,0.6336672,0.6492844000000001,0.3269976
OneClassSVM,0.43113653116749084,0.2707130832130832,0.3478576000000001,0.3957164,-0.2451268
LocalOutlierFactor,0.526063779357897,0.5155720115125149,0.49670680000000006,0.5192834000000001,0.0402542
IsolationForest,0.5927857142857144,0.5142222509925027,0.45014840000000006,0.5228562,0.0669566
Xgboost,0.7698571428571428,0.5597522492000753,0.5522727999999999,0.5971418,0.25236359999999997
