MN,ACC_1,ACC_2,F1,AUC,MCC
RandomForest,0.8589761904761906,0.5776197483675743,0.58274,0.6257148,0.3294138
DecisionTree,0.8236507936507935,0.6099271069637201,0.629354,0.6564296000000001,0.36474639999999986
KNN,0.7482092352092353,0.604725202139659,0.6274622,0.6442842,0.318142
OneClassSVM,0.43113653116749084,0.2707130832130832,0.3478576000000001,0.3957164,-0.2451268
LocalOutlierFactor,0.526063779357897,0.5155720115125149,0.49670680000000006,0.5192834000000001,0.0402542
IsolationForest,0.5704748199646159,0.5097618995294053,0.4602534,0.517858,0.05289979999999999
Xgboost,0.7388571428571429,0.5551684547336719,0.5443314000000001,0.5892842000000001,0.22886999999999996
