model_name,iteration,fold,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR
RandomForestClassifier,0,0,0.64583,0.61882,0.6,0.873015873015873,0.27273,0.96491,0.33527,0.2727272727272727,0.03508771929824561
DecisionTree,0,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599,0.09090909090909091,0.01754385964912286
KNN,0,0,0.51295,0.51914,0.25,0.84375,0.09091,0.94737,0.0599,0.09090909090909091,0.052631578947368474
OneClassSVM,0,0,0.63243,0.64833,0.35714285714285715,0.8888888888888888,0.45455,0.84211,0.27016,0.45454545454545453,0.1578947368421053
LocalOutlierFactor,0,0,0.3353,0.40271,0.11904761904761904,0.7692307692307693,0.45455,0.35088,-0.14744,0.45454545454545453,0.6491228070175439
IsolationForest,0,0,0.49405,0.49442,0.15384615384615385,0.8363636363636363,0.18182,0.80702,-0.01045,0.18181818181818182,0.19298245614035092
Xgboost,0,0,0.52225,0.52791,0.3333333333333333,0.8461538461538461,0.09091,0.96491,0.1001,0.09090909090909091,0.03508771929824561
RandomForestClassifier,0,1,0.54116,0.53828,0.25,0.85,0.18182,0.89474,0.0875,0.18181818181818182,0.10526315789473684
DecisionTree,0,1,0.56099,0.57656,0.25,0.8653846153846154,0.36364,0.78947,0.13292,0.36363636363636365,0.21052631578947367
KNN,0,1,0.55521,0.55742,0.25,0.8571428571428571,0.27273,0.84211,0.11092,0.2727272727272727,0.1578947368421053
OneClassSVM,0,1,0.40715,0.64912,0.21568627450980393,1.0,1.0,0.29825,0.25363,1.0,0.7017543859649122
LocalOutlierFactor,0,1,0.56324,0.69856,0.2727272727272727,0.9428571428571428,0.81818,0.57895,0.2926,0.8181818181818182,0.42105263157894735
IsolationForest,0,1,0.63221,0.69537,0.3333333333333333,0.9148936170212766,0.63636,0.75439,0.31144,0.6363636363636364,0.24561403508771928
Xgboost,0,1,0.55179,0.54705,0.2857142857142857,0.8524590163934426,0.18182,0.91228,0.11403,0.18181818181818182,0.08771929824561409
RandomForestClassifier,1,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599,0.09090909090909091,0.01754385964912286
DecisionTree,1,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599,0.09090909090909091,0.01754385964912286
KNN,1,0,0.51295,0.51914,0.25,0.84375,0.09091,0.94737,0.0599,0.09090909090909091,0.052631578947368474
OneClassSVM,1,0,0.63243,0.64833,0.35714285714285715,0.8888888888888888,0.45455,0.84211,0.27016,0.45454545454545453,0.1578947368421053
LocalOutlierFactor,1,0,0.3353,0.40271,0.11904761904761904,0.7692307692307693,0.45455,0.35088,-0.14744,0.45454545454545453,0.6491228070175439
IsolationForest,1,0,0.49405,0.49442,0.15384615384615385,0.8363636363636363,0.18182,0.80702,-0.01045,0.18181818181818182,0.19298245614035092
Xgboost,1,0,0.52225,0.52791,0.3333333333333333,0.8461538461538461,0.09091,0.96491,0.1001,0.09090909090909091,0.03508771929824561
RandomForestClassifier,1,1,0.54116,0.53828,0.25,0.85,0.18182,0.89474,0.0875,0.18181818181818182,0.10526315789473684
DecisionTree,1,1,0.53103,0.52951,0.2222222222222222,0.847457627118644,0.18182,0.87719,0.06412,0.18181818181818182,0.1228070175438597
KNN,1,1,0.53441,0.53987,0.21428571428571427,0.8518518518518519,0.27273,0.80702,0.07262,0.2727272727272727,0.19298245614035092
OneClassSVM,1,1,0.40715,0.64912,0.21568627450980393,1.0,1.0,0.29825,0.25363,1.0,0.7017543859649122
LocalOutlierFactor,1,1,0.56324,0.69856,0.2727272727272727,0.9428571428571428,0.81818,0.57895,0.2926,0.8181818181818182,0.42105263157894735
IsolationForest,1,1,0.78309,0.78309,0.6363636363636364,0.9298245614035088,0.63636,0.92982,0.56619,0.6363636363636364,0.07017543859649122
Xgboost,1,1,0.56303,0.55582,0.3333333333333333,0.8548387096774194,0.18182,0.92982,0.14494,0.18181818181818182,0.07017543859649122
RandomForestClassifier,2,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599,0.09090909090909091,0.01754385964912286
DecisionTree,2,0,0.53221,0.53668,0.5,0.8484848484848485,0.09091,0.98246,0.1599,0.09090909090909091,0.01754385964912286
KNN,2,0,0.51295,0.51914,0.25,0.84375,0.09091,0.94737,0.0599,0.09090909090909091,0.052631578947368474
