model_name,iteration,fold,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR
RandomForestClassifier,0,0,0.65754,0.65048,0.5849056603773585,0.7643312101910829,0.45588,0.84507,0.3242,0.45588235294117646,0.15492957746478875
DecisionTree,0,0,0.58074,0.61288,0.41818181818181815,0.78,0.67647,0.5493,0.21152,0.6764705882352942,0.45070422535211263
KNN,0,0,0.61039,0.60605,0.5454545454545454,0.7349397590361446,0.35294,0.85915,0.24387,0.35294117647058826,0.14084507042253525
OneClassSVM,0,0,0.63265,0.66694,0.4672897196261682,0.8252427184466019,0.73529,0.59859,0.31253,0.7352941176470589,0.4014084507042254
LocalOutlierFactor,0,0,0.43452,0.44149,0.27,0.6272727272727273,0.39706,0.48592,-0.10964,0.39705882352941174,0.5140845070422535
IsolationForest,0,0,0.52381,0.53283,0.40540540540540543,0.6936416184971098,0.22059,0.84507,0.08064,0.22058823529411764,0.15492957746478875
Xgboost,0,0,0.63236,0.62966,0.5161290322580645,0.7567567567567568,0.47059,0.78873,0.26602,0.47058823529411764,0.21126760563380287
RandomForestClassifier,0,1,0.62391,0.61921,0.6470588235294118,0.7371428571428571,0.32353,0.91489,0.30266,0.3235294117647059,0.08510638297872342
DecisionTree,0,1,0.60645,0.60252,0.5098039215686274,0.7341772151898734,0.38235,0.8227,0.22367,0.38235294117647056,0.17730496453900713
KNN,0,1,0.60583,0.602,0.5333333333333333,0.7317073170731707,0.35294,0.85106,0.23253,0.35294117647058826,0.14893617021276595
OneClassSVM,0,1,0.5977,0.6214,0.43564356435643564,0.7777777777777778,0.64706,0.59574,0.22764,0.6470588235294118,0.4042553191489362
LocalOutlierFactor,0,1,0.52036,0.5207,0.352112676056338,0.6884057971014492,0.36765,0.67376,0.04096,0.36764705882352944,0.3262411347517731
IsolationForest,0,1,0.43247,0.44916,0.21428571428571427,0.6467065868263473,0.13235,0.76596,-0.11889,0.1323529411764706,0.23404255319148937
Xgboost,0,1,0.6211,0.61775,0.5084745762711864,0.7466666666666667,0.44118,0.79433,0.24513,0.4411764705882353,0.2056737588652482
RandomForestClassifier,1,0,0.61083,0.60636,0.5319148936170213,0.7361963190184049,0.36765,0.84507,0.23881,0.36764705882352944,0.15492957746478875
DecisionTree,1,0,0.58074,0.61288,0.41818181818181815,0.78,0.67647,0.5493,0.21152,0.6764705882352942,0.45070422535211263
KNN,1,0,0.64642,0.63929,0.58,0.75625,0.42647,0.85211,0.30606,0.4264705882352941,0.147887323943662
OneClassSVM,1,0,0.63265,0.66694,0.4672897196261682,0.8252427184466019,0.73529,0.59859,0.31253,0.7352941176470589,0.4014084507042254
LocalOutlierFactor,1,0,0.43452,0.44149,0.27,0.6272727272727273,0.39706,0.48592,-0.10964,0.39705882352941174,0.5140845070422535
IsolationForest,1,0,0.52419,0.53604,0.42424242424242425,0.6949152542372882,0.20588,0.8662,0.09268,0.20588235294117646,0.1338028169014085
Xgboost,1,0,0.62122,0.61879,0.5,0.75,0.45588,0.78169,0.24371,0.45588235294117646,0.21830985915492962
RandomForestClassifier,1,1,0.54264,0.55027,0.45714285714285713,0.7011494252873564,0.23529,0.86525,0.12615,0.23529411764705882,0.13475177304964536
DecisionTree,1,1,0.55054,0.55434,0.45,0.7041420118343196,0.26471,0.84397,0.12943,0.2647058823529412,0.15602836879432624
KNN,1,1,0.58532,0.58375,0.5,0.7212121212121212,0.32353,0.84397,0.19249,0.3235294117647059,0.15602836879432624
OneClassSVM,1,1,0.5977,0.6214,0.43564356435643564,0.7777777777777778,0.64706,0.59574,0.22764,0.6470588235294118,0.4042553191489362
LocalOutlierFactor,1,1,0.52036,0.5207,0.352112676056338,0.6884057971014492,0.36765,0.67376,0.04096,0.36764705882352944,0.3262411347517731
IsolationForest,1,1,0.50159,0.50323,0.3291139240506329,0.676923076923077,0.38235,0.62411,0.00625,0.38235294117647056,0.375886524822695
Xgboost,1,1,0.6211,0.61775,0.5084745762711864,0.7466666666666667,0.44118,0.79433,0.24513,0.4411764705882353,0.2056737588652482
RandomForestClassifier,2,0,0.6435,0.64053,0.532258064516129,0.7635135135135135,0.48529,0.79577,0.28833,0.4852941176470588,0.204225352112676
DecisionTree,2,0,0.58074,0.61288,0.41818181818181815,0.78,0.67647,0.5493,0.21152,0.6764705882352942,0.45070422535211263
KNN,2,0,0.64642,0.63929,0.58,0.75625,0.42647,0.85211,0.30606,0.4264705882352941,0.147887323943662
OneClassSVM,2,0,0.63265,0.66694,0.4672897196261682,0.8252427184466019,0.73529,0.59859,0.31253,0.7352941176470589,0.4014084507042254
LocalOutlierFactor,2,0,0.43452,0.44149,0.27,0.6272727272727273,0.39706,0.48592,-0.10964,0.39705882352941174,0.5140845070422535
IsolationForest,2,0,0.54182,0.54422,0.37662337662337664,0.706766917293233,0.42647,0.66197,0.08588,0.4264705882352941,0.3380281690140845
Xgboost,2,0,0.6106,0.6076,0.4915254237288136,0.7417218543046358,0.42647,0.78873,0.22404,0.4264705882352941,0.21126760563380287
RandomForestClassifier,2,1,0.5833,0.58099,0.46296296296296297,0.7225806451612903,0.36765,0.79433,0.17336,0.36764705882352944,0.2056737588652482
DecisionTree,2,1,0.55379,0.57077,0.65,0.708994708994709,0.19118,0.95035,0.22541,0.19117647058823528,0.049645390070921946
KNN,2,1,0.58532,0.58375,0.5,0.7212121212121212,0.32353,0.84397,0.19249,0.3235294117647059,0.15602836879432624
OneClassSVM,2,1,0.5977,0.6214,0.43564356435643564,0.7777777777777778,0.64706,0.59574,0.22764,0.6470588235294118,0.4042553191489362
LocalOutlierFactor,2,1,0.52036,0.5207,0.352112676056338,0.6884057971014492,0.36765,0.67376,0.04096,0.36764705882352944,0.3262411347517731
IsolationForest,2,1,0.5091,0.51491,0.3409090909090909,0.6859504132231405,0.44118,0.58865,0.02831,0.4411764705882353,0.4113475177304965
Xgboost,2,1,0.62908,0.62484,0.5263157894736842,0.75,0.44118,0.80851,0.26266,0.4411764705882353,0.19148936170212771
RandomForestClassifier,3,0,0.64041,0.6367,0.5333333333333333,0.76,0.47059,0.80282,0.28319,0.47058823529411764,0.19718309859154926
DecisionTree,3,0,0.58074,0.61288,0.41818181818181815,0.78,0.67647,0.5493,0.21152,0.6764705882352942,0.45070422535211263
KNN,3,0,0.61863,0.6134,0.5555555555555556,0.7393939393939394,0.36765,0.85915,0.25864,0.36764705882352944,0.14084507042253525
OneClassSVM,3,0,0.63265,0.66694,0.4672897196261682,0.8252427184466019,0.73529,0.59859,0.31253,0.7352941176470589,0.4014084507042254
LocalOutlierFactor,3,0,0.43452,0.44149,0.27,0.6272727272727273,0.39706,0.48592,-0.10964,0.39705882352941174,0.5140845070422535
IsolationForest,3,0,0.51438,0.52869,0.40625,0.6910112359550562,0.19118,0.8662,0.0747,0.19117647058823528,0.1338028169014085
Xgboost,3,0,0.63317,0.62935,0.5254237288135594,0.7549668874172185,0.45588,0.80282,0.26933,0.45588235294117646,0.19718309859154926
RandomForestClassifier,3,1,0.59431,0.59136,0.5,0.7267080745341615,0.35294,0.82979,0.20353,0.35294117647058826,0.17021276595744683
DecisionTree,3,1,0.60645,0.60252,0.5098039215686274,0.7341772151898734,0.38235,0.8227,0.22367,0.38235294117647056,0.17730496453900713
KNN,3,1,0.6032,0.60122,0.5833333333333334,0.7283236994219653,0.30882,0.89362,0.25118,0.3088235294117647,0.1063829787234043
OneClassSVM,3,1,0.5977,0.6214,0.43564356435643564,0.7777777777777778,0.64706,0.59574,0.22764,0.6470588235294118,0.4042553191489362
LocalOutlierFactor,3,1,0.52036,0.5207,0.352112676056338,0.6884057971014492,0.36765,0.67376,0.04096,0.36764705882352944,0.3262411347517731
IsolationForest,3,1,0.46534,0.48488,0.2857142857142857,0.6666666666666666,0.14706,0.8227,-0.03795,0.14705882352941177,0.17730496453900713
Xgboost,3,1,0.60238,0.59872,0.5102040816326531,0.73125,0.36765,0.82979,0.21834,0.36764705882352944,0.17021276595744683
RandomForestClassifier,4,0,0.63464,0.62842,0.56,0.75,0.41176,0.84507,0.28217,0.4117647058823529,0.15492957746478875
DecisionTree,4,0,0.58074,0.61288,0.41818181818181815,0.78,0.67647,0.5493,0.21152,0.6764705882352942,0.45070422535211263
KNN,4,0,0.63078,0.62459,0.5625,0.7469135802469136,0.39706,0.85211,0.27766,0.39705882352941174,0.147887323943662
OneClassSVM,4,0,0.63265,0.66694,0.4672897196261682,0.8252427184466019,0.73529,0.59859,0.31253,0.7352941176470589,0.4014084507042254
LocalOutlierFactor,4,0,0.43452,0.44149,0.27,0.6272727272727273,0.39706,0.48592,-0.10964,0.39705882352941174,0.5140845070422535
IsolationForest,4,0,0.47393,0.50601,0.34782608695652173,0.679144385026738,0.11765,0.89437,0.018,0.11764705882352941,0.10563380281690138
Xgboost,4,0,0.6067,0.60408,0.48333333333333334,0.74,0.42647,0.78169,0.21561,0.4264705882352941,0.21830985915492962
RandomForestClassifier,4,1,0.65041,0.64179,0.627906976744186,0.7530120481927711,0.39706,0.88652,0.32867,0.39705882352941174,0.11347517730496459
DecisionTree,4,1,0.55379,0.57077,0.65,0.708994708994709,0.19118,0.95035,0.22541,0.19117647058823528,0.049645390070921946
KNN,4,1,0.6032,0.60122,0.5833333333333334,0.7283236994219653,0.30882,0.89362,0.25118,0.3088235294117647,0.1063829787234043
OneClassSVM,4,1,0.5977,0.6214,0.43564356435643564,0.7777777777777778,0.64706,0.59574,0.22764,0.6470588235294118,0.4042553191489362
LocalOutlierFactor,4,1,0.52036,0.5207,0.352112676056338,0.6884057971014492,0.36765,0.67376,0.04096,0.36764705882352944,0.3262411347517731
IsolationForest,4,1,0.47555,0.48566,0.29545454545454547,0.6666666666666666,0.19118,0.78014,-0.03296,0.19117647058823528,0.21985815602836878
Xgboost,4,1,0.63157,0.62891,0.5161290322580645,0.7551020408163265,0.47059,0.78723,0.26444,0.47058823529411764,0.21276595744680848
RandomForestClassifier,5,0,0.63464,0.62842,0.56,0.75,0.41176,0.84507,0.28217,0.4117647058823529,0.15492957746478875
DecisionTree,5,0,0.58074,0.61288,0.41818181818181815,0.78,0.67647,0.5493,0.21152,0.6764705882352942,0.45070422535211263
KNN,5,0,0.63078,0.62459,0.5625,0.7469135802469136,0.39706,0.85211,0.27766,0.39705882352941174,0.147887323943662
