model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
RandomForest,0,0.58519,0.61905,0.7777777777777778,0.5757575757575758,0.33333,0.90476,0.29013,"[0.         0.04761905 0.19047619 0.19047619 0.23809524 0.23809524
 0.33333333 0.33333333 0.38095238 0.52380952 0.52380952 0.57142857
 0.61904762 0.66666667 0.66666667 0.71428571 0.71428571 0.76190476
 0.76190476 0.80952381 1.        ]","[0.         0.         0.         0.04761905 0.04761905 0.0952381
 0.0952381  0.14285714 0.14285714 0.14285714 0.19047619 0.23809524
 0.23809524 0.52380952 0.57142857 0.57142857 0.61904762 0.76190476
 0.85714286 0.85714286 1.        ]",0.6439909297052154
DecisionTree,0,0.55529,0.57143,0.6153846153846154,0.5517241379310345,0.38095,0.7619,0.15451,"[0.         0.04761905 0.23809524 0.38095238 0.38095238 0.38095238
 0.42857143 0.42857143 0.47619048 0.47619048 0.61904762 0.71428571
 0.76190476 1.        ]","[0.         0.         0.14285714 0.14285714 0.23809524 0.28571429
 0.28571429 0.33333333 0.33333333 0.38095238 0.42857143 0.42857143
 0.52380952 1.        ]",0.6337868480725624
KNN,0,0.64663,0.66667,0.8181818181818182,0.6129032258064516,0.42857,0.90476,0.37907,[0.         0.14285714 0.42857143 0.71428571 1.        ],[0.         0.         0.0952381  0.66666667 1.        ],0.6394557823129252
OneClassSVM,0,0.33333,0.5,0.5,,1.0,0.0,0.0,"[0.         0.71428571 0.76190476 0.76190476 0.80952381 0.80952381
 0.9047619  0.9047619  1.        ]","[0.         0.71428571 0.71428571 0.85714286 0.85714286 0.95238095
 0.95238095 1.         1.        ]",0.48412698412698413
LocalOutlierFactor,0,0.68163,0.69048,0.7857142857142857,0.6428571428571429,0.52381,0.85714,0.40406,"[0.         0.         0.         0.04761905 0.04761905 0.14285714
 0.14285714 0.19047619 0.19047619 0.23809524 0.23809524 0.28571429
 0.28571429 0.38095238 0.38095238 0.42857143 0.42857143 0.47619048
 0.47619048 0.9047619  0.9047619  1.         1.        ]","[0.         0.04761905 0.14285714 0.14285714 0.23809524 0.23809524
 0.33333333 0.33333333 0.38095238 0.38095238 0.52380952 0.52380952
 0.61904762 0.61904762 0.76190476 0.76190476 0.80952381 0.80952381
 0.85714286 0.85714286 0.95238095 0.95238095 1.        ]",0.3197278911564626
IsolationForest,0,0.64663,0.66667,0.8181818181818182,0.6129032258064516,0.42857,0.90476,0.37907,"[0.         0.         0.         0.04761905 0.04761905 0.23809524
 0.23809524 0.28571429 0.28571429 0.38095238 0.42857143 0.47619048
 0.47619048 0.57142857 0.57142857 0.71428571 0.71428571 0.85714286
 0.85714286 1.        ]","[0.         0.04761905 0.42857143 0.42857143 0.52380952 0.52380952
 0.57142857 0.57142857 0.66666667 0.66666667 0.71428571 0.71428571
 0.76190476 0.76190476 0.9047619  0.9047619  0.95238095 0.95238095
 1.         1.        ]",0.24149659863945577
Xgboost,0,0.59615,0.61905,0.7272727272727273,0.5806451612903226,0.38095,0.85714,0.27077,"[0.         0.         0.04761905 0.04761905 0.38095238 0.38095238
 0.61904762 0.61904762 0.71428571 0.71428571 0.76190476 0.76190476
 0.80952381 0.80952381 0.85714286 0.85714286 1.         1.        ]","[0.         0.04761905 0.04761905 0.0952381  0.0952381  0.14285714
 0.14285714 0.23809524 0.23809524 0.47619048 0.47619048 0.57142857
 0.57142857 0.76190476 0.76190476 0.95238095 0.95238095 1.        ]",0.6870748299319729
RandomForest,1,0.61656,0.64286,0.8,0.59375,0.38095,0.90476,0.33541,[0.         0.19047619 0.38095238 0.57142857 0.76190476 1.        ],[0.         0.         0.0952381  0.33333333 0.71428571 1.        ],0.6462585034013606
DecisionTree,1,0.70833,0.71429,0.8,0.6666666666666666,0.57143,0.85714,0.44721,"[0.         0.19047619 0.57142857 0.66666667 0.71428571 0.80952381
 0.85714286 0.9047619  0.9047619  1.        ]","[0.         0.14285714 0.14285714 0.14285714 0.57142857 0.80952381
 0.85714286 0.85714286 1.         1.        ]",0.6598639455782314
KNN,1,0.57143,0.61905,0.8571428571428571,0.5714285714285714,0.28571,0.95238,0.31944,"[0.         0.0952381  0.28571429 0.52380952 0.61904762 0.95238095
 1.        ]","[0.         0.         0.04761905 0.33333333 0.47619048 0.76190476
 1.        ]",0.6632653061224489
OneClassSVM,1,0.33333,0.5,0.5,,1.0,0.0,0.0,"[0.         0.61904762 0.66666667 0.66666667 0.71428571 0.71428571
 0.76190476 0.76190476 0.80952381 0.80952381 0.9047619  0.9047619
 1.        ]","[0.         0.38095238 0.47619048 0.52380952 0.52380952 0.61904762
 0.61904762 0.71428571 0.71428571 0.95238095 0.95238095 1.
 1.        ]",0.5873015873015873
LocalOutlierFactor,1,0.60471,0.61905,0.6923076923076923,0.5862068965517241,0.42857,0.80952,0.25751,"[0.         0.         0.         0.04761905 0.04761905 0.28571429
 0.28571429 0.28571429 0.28571429 0.38095238 0.38095238 0.42857143
 0.42857143 0.52380952 0.52380952 0.57142857 0.57142857 0.61904762
 0.61904762 0.76190476 0.76190476 0.9047619  0.9047619  1.        ]","[0.         0.04761905 0.14285714 0.14285714 0.19047619 0.19047619
 0.23809524 0.33333333 0.38095238 0.38095238 0.57142857 0.57142857
 0.61904762 0.61904762 0.71428571 0.71428571 0.80952381 0.80952381
 0.85714286 0.85714286 0.95238095 0.95238095 1.         1.        ]",0.3990929705215419
IsolationForest,1,0.64663,0.66667,0.8181818181818182,0.6129032258064516,0.42857,0.90476,0.37907,"[0.         0.         0.04761905 0.04761905 0.0952381  0.0952381
 0.23809524 0.23809524 0.28571429 0.28571429 0.33333333 0.33333333
 0.38095238 0.38095238 0.57142857 0.57142857 0.61904762 0.61904762
 0.66666667 0.66666667 1.        ]","[0.         0.04761905 0.04761905 0.14285714 0.14285714 0.33333333
 0.33333333 0.38095238 0.38095238 0.52380952 0.52380952 0.57142857
 0.57142857 0.85714286 0.85714286 0.9047619  0.9047619  0.95238095
 0.95238095 1.         1.        ]",0.28798185941043086
Xgboost,1,0.61656,0.64286,0.8,0.59375,0.38095,0.90476,0.33541,"[0.         0.04761905 0.0952381  0.0952381  0.19047619 0.19047619
 0.38095238 0.38095238 0.47619048 0.47619048 0.66666667 0.66666667
 0.71428571 0.71428571 0.80952381 0.80952381 0.85714286 0.85714286
 1.        ]","[0.         0.         0.         0.04761905 0.04761905 0.0952381
 0.0952381  0.14285714 0.14285714 0.19047619 0.19047619 0.52380952
 0.52380952 0.57142857 0.57142857 0.61904762 0.61904762 1.
 1.        ]",0.6757369614512472
RandomForest,2,0.60502,0.64286,0.875,0.5882352941176471,0.33333,0.95238,0.3638,"[0.         0.04761905 0.23809524 0.23809524 0.38095238 0.47619048
 0.61904762 0.61904762 0.61904762 0.71428571 0.71428571 0.76190476
 0.76190476 0.80952381 0.80952381 0.80952381 0.9047619  0.9047619
 0.95238095 0.95238095 1.         1.        ]","[0.         0.         0.         0.04761905 0.04761905 0.04761905
 0.04761905 0.0952381  0.19047619 0.28571429 0.42857143 0.42857143
 0.52380952 0.52380952 0.76190476 0.80952381 0.80952381 0.85714286
 0.85714286 0.9047619  0.9047619  1.        ]",0.7528344671201814
DecisionTree,2,0.58519,0.61905,0.7777777777777778,0.5757575757575758,0.33333,0.90476,0.29013,"[0.         0.0952381  0.28571429 0.33333333 0.38095238 0.52380952
 0.57142857 0.85714286 0.95238095 0.95238095 0.95238095 1.        ]","[0.         0.0952381  0.0952381  0.0952381  0.19047619 0.23809524
 0.33333333 0.42857143 0.42857143 0.47619048 0.57142857 1.        ]",0.7346938775510203
KNN,2,0.58519,0.61905,0.7777777777777778,0.5757575757575758,0.33333,0.90476,0.29013,[0.         0.14285714 0.33333333 0.66666667 1.        ],[0.         0.         0.0952381  0.61904762 1.        ],0.6020408163265305
OneClassSVM,2,0.33333,0.5,0.5,,1.0,0.0,0.0,"[0.         0.71428571 0.71428571 0.76190476 0.76190476 0.80952381
 0.80952381 0.9047619  0.9047619  1.        ]","[0.         0.57142857 0.61904762 0.61904762 0.71428571 0.71428571
 0.95238095 0.95238095 1.         1.        ]",0.5464852607709751
