model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR
RandomForestClassifier,0,0.58276,0.57869,0.42857142857142855,0.7657657657657657,0.31579,0.84158,0.17488,0.3157894736842105,0.15841584158415845
DecisionTree,0,0.60742,0.60657,0.43243243243243246,0.7843137254901961,0.42105,0.79208,0.21493,0.42105263157894735,0.20792079207920788
KNN,0,0.62409,0.61816,0.4838709677419355,0.7870370370370371,0.39474,0.84158,0.25302,0.39473684210526316,0.15841584158415845
OneClassSVM,0,0.60671,0.64904,0.4,0.8378378378378378,0.68421,0.61386,0.26626,0.6842105263157895,0.38613861386138615
LocalOutlierFactor,0,0.4272,0.43017,0.20689655172413793,0.6790123456790124,0.31579,0.54455,-0.12623,0.3157894736842105,0.4554455445544554
IsolationForest,0,0.51116,0.51785,0.3181818181818182,0.7350427350427351,0.18421,0.85149,0.04359,0.18421052631578946,0.14851485148514854
Xgboost,0,0.66141,0.66415,0.5,0.8181818181818182,0.52632,0.80198,0.3232,0.5263157894736842,0.19801980198019797
RandomForestClassifier,1,0.61064,0.605,0.4666666666666667,0.7798165137614679,0.36842,0.84158,0.22751,0.3684210526315789,0.15841584158415845
DecisionTree,1,0.67405,0.67405,0.5263157894736842,0.8217821782178217,0.52632,0.82178,0.3481,0.5263157894736842,0.17821782178217827
KNN,1,0.63115,0.62637,0.48484848484848486,0.7924528301886793,0.42105,0.83168,0.26473,0.42105263157894735,0.16831683168316836
OneClassSVM,1,0.60671,0.64904,0.4,0.8378378378378378,0.68421,0.61386,0.26626,0.6842105263157895,0.38613861386138615
LocalOutlierFactor,1,0.4272,0.43017,0.20689655172413793,0.6790123456790124,0.31579,0.54455,-0.12623,0.3157894736842105,0.4554455445544554
IsolationForest,1,0.43952,0.45362,0.16666666666666666,0.7043478260869566,0.10526,0.80198,-0.10938,0.10526315789473684,0.19801980198019797
Xgboost,1,0.70535,0.70206,0.5833333333333334,0.8349514563106796,0.55263,0.85149,0.41114,0.5526315789473685,0.14851485148514854
RandomForestClassifier,2,0.59173,0.58702,0.5263157894736842,0.7666666666666667,0.26316,0.91089,0.22582,0.2631578947368421,0.08910891089108908
DecisionTree,2,0.60742,0.60657,0.43243243243243246,0.7843137254901961,0.42105,0.79208,0.21493,0.42105263157894735,0.20792079207920788
KNN,2,0.63115,0.62637,0.48484848484848486,0.7924528301886793,0.42105,0.83168,0.26473,0.42105263157894735,0.16831683168316836
OneClassSVM,2,0.60671,0.64904,0.4,0.8378378378378378,0.68421,0.61386,0.26626,0.6842105263157895,0.38613861386138615
LocalOutlierFactor,2,0.4272,0.43017,0.20689655172413793,0.6790123456790124,0.31579,0.54455,-0.12623,0.3157894736842105,0.4554455445544554
IsolationForest,2,0.48568,0.50143,0.2777777777777778,0.7272727272727273,0.13158,0.87129,0.0038,0.13157894736842105,0.12871287128712872
Xgboost,2,0.64974,0.65099,0.48717948717948717,0.81,0.5,0.80198,0.29957,0.5,0.19801980198019797
RandomForestClassifier,3,0.59404,0.58859,0.46153846153846156,0.7699115044247787,0.31579,0.86139,0.2025,0.3157894736842105,0.13861386138613863
DecisionTree,3,0.67405,0.67405,0.5263157894736842,0.8217821782178217,0.52632,0.82178,0.3481,0.5263157894736842,0.17821782178217827
KNN,3,0.63723,0.63132,0.5,0.794392523364486,0.42105,0.84158,0.27806,0.42105263157894735,0.15841584158415845
OneClassSVM,3,0.60671,0.64904,0.4,0.8378378378378378,0.68421,0.61386,0.26626,0.6842105263157895,0.38613861386138615
LocalOutlierFactor,3,0.4272,0.43017,0.20689655172413793,0.6790123456790124,0.31579,0.54455,-0.12623,0.3157894736842105,0.4554455445544554
IsolationForest,3,0.53742,0.54091,0.38095238095238093,0.7457627118644068,0.21053,0.87129,0.10182,0.21052631578947367,0.12871287128712872
Xgboost,3,0.73064,0.72512,0.6285714285714286,0.8461538461538461,0.57895,0.87129,0.46232,0.5789473684210527,0.12871287128712872
