model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR
RandomForestClassifier,0,0.76411,0.84091,0.5,0.9655172413793104,0.83333,0.84848,0.56338,0.8333333333333334,0.1515151515151515
DecisionTree,0,0.61731,0.69697,0.3076923076923077,0.9230769230769231,0.66667,0.72727,0.30151,0.6666666666666666,0.2727272727272727
KNN,0,0.62958,0.62121,0.4,0.8823529411764706,0.33333,0.90909,0.26163,0.3333333333333333,0.09090909090909094
OneClassSVM,0,0.55429,0.75758,0.2727272727272727,1.0,1.0,0.51515,0.37483,1.0,0.48484848484848486
LocalOutlierFactor,0,0.51109,0.5303,0.18181818181818182,0.8571428571428571,0.33333,0.72727,0.04859,0.3333333333333333,0.2727272727272727
IsolationForest,0,0.65179,0.67424,0.375,0.9032258064516129,0.5,0.84848,0.31138,0.5,0.1515151515151515
Xgboost,0,0.50758,0.50758,0.16666666666666666,0.8484848484848485,0.16667,0.84848,0.01515,0.16666666666666666,0.1515151515151515
RandomForestClassifier,1,0.68548,0.74242,0.4,0.9310344827586207,0.66667,0.81818,0.40063,0.6666666666666666,0.18181818181818177
DecisionTree,1,0.61731,0.69697,0.3076923076923077,0.9230769230769231,0.66667,0.72727,0.30151,0.6666666666666666,0.2727272727272727
KNN,1,0.68548,0.74242,0.4,0.9310344827586207,0.66667,0.81818,0.40063,0.6666666666666666,0.18181818181818177
OneClassSVM,1,0.55429,0.75758,0.2727272727272727,1.0,1.0,0.51515,0.37483,1.0,0.48484848484848486
LocalOutlierFactor,1,0.51109,0.5303,0.18181818181818182,0.8571428571428571,0.33333,0.72727,0.04859,0.3333333333333333,0.2727272727272727
IsolationForest,1,0.65179,0.67424,0.375,0.9032258064516129,0.5,0.84848,0.31138,0.5,0.1515151515151515
Xgboost,1,0.60606,0.60606,0.3333333333333333,0.8787878787878788,0.33333,0.87879,0.21212,0.3333333333333333,0.12121212121212122
RandomForestClassifier,2,0.68548,0.74242,0.4,0.9310344827586207,0.66667,0.81818,0.40063,0.6666666666666666,0.18181818181818177
DecisionTree,2,0.61731,0.69697,0.3076923076923077,0.9230769230769231,0.66667,0.72727,0.30151,0.6666666666666666,0.2727272727272727
KNN,2,0.62958,0.62121,0.4,0.8823529411764706,0.33333,0.90909,0.26163,0.3333333333333333,0.09090909090909094
OneClassSVM,2,0.55429,0.75758,0.2727272727272727,1.0,1.0,0.51515,0.37483,1.0,0.48484848484848486
LocalOutlierFactor,2,0.51109,0.5303,0.18181818181818182,0.8571428571428571,0.33333,0.72727,0.04859,0.3333333333333333,0.2727272727272727
IsolationForest,2,0.73884,0.77273,0.5,0.9354838709677419,0.66667,0.87879,0.48738,0.6666666666666666,0.12121212121212122
Xgboost,2,0.73674,0.82576,0.45454545454545453,0.9642857142857143,0.83333,0.81818,0.52237,0.8333333333333334,0.18181818181818177
