model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,THRESH
RandomForest,0,0.87302,0.875,1.0,0.8,0.75,1.0,0.7746,[0.   0.25 0.75 1.   1.  ],[0. 0. 0. 0. 1.],[1.75       0.75       0.66666667 0.33333333 0.        ]
DecisionTree,0,0.87302,0.875,1.0,0.8,0.75,1.0,0.7746,[0.   0.75 1.   1.  ],[0.   0.   0.25 1.  ],[1.71428571 0.71428571 0.5        0.        ]
KNN,0,0.56364,0.625,1.0,0.5714285714285714,0.25,1.0,0.37796,[0.   0.25 0.25 1.   1.  ],[0.   0.   0.5  0.75 1.  ],[1.6 0.6 0.4 0.2 0. ]
OneClassSVM,0,0.56364,0.625,0.5714285714285714,1.0,1.0,0.25,0.37796,[],[],[]
LocalOutlierFactor,0,0.46667,0.5,0.5,0.5,0.75,0.25,0.0,[],[],[]
IsolationForest,0,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
Xgboost,0,0.56364,0.625,1.0,0.5714285714285714,0.25,1.0,0.37796,[0.   0.25 0.25 0.75 0.75 1.   1.  ],[0.   0.   0.5  0.5  0.75 0.75 1.  ],"[1.6926222  0.6926222  0.35112536 0.1897075  0.13189113 0.0891616
 0.03478926]"
RandomForest,1,0.56364,0.625,1.0,0.5714285714285714,0.25,1.0,0.37796,[0.   0.25 0.75 0.75 1.   1.  ],[0.  0.  0.  0.5 0.5 1. ],[1.625      0.625      0.47115385 0.32923977 0.24337607 0.        ]
DecisionTree,1,0.87302,0.875,1.0,0.8,0.75,1.0,0.7746,[0.   0.75 1.   1.   1.  ],[0.   0.   0.25 0.75 1.  ],[1.71428571 0.71428571 0.5        0.07692308 0.        ]
KNN,1,0.46667,0.5,0.5,0.5,0.25,0.75,0.0,[0.   0.25 0.25 0.75 0.75 1.   1.  ],[0.   0.   0.25 0.25 0.75 0.75 1.  ],"[1.70761148 0.70761148 0.59626548 0.36197252 0.27473108 0.13608557
 0.        ]"
OneClassSVM,1,0.56364,0.625,0.5714285714285714,1.0,1.0,0.25,0.37796,[],[],[]
LocalOutlierFactor,1,0.27273,0.375,0.42857142857142855,0.0,0.75,0.0,-0.37796,[],[],[]
IsolationForest,1,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
Xgboost,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.5 0.5 1.  1. ],[0.   0.25 0.25 0.75 0.75 1.  ],[1.4838703  0.48387033 0.23415352 0.13701425 0.05923937 0.01371388]
RandomForest,2,0.56364,0.625,1.0,0.5714285714285714,0.25,1.0,0.37796,[0.   0.25 0.75 0.75 1.  ],[0.   0.   0.25 0.5  1.  ],[1.6 0.6 0.4 0.2 0. ]
DecisionTree,2,0.87302,0.875,1.0,0.8,0.75,1.0,0.7746,[0.   0.75 1.   1.  ],[0.   0.   0.25 1.  ],[1.71428571 0.71428571 0.5        0.        ]
KNN,2,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 1. 1.],[0.   0.75 1.  ],[1.33333333 0.33333333 0.        ]
OneClassSVM,2,0.56364,0.625,0.5714285714285714,1.0,1.0,0.25,0.37796,[],[],[]
LocalOutlierFactor,2,0.27273,0.375,0.42857142857142855,0.0,0.75,0.0,-0.37796,[],[],[]
IsolationForest,2,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
Xgboost,2,0.36508,0.375,0.3333333333333333,0.4,0.25,0.5,-0.2582,[0.   0.25 0.25 0.5  0.5  1.   1.  ],[0.   0.   0.5  0.5  0.75 0.75 1.  ],"[1.7475445  0.7475446  0.63074774 0.07981848 0.06180129 0.00487797
 0.00325839]"
RandomForest,3,0.46667,0.5,0.5,0.5,0.25,0.75,0.0,[0.   0.25 1.   1.  ],[0.   0.25 0.5  1.  ],[1.66666667 0.66666667 0.33333333 0.        ]
DecisionTree,3,0.87302,0.875,1.0,0.8,0.75,1.0,0.7746,[0.   0.75 1.   1.   1.  ],[0.   0.   0.25 0.75 1.  ],[1.71428571 0.71428571 0.5        0.03030303 0.        ]
KNN,3,0.56364,0.625,1.0,0.5714285714285714,0.25,1.0,0.37796,[0.   0.25 0.25 1.   1.  ],[0.   0.   0.75 0.75 1.  ],[1.61808115 0.61808115 0.25944369 0.0859741  0.        ]
OneClassSVM,3,0.56364,0.625,0.5714285714285714,1.0,1.0,0.25,0.37796,[],[],[]
LocalOutlierFactor,3,0.27273,0.375,0.42857142857142855,0.0,0.75,0.0,-0.37796,[],[],[]
IsolationForest,3,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
Xgboost,3,0.56364,0.625,1.0,0.5714285714285714,0.25,1.0,0.37796,[0.   0.25 0.25 0.75 0.75 1.   1.  ],[0.   0.   0.5  0.5  0.75 0.75 1.  ],"[1.6585894  0.65858936 0.4567105  0.1426354  0.09457482 0.03689118
 0.00724953]"
RandomForest,4,0.56364,0.625,1.0,0.5714285714285714,0.25,1.0,0.37796,[0.   0.25 0.5  0.75 1.   1.  ],[0.   0.   0.5  0.75 0.75 1.  ],[1.55555556 0.55555556 0.33333333 0.22222222 0.11111111 0.        ]
DecisionTree,4,0.75,0.75,0.75,0.75,0.75,0.75,0.5,[0.   0.75 0.75 1.   1.  ],[0.   0.   0.25 0.25 1.  ],[2.         1.         0.66666667 0.33333333 0.        ]
