model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,THRESH
RandomForest,0,0.67033,0.7,1.0,0.625,0.4,1.0,0.5,[0.  0.2 0.4 0.6 0.6 1. ],[0.  0.  0.  0.2 0.4 1. ],[2.  1.  0.6 0.4 0.2 0. ]
DecisionTree,0,0.16667,0.2,0.0,0.2857142857142857,0.0,0.4,-0.65465,[0. 0. 1. 1.],[0.  0.6 0.6 1. ],[1.5625     0.5625     0.29411765 0.        ]
KNN,0,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 1. ],[0.  0.2 1. ],[2. 1. 0.]
OneClassSVM,0,0.67033,0.7,0.625,1.0,1.0,0.4,0.5,[],[],[]
LocalOutlierFactor,0,0.69697,0.7,0.75,0.6666666666666666,0.6,0.8,0.40825,[],[],[]
IsolationForest,0,0.67033,0.7,1.0,0.625,0.4,1.0,0.5,[],[],[]
Xgboost,0,0.28571,0.4,0.0,0.4444444444444444,0.0,0.8,-0.33333,[0.  0.  0.6 0.6 1.  1. ],[0.  0.2 0.2 0.6 0.6 1. ],[1.5438507  0.54385066 0.3448236  0.2924764  0.21376306 0.02445799]
RandomForest,1,0.375,0.4,0.3333333333333333,0.42857142857142855,0.2,0.6,-0.21822,[0.  0.2 1. ],[0.  0.4 1. ],[2. 1. 0.]
DecisionTree,1,0.69697,0.7,0.75,0.6666666666666666,0.6,0.8,0.40825,[0.  0.  0.6 0.6 1. ],[0.  0.2 0.2 0.6 1. ],[1.85714286 0.85714286 0.71428571 0.11111111 0.        ]
KNN,1,0.67033,0.7,1.0,0.625,0.4,1.0,0.5,[0.  0.4 1.  1. ],[0.  0.  0.8 1. ],[1.66666667 0.66666667 0.33333333 0.        ]
OneClassSVM,1,0.67033,0.7,0.625,1.0,1.0,0.4,0.5,[],[],[]
LocalOutlierFactor,1,0.6,0.6,0.6,0.6,0.6,0.6,0.2,[],[],[]
IsolationForest,1,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
Xgboost,1,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 0.2 0.6 0.8 0.8 1.  1. ],[0.  0.  0.4 0.4 0.4 0.8 0.8 1. ],"[1.8394535  0.83945346 0.20086648 0.1240985  0.10551483 0.08092472
 0.02010324 0.0041857 ]"
RandomForest,2,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.2 1.  1.  1. ],[0.  0.  0.  0.4 1. ],[1.85714286 0.85714286 0.28571429 0.14285714 0.        ]
DecisionTree,2,0.16667,0.2,0.0,0.2857142857142857,0.0,0.4,-0.65465,[0. 0. 1. 1.],[0.  0.6 0.6 1. ],[1.5625     0.5625     0.29411765 0.        ]
KNN,2,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.2 0.4 0.4 0.6 0.6 1.  1. ],[0.  0.  0.  0.6 0.6 0.8 0.8 1. ],"[1.67282233 0.67282233 0.49417261 0.33158327 0.29833542 0.29004533
 0.145598   0.        ]"
OneClassSVM,2,0.67033,0.7,0.625,1.0,1.0,0.4,0.5,[],[],[]
LocalOutlierFactor,2,0.6,0.6,0.6,0.6,0.6,0.6,0.2,[],[],[]
IsolationForest,2,0.52381,0.6,0.5555555555555556,1.0,1.0,0.2,0.33333,[],[],[]
