model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,THRESH
Xgboost,2,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 0.2 0.4 0.4 0.8 0.8 1.  1. ],[0.  0.  0.2 0.2 0.4 0.4 0.8 0.8 1. ],"[1.8579936  0.85799354 0.6386487  0.17995428 0.13803108 0.08060874
 0.04391182 0.01682803 0.00293329]"
RandomForest,3,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.2 0.6 0.8 1.  1.  1. ],[0.  0.  0.  0.  0.4 0.6 1. ],"[1.82352941 0.82352941 0.41176471 0.35294118 0.17647059 0.11764706
 0.        ]"
DecisionTree,3,0.79167,0.8,1.0,0.7142857142857143,0.6,1.0,0.65465,[0.  0.6 0.8 0.8 1.  1. ],[0.  0.  0.2 0.4 0.4 1. ],[1.71428571 0.71428571 0.5        0.4        0.25       0.        ]
KNN,3,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 0.2 0.6 0.6 0.8 1. ],[0.  0.  0.4 0.4 0.8 0.8 1. ],"[1.70761148 0.70761148 0.48572106 0.36197252 0.27473108 0.13608557
 0.        ]"
OneClassSVM,3,0.67033,0.7,0.625,1.0,1.0,0.4,0.5,[],[],[]
LocalOutlierFactor,3,0.67033,0.7,0.625,1.0,1.0,0.4,0.5,[],[],[]
IsolationForest,3,0.79167,0.8,1.0,0.7142857142857143,0.6,1.0,0.65465,[],[],[]
Xgboost,3,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 0.2 0.6 0.6 0.8 0.8 1.  1. ],[0.  0.  0.2 0.2 0.4 0.4 0.8 0.8 1. ],"[1.8041949  0.80419487 0.74005765 0.112011   0.105504   0.07528386
 0.04531844 0.02411145 0.00237535]"
RandomForest,4,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.2 0.4 0.4 1.  1. ],[0.  0.  0.  0.2 0.4 1. ],[1.55555556 0.55555556 0.33333333 0.22222222 0.11111111 0.        ]
DecisionTree,4,0.79167,0.8,1.0,0.7142857142857143,0.6,1.0,0.65465,[0.  0.6 0.8 1.  1.  1. ],[0.  0.  0.2 0.2 0.8 1. ],[1.71428571 0.71428571 0.27272727 0.09090909 0.07894737 0.        ]
KNN,4,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 0.2 0.6 0.6 1.  1. ],[0.  0.  0.4 0.4 0.8 0.8 1. ],"[1.54759105 0.54759105 0.42814769 0.28148447 0.21665111 0.12034977
 0.        ]"
OneClassSVM,4,0.67033,0.7,0.625,1.0,1.0,0.4,0.5,[],[],[]
LocalOutlierFactor,4,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[],[],[]
IsolationForest,4,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
Xgboost,4,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 0.2 0.8 0.8 1.  1. ],[0.  0.  0.2 0.2 0.8 0.8 1. ],"[1.8560598  0.85605973 0.770241   0.12304908 0.03157232 0.01341496
 0.00232744]"
RandomForest,5,0.89899,0.9,0.8333333333333334,1.0,1.0,0.8,0.8165,[0.  0.6 1.  1.  1. ],[0.  0.2 0.2 0.4 1. ],[2.         1.         0.6        0.33333333 0.        ]
DecisionTree,5,0.6,0.6,0.6,0.6,0.6,0.6,0.2,[0.  0.6 0.6 1.  1. ],[0.  0.2 0.4 0.4 1. ],[2.         1.         0.66666667 0.33333333 0.        ]
KNN,5,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.2 0.2 0.8 0.8 1.  1. ],[0.  0.  0.4 0.4 0.8 0.8 1. ],"[1.62863855 0.62863855 0.3755345  0.21150425 0.18458298 0.11571382
 0.        ]"
OneClassSVM,5,0.67033,0.7,0.625,1.0,1.0,0.4,0.5,[],[],[]
LocalOutlierFactor,5,0.69697,0.7,0.75,0.6666666666666666,0.6,0.8,0.40825,[],[],[]
IsolationForest,5,0.52381,0.6,0.5555555555555556,1.0,1.0,0.2,0.33333,[],[],[]
Xgboost,5,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 0.2 0.4 0.4 0.6 0.6 1.  1. ],[0.  0.  0.4 0.4 0.6 0.6 0.8 0.8 1. ],"[1.6717646  0.67176455 0.21776633 0.15131666 0.1288266  0.09997236
 0.06913189 0.00997199 0.00443977]"
RandomForest,6,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.2 0.6 1. ],[0.  0.  0.2 1. ],[1.66666667 0.66666667 0.33333333 0.        ]
DecisionTree,6,0.79167,0.8,1.0,0.7142857142857143,0.6,1.0,0.65465,[0.  0.6 0.6 0.8 1.  1. ],[0.  0.  0.2 0.4 0.4 1. ],[1.71428571 0.71428571 0.33333333 0.27272727 0.09090909 0.        ]
KNN,6,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 1. 1.],[0.  0.8 1. ],[1.33333333 0.33333333 0.        ]
OneClassSVM,6,0.67033,0.7,0.625,1.0,1.0,0.4,0.5,[],[],[]
LocalOutlierFactor,6,0.69697,0.7,0.75,0.6666666666666666,0.6,0.8,0.40825,[],[],[]
IsolationForest,6,0.69697,0.7,0.75,0.6666666666666666,0.6,0.8,0.40825,[],[],[]
Xgboost,6,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 0.2 0.4 0.4 0.6 0.6 1.  1. ],[0.  0.  0.2 0.2 0.6 0.6 0.8 0.8 1. ],"[1.7064583  0.70645833 0.62820685 0.18068422 0.14640708 0.14467219
 0.10077736 0.05073851 0.00485044]"
RandomForest,7,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 0.2 0.6 1. ],[0.  0.  0.2 0.4 1. ],[2.         1.         0.66666667 0.33333333 0.        ]
DecisionTree,7,0.79167,0.8,1.0,0.7142857142857143,0.6,1.0,0.65465,[0.  0.6 0.6 0.8 1.  1. ],[0.  0.  0.2 0.4 0.4 1. ],[1.71428571 0.71428571 0.33333333 0.27272727 0.09090909 0.        ]
KNN,7,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 0.2 0.6 0.6 0.8 1. ],[0.  0.  0.4 0.4 0.8 0.8 1. ],"[1.70761148 0.70761148 0.48572106 0.36197252 0.27473108 0.13608557
 0.        ]"
OneClassSVM,7,0.67033,0.7,0.625,1.0,1.0,0.4,0.5,[],[],[]
LocalOutlierFactor,7,0.69697,0.7,0.75,0.6666666666666666,0.6,0.8,0.40825,[],[],[]
IsolationForest,7,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
Xgboost,7,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 0.2 0.6 0.6 1.  1. ],[0.  0.  0.2 0.2 0.4 0.4 1. ],"[1.7826741  0.78267413 0.5785717  0.19106106 0.11778025 0.06452901
 0.00450896]"
RandomForest,8,0.375,0.4,0.3333333333333333,0.42857142857142855,0.2,0.6,-0.21822,[0.  0.2 0.2 0.4 1.  1. ],[0.  0.  0.4 0.4 0.8 1. ],[2.  1.  0.6 0.4 0.2 0. ]
DecisionTree,8,0.79167,0.8,1.0,0.7142857142857143,0.6,1.0,0.65465,[0.  0.6 0.6 0.8 1.  1. ],[0.  0.  0.2 0.4 0.4 1. ],[1.71428571 0.71428571 0.33333333 0.27272727 0.09090909 0.        ]
KNN,8,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.2 0.2 0.4 0.4 1.  1. ],[0.  0.  0.6 0.6 0.8 0.8 1. ],"[1.57570001 0.57570001 0.33158327 0.29833542 0.29004533 0.08027824
 0.        ]"
OneClassSVM,8,0.67033,0.7,0.625,1.0,1.0,0.4,0.5,[],[],[]
LocalOutlierFactor,8,0.69697,0.7,0.75,0.6666666666666666,0.6,0.8,0.40825,[],[],[]
IsolationForest,8,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
Xgboost,8,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 0.2 0.6 0.6 0.8 0.8 1.  1. ],[0.  0.  0.2 0.2 0.4 0.4 0.6 0.6 1. ],"[1.778686   0.778686   0.57294035 0.18987066 0.1670388  0.16092166
 0.06470194 0.06463154 0.00681048]"
RandomForest,9,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 0.2 0.8 1.  1. ],[0.  0.  0.2 0.2 0.8 1. ],[1.77777778 0.77777778 0.55555556 0.22222222 0.11111111 0.        ]
DecisionTree,9,0.79167,0.8,1.0,0.7142857142857143,0.6,1.0,0.65465,[0.  0.6 0.6 0.8 1.  1. ],[0.  0.  0.2 0.4 0.4 1. ],[1.71428571 0.71428571 0.33333333 0.27272727 0.09090909 0.        ]
KNN,9,0.375,0.4,0.3333333333333333,0.42857142857142855,0.2,0.6,-0.21822,[0.  0.  0.2 0.2 0.6 0.6 0.8 1. ],[0.  0.2 0.2 0.4 0.4 0.8 0.8 1. ],"[1.64534082 0.64534082 0.62871817 0.51204789 0.36305191 0.2356382
 0.10993552 0.        ]"
OneClassSVM,9,0.67033,0.7,0.625,1.0,1.0,0.4,0.5,[],[],[]
LocalOutlierFactor,9,0.69697,0.7,0.75,0.6666666666666666,0.6,0.8,0.40825,[],[],[]
IsolationForest,9,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
Xgboost,9,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.  0.2 0.2 0.4 0.4 0.6 0.6 1.  1. ],[0.  0.2 0.2 0.4 0.4 0.6 0.6 0.8 0.8 1. ],"[1.7464393  0.74643934 0.6769371  0.2129453  0.19822995 0.14498217
 0.09981582 0.0806841  0.00748946 0.002619  ]"
RandomForest,10,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.6 0.6 1. ],[0.  0.2 0.4 1. ],[1.4 0.4 0.2 0. ]
DecisionTree,10,0.79167,0.8,1.0,0.7142857142857143,0.6,1.0,0.65465,[0.  0.6 0.6 0.8 0.8 1.  1. ],[0.  0.  0.2 0.4 0.6 0.6 1. ],"[1.71428571 0.71428571 0.28571429 0.27272727 0.14285714 0.09090909
 0.        ]"
KNN,10,0.375,0.4,0.3333333333333333,0.42857142857142855,0.2,0.6,-0.21822,[0.  0.2 1. ],[0.  0.4 1. ],[2. 1. 0.]
OneClassSVM,10,0.67033,0.7,0.625,1.0,1.0,0.4,0.5,[],[],[]
LocalOutlierFactor,10,0.375,0.4,0.42857142857142855,0.3333333333333333,0.6,0.2,-0.21822,[],[],[]
IsolationForest,10,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
Xgboost,10,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 0.2 0.6 0.6 0.8 0.8 1.  1. ],[0.  0.  0.2 0.2 0.4 0.4 0.8 0.8 1. ],"[1.7667141  0.7667141  0.55040574 0.16387396 0.11950853 0.10684983
 0.05498954 0.03882503 0.0030618 ]"
RandomForest,11,0.58333,0.6,0.6666666666666666,0.5714285714285714,0.4,0.8,0.21822,[0.  0.4 1. ],[0.  0.2 1. ],[2. 1. 0.]
DecisionTree,11,0.79167,0.8,1.0,0.7142857142857143,0.6,1.0,0.65465,[0.  0.6 0.6 0.8 1.  1. ],[0.  0.  0.2 0.4 0.4 1. ],[1.71428571 0.71428571 0.33333333 0.27272727 0.09090909 0.        ]
KNN,11,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 1. 1.],[0.  0.8 1. ],[1.33333333 0.33333333 0.        ]
OneClassSVM,11,0.67033,0.7,0.625,1.0,1.0,0.4,0.5,[],[],[]
LocalOutlierFactor,11,0.69697,0.7,0.75,0.6666666666666666,0.6,0.8,0.40825,[],[],[]
IsolationForest,11,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
Xgboost,11,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.2 0.2 0.8 0.8 1.  1. ],[0.  0.  0.2 0.2 0.4 0.4 1. ],"[1.7480912  0.7480912  0.39027405 0.17473239 0.12270215 0.07232419
 0.00646727]"
RandomForest,12,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.2 0.4 0.4 0.6 1.  1. ],[0.  0.  0.  0.4 0.6 0.6 1. ],"[1.53333333 0.53333333 0.45       0.2        0.13333333 0.06666667
 0.        ]"
DecisionTree,12,0.79167,0.8,1.0,0.7142857142857143,0.6,1.0,0.65465,[0.  0.6 0.8 0.8 1.  1. ],[0.  0.  0.2 0.4 0.4 1. ],[1.71428571 0.71428571 0.5        0.4        0.2        0.        ]
